Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Bihmidine, S., Baker, R.F., Hoffner, C., Braun, D.M.","Sucrose accumulation in sweet sorghum stems occurs by apoplasmic phloem unloading and does not involve differential Sucrose transporter expression",2015,"BMC Plant Biology","15","1", 186,"","",,,10.1186/s12870-015-0572-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938944341&partnerID=40&md5=eeec2abbf8c1618f5f22dc1a285a7952",Article,Scopus,2-s2.0-84938944341
"Eom, J.-S., Chen, L.-Q., Sosso, D., Julius, B.T., Lin, I.W., Qu, X.-Q., Braun, D.M., Frommer, W.B.","SWEETs, transporters for intracellular and intercellular sugar translocation",2015,"Current Opinion in Plant Biology","25",,,"53","62",,5,10.1016/j.pbi.2015.04.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929378877&partnerID=40&md5=23bd123d14ddd631900bb504c1013188",Review,Scopus,2-s2.0-84929378877
"Rotsch, D., Brossard, T., Bihmidine, S., Ying, W., Gaddam, V., Harmata, M., Robertson, J.D., Swyers, M., Jurisson, S.S., Braun, D.M.","Radiosynthesis of 6'-deoxy-6'[18F] fluorosucrose via automated synthesis and its utility to study in vivo sucrose transport in Maize (Zea mays) leaves",2015,"PLoS ONE","10","5", e0128989,"","",,1,10.1371/journal.pone.0128989,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935027927&partnerID=40&md5=b483d3462f6dd9b91112177c8aa5d0ee",Article,Scopus,2-s2.0-84935027927
"Settles, A.M., Bagadion, A.M., Bai, F., Zhang, J., Barron, B., Leach, K., Mudunkothge, J.S., Hoffner, C., Bihmidine, S., Finefield, E., Hibbard, J., Dieter, E., Malidelis, I.A., Gustin, J.L., Karoblyte, V., Tseung, C.-W., Braun, D.M.","Efficient molecular marker design using the maizeGDB Mo17 SNPs and indels track",2014,"G3: Genes, Genomes, Genetics","4","6",,"1143","1145",,,10.1534/g3.114.010454,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902603366&partnerID=40&md5=8d23901695631204fd4f7487a48cf99e",Article,Scopus,2-s2.0-84902603366
"Braun, D.M., Wang, L., Ruan, Y.-L.","Understanding and manipulating sucrose phloem loading, unloading, metabolism, and signalling to enhance crop yield and food security",2014,"Journal of Experimental Botany","65","7",,"1713","1735",,15,10.1093/jxb/ert416,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898880343&partnerID=40&md5=f3cc51c19342d85f3310f037f7f7c4ee",Review,Scopus,2-s2.0-84898880343
"Bihmidine, S., Hunter III, C.T., Johns, C.E., Koch, K.E., Braun, D.M.","Regulation of assimilate import into sink organs: Update on molecular drivers of sink strength",2013,"Frontiers in Plant Science","4","JUN", 177,"","",,22,10.3389/fpls.2013.00177,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885880132&partnerID=40&md5=c80128c17092da2ace6fe4afdca7f011",Review,Scopus,2-s2.0-84885880132
"Frank Baker, R., Slewinski, T.L., Braun, D.M.","The Tie-dyed pathway promotes symplastic trafficking in the phloem",2013,"Plant Signaling and Behavior","8","6",,"e24540","1-e24540-6",,3,10.4161/psb.24540,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878589586&partnerID=40&md5=d977ebdeb897df83726d82c2579f309e",Article,Scopus,2-s2.0-84878589586
"Slewinski, T.L., Frank Baker, R., Stubert, A., Braun, D.M.","Tie-dyed2 encodes a callose synthase that functions in vein development and affects symplastic trafficking within the phloem of maize leaves",2012,"Plant Physiology","160","3",,"1540","1550",,16,10.1104/pp.112.202473,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868326508&partnerID=40&md5=1555306adf555598b6285a8101d48863",Article,Scopus,2-s2.0-84868326508
"Frank Baker, R., Leach, K.A., Braun, D.M.","SWEET as sugar: New sucrose effluxers in plants",2012,"Molecular Plant","5","4",,"766","768",,19,10.1093/mp/sss054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866363702&partnerID=40&md5=c33144eb20fe99c1464c859beb475aa1",Article,Scopus,2-s2.0-84866363702
"Braun, D.M.","Sweet! The pathway is complete",2012,"Science","335","6065",,"173","174",,22,10.1126/science.1216828,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855862528&partnerID=40&md5=bacc559fe2e8c4a4a9991de4f63e9bb3",Short Survey,Scopus,2-s2.0-84855862528
"Slewinski, T.L., Garg, A., Johal, G.S., Braun, D.M.","Maize SUT1 functions in phloem loading",2010,"Plant Signaling and Behavior","5","6",,"687","690",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860152353&partnerID=40&md5=c5dfe9b55a45b7a6e113dfb0c77697be",Article,Scopus,2-s2.0-84860152353
"Slewinski, T.L., Braun, D.M.","The Psychedelic genes of maize redundantly promote carbohydrate export from leaves",2010,"Genetics","185","1",,"221","232",,13,10.1534/genetics.109.113357,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954978203&partnerID=40&md5=825fc44abd42b61b1dab7f1b90b22439",Article,Scopus,2-s2.0-77954978203
"Slewinski, T.L., Braun, D.M.","Current perspectives on the regulation of whole-plant carbohydrate partitioning",2010,"Plant Science","178","4",,"341","349",,49,10.1016/j.plantsci.2010.01.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77649342215&partnerID=40&md5=91864a1d62b89413ef0190fa4de937b6",Review,Scopus,2-s2.0-77649342215
"Huang, M., Braun, D.M.","Genetic analyses of cell death in maize (Zea mays, Poaceae) leaves reveal a distinct pathway operating in the Camouflage1 mutant",2010,"American Journal of Botany","97","2",,"357","364",,3,10.3732/ajb.0900233,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76349124706&partnerID=40&md5=8e22db8be228cff80fd1d93e183779f6",Article,Scopus,2-s2.0-76349124706
"Huang, M., Slewinski, T.L., Baker, R.F., Janick-Buckner, D., Buckner, B., Johal, G.S., Braun, D.M.","Camouflage patterning in maize leaves results from a defect in porphobilinogen deaminase",2009,"Molecular Plant","2","4",,"773","789",,12,10.1093/mp/ssp029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68449089930&partnerID=40&md5=bdcff92f76013b880b4ce9bde511977d",Article,Scopus,2-s2.0-68449089930
"Slewinski, T.L., Meeley, R., Braun, D.M.","Sucrose transporter1 functions in phloem loading in maize leaves",2009,"Journal of Experimental Botany","60","3",,"881","892",,70,10.1093/jxb/ern335,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58449105055&partnerID=40&md5=15ebd1b4b348f95dd05c2c54feea3d49",Article,Scopus,2-s2.0-58449105055
"Braun, D.M., Slewinski, T.L.","Genetic control of carbon partitioning in grasses: Roles of Sucrose transporters and Tie-dyed loci in phloem loading",2009,"Plant Physiology","149","1",,"71","81",,76,10.1104/pp.108.129049,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58449129158&partnerID=40&md5=b27f8cec267c2f8cd16dcf45f492de28",Review,Scopus,2-s2.0-58449129158
"Ma, Y., Slewinski, T.L., Baker, R.F., Braun, D.M.","Tie-dyed1 encodes a novel, phloem-expressed transmembrane protein that functions in carbohydrate partitioning",2009,"Plant Physiology","149","1",,"181","194",,28,10.1104/pp.108.130971,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58449084184&partnerID=40&md5=6aac04c270ef4f2d0a937ec1f0fb7690",Article,Scopus,2-s2.0-58449084184
"Slewinski, T.L., Ma, Y., Baker, R.F., Huang, M., Meeley, R., Braun, D.M.","Determining the role of Tie-dyed1 in starch metabolism: Epistasis analysis with a maize ADP-glucose pyrophosphorylase mutant lacking leaf starch",2008,"Journal of Heredity","99","6",,"661","666",,22,10.1093/jhered/esn062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54249167937&partnerID=40&md5=c8a0e906a049812822a3270051899e90",Article,Scopus,2-s2.0-54249167937
"Baker, R.F., Braun, D.M.","Tie-dyed2 functions with tie-dyed1 to promote carbohydrate export from maize leaves",2008,"Plant Physiology","146","3",,"1085","1097",,22,10.1104/pp.107.111476,"http://www.scopus.com/inward/record.url?eid=2-s2.0-48949120143&partnerID=40&md5=97adafc36d16f902347a8fe8565d5ef3",Article,Scopus,2-s2.0-48949120143
"Ma, Y., Baker, R.F., Magallanes-Lundback, M., Dellapenna, D., Braun, D.M.","Tie-dyed1 and Sucrose export defective1 act independently to promote carbohydrate export from maize leaves",2008,"Planta","227","3",,"527","538",,23,10.1007/s00425-007-0636-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38049090242&partnerID=40&md5=183c0e884409a3798c770681984c3c14",Article,Scopus,2-s2.0-38049090242
"Baker, R.F., Braun, D.M.","tie-dyed1 functions non-cell autonomously to control carbohydrate accumulation in maize leaves",2007,"Plant Physiology","144","2",,"867","878",,22,10.1104/pp.107.098814,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250632401&partnerID=40&md5=eb071d0ff448d52e28c1f2064109cd23",Article,Scopus,2-s2.0-34250632401
"Braun, D.M., Ma, Y., Inada, N., Muszynski, M.G., Baker, R.F.","tie-dyed1 regulates carbohydrate accumulation in maize leaves",2006,"Plant Physiology","142","4",,"1511","1522",,34,10.1104/pp.106.090381,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845611577&partnerID=40&md5=5991cc4a1c9e7502a2b95e2df73efbe9",Article,Scopus,2-s2.0-33845611577
"Golubovskaya, I.N., Hamant, O., Timofejeva, L., Wang, C.-J.R., Braun, D., Meeley, R., Cande, W.Z.","Alleles of afd1 dissect REC8 functions during meiotic prophase I",2006,"Journal of Cell Science","119","16",,"3306","3315",,77,10.1242/jcs.03054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748761638&partnerID=40&md5=09133d77f10666a02ac94433f00b29c5",Article,Scopus,2-s2.0-33748761638
"Kaplinsky, N.J., Braun, D.M., Penterman, J., Goff, S.A., Freeling, M.","Utility and distribution of conserved noncoding sequences in the grasses",2002,"Proceedings of the National Academy of Sciences of the United States of America","99","9",,"6147","6151",,70,10.1073/pnas.052139599,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037197967&partnerID=40&md5=3e4835c40ba6c984c1803f8769dc822f",Article,Scopus,2-s2.0-0037197967
"Kaplinsky, N., Braun, D., Lisch, D., Hay, A., Hake, S., Freeling, M.","Biodiversity (Communications arising): maize transgene results in Mexico are artefacts.",2002,"Nature","416","6881",,"601",""602; discussion 600, 602"",,20,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-19044370085&partnerID=40&md5=80fcc4836b4f18fd2eb016e7af38194e",Note,Scopus,2-s2.0-19044370085
"Kaplinsky, N., Braun, D., Lisch, D., Hay, A., Hake, S., Freeling, M.","Maize transgene results in Mexico are artefacts",2002,"Nature","416","6881",,"601","",,29,10.1038/nature739,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037061448&partnerID=40&md5=833043955b73e64394564f180cb3c779",Article,Scopus,2-s2.0-0037061448
"Braun, D.M., Stone, J.M., Walker, J.C.","Interaction of the maize and Arabidopsis kinase interaction domains with a subset of receptor-like protein kinases: Implications for transmembrane signaling in plants",1997,"Plant Journal","12","1",,"83","95",,89,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031193654&partnerID=40&md5=1e268c79a6a83a1d9db1e17a0defc340",Article,Scopus,2-s2.0-0031193654
"Verslues, P.E., Braun, D.M., Garcia, Ma.X.U., Stone, J.M.","Protein phosphorylation: Examining the plant CPU",1996,"Trends in Plant Science","1","9",,"289","291",,2,10.1016/1360-1385(96)88168-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030238139&partnerID=40&md5=3456a043c35d0e313c96713db79bdc09",Note,Scopus,2-s2.0-0030238139
"Braun, D.M., Walker, J.C.","Plant transmembrane receptors: New pieces in the signaling puzzle",1996,"Trends in Biochemical Sciences","21","2",,"70","73",,93,10.1016/0968-0004(96)80869-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030087879&partnerID=40&md5=5d8442b74683e0c060ecd982156e4348",Review,Scopus,2-s2.0-0030087879
"Frey, W., Wassmer, P., Frey-Rindova, P., Braun, D., Schwarz, F., Arnold, M., Piguet, A., Villeger, B.","Muscle pain and biochemical changes after an ultramarathon in cold weather condition - Influence of diclofenac treatment [MUSKELSCHMERZEN UND BIOCHEMISCHE VERANDERUNGEN NACH EINEM ULTRAMARATHON IN DER KALTE - BEEINFLUSSUNG DURCH DICLOFENAC]",1994,"SPORT Schweizerische Zeitschrift fur Medizin und Traumatologie",,"2",,"30","36",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028069186&partnerID=40&md5=ab1d72b5c4a0c1c0c60b423f185c3841",Article,Scopus,2-s2.0-0028069186
"Frey, W., Wassmer, P., Frey-Rindova, P., Braun, D., Schwarz, F., Arnold, M., Piguet, A., Villiger, B.","Muscle aches and biochemical changes following a ultra-marathon in the cold--modification by diclofenac [Muskelschmerzen und biochemische Veränderungen nach einem Ultramarathon in der Kälte--Beeinflussung durch Diclofenac.]",1994,"Schweizerische Zeitschrift fur Medizin und Traumatologie = Revue suisse pour medecine et traumatologie",,"2",,"30","36",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028185297&partnerID=40&md5=fde4521970953383a22f61ace7b632e4",Article,Scopus,2-s2.0-0028185297
"Langhans, W., Wenk, C., Schwyn, M., Frey, W., Braun, D.","Effects of carbohydrate consumption during endurance exercise on performance and metabolism [Einfluß der Kohlenhydrataufnahme während eines Langstreckenlaufes auf Leistungsfähigkeit und Stoffwechsel]",1992,"Zeitschrift für Ernährungswissenschaft","31","1",,"49","61",,3,10.1007/BF01612552,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026831948&partnerID=40&md5=218f7a1447138f20b7cb67bc3941ddec",Article,Scopus,2-s2.0-0026831948
"Braun, D.","Respiratory muscle dysfunction",1984,"Heart and Lung: Journal of Acute and Critical Care","13","4",,"327","332",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021638101&partnerID=40&md5=09265fd852e92cc42a588ef9867fae0e",Article,Scopus,2-s2.0-0021638101
