Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, Y., Ding, Z., Ma, F., Chauhan, R.D., Allen, D.K., Brutnell, T.P., Wang, W., Peng, M., Li, P.","Transcriptional response to petiole heat girdling in cassava",2015,"Scientific Reports","5",,,"8414","",,,10.1038/srep08414,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923036767&partnerID=40&md5=ba5c3781c4b587973b4ed571d07bdb08",Article,Scopus,2-s2.0-84923036767
"Fahlgren, N., Feldman, M., Gehan, M.A., Wilson, M.S., Shyu, C., Bryant, D.W., Hill, S.T., McEntee, C.J., Warnasooriya, S.N., Kumar, I., Ficor, T., Turnipseed, S., Gilbert, K.B., Brutnell, T.P., Carrington, J.C., Mockler, T.C., Baxter, I.","A versatile phenotyping system and analytics platform reveals diverse temporal responses to water availability in Setaria",2015,"Molecular Plant","8","10",,"1520","1535",,,10.1016/j.molp.2015.06.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943450041&partnerID=40&md5=88ee6dde3c4996dcf0160342fff332b2",Article,Scopus,2-s2.0-84943450041
"Patron, N.J., Orzaez, D., Marillonnet, S., Warzecha, H., Matthewman, C., Youles, M., Raitskin, O., Leveau, A., Farré, G., Rogers, C., Smith, A., Hibberd, J., Webb, A.A.R., Locke, J., Schornack, S., Ajioka, J., Baulcombe, D.C., Zipfel, C., Kamoun, S., Jones, J.D.G., Kuhn, H., Robatzek, S., Van Esse, H.P., Sanders, D., Oldroyd, G., Martin, C., Field, R., O'Connor, S., Fox, S., Wulff, B., Miller, B., Breakspear, A., Radhakrishnan, G., Delaux, P.-M., Loqué, D., Granell, A., Tissier, A., Shih, P., Brutnell, T.P., Quick, W.P., Rischer, H., Fraser, P.D., Aharoni, A., Raines, C., South, P.F., Ané, J.-M., Hamberger, B.R., Langdale, J., Stougaard, J., Bouwmeester, H., Udvardi, M., Murray, J.A.H., Ntoukakis, V., Schäfer, P., Denby, K., Edwards, K.J., Osbourn, A., Haseloff, J.","Standards for plant synthetic biology: A common syntax for exchange of DNA parts",2015,"New Phytologist","208","1",,"13","19",,,10.1111/nph.13532,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939807175&partnerID=40&md5=59fe7af03bede43344832739140e37b0",Article,Scopus,2-s2.0-84939807175
"Shyu, C., Brutnell, T.P.","Growth-defence balance in grass biomass production: The role of jasmonates",2015,"Journal of Experimental Botany","66","14",,"4165","4176",,2,10.1093/jxb/erv011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938427236&partnerID=40&md5=2276a1ecadc323e0ba16f68275a31ab7",Review,Scopus,2-s2.0-84938427236
"Zhang, N., Gibon, Y., Wallace, J.G., Lepak, N., Li, P., Dedow, L., Chen, C., So, Y.-S., Kremling, K., Bradbury, P.J., Brutnell, T., Stitt, M., Buckler, E.S.","Genome-wide association of carbon and nitrogen metabolism in the maize nested association mapping population",2015,"Plant Physiology","168","2",,"575","583",,2,10.1104/pp.15.00025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933038004&partnerID=40&md5=96dd2ce8dbe302defca3791a893a82d9",Article,Scopus,2-s2.0-84933038004
"Brutnell, T.P., Bennetzen, J.L., Vogel, J.P.","Brachypodium distachyon and Setaria viridis: Model Genetic Systems for the Grasses",2015,"Annual Review of Plant Biology","66",,,"465","485",,,10.1146/annurev-arplant-042811-105528,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928893009&partnerID=40&md5=3f0fc8ee11d51676255924b01bc90011",Article,Scopus,2-s2.0-84928893009
"Si, Y., Liu, P., Li, P., Brutnell, T.P.","Model-based clustering for RNA-seq data",2014,"Bioinformatics","30","2",,"197","205",,8,10.1093/bioinformatics/btt632,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892683120&partnerID=40&md5=2929e3b9bdb7c6fb5094c351b60b99c2",Article,Scopus,2-s2.0-84892683120
"O'Connor, S.E., Brutnell, T.P.","Editorial overview: Growing the future: Synthetic biology in plants",2014,"Current Opinion in Plant Biology","19",,,"iv","v",,2,10.1016/j.pbi.2014.05.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902545744&partnerID=40&md5=30f672a6786d79d29a5001516656e743",Editorial,Scopus,2-s2.0-84902545744
"Lori Tausta, S., Li, P., Si, Y., Gandotra, N., Liu, P., Sun, Q., Brutnell, T.P., Nelson, T.","Developmental dynamics of Kranz cell transcriptional specificity in maize leaf reveals early onset of C<inf>4</inf>-related processes",2014,"Journal of Experimental Botany","65","13",,"3543","3555",,7,10.1093/jxb/eru152,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908143081&partnerID=40&md5=3c858ff289b24f86d998219ed83b8852",Article,Scopus,2-s2.0-84908143081
"Mertz, R.A., Brutnell, T.P.","Bundle sheath suberization in grass leaves: Multiple barriers to characterization",2014,"Journal of Experimental Botany","65","13",,"3371","3380",,5,10.1093/jxb/eru108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911376257&partnerID=40&md5=5116948a88c4013a1960e48e41aace24",Review,Scopus,2-s2.0-84911376257
"Warnasooriya, S.N., Brutnell, T.P.","Enhancing the productivity of grasses under high-density planting by engineering light responses: From model systems to feedstocks",2014,"Journal of Experimental Botany","65","11",,"2825","2834",,2,10.1093/jxb/eru221,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902491299&partnerID=40&md5=474148e839db8f62053ddaa067b2ff2c",Review,Scopus,2-s2.0-84902491299
"Studer, A.J., Gandin, A., Kolbe, A.R., Wang, L., Cousins, A.B., Brutnell, T.P.","A limited role for carbonic anhydrase in C4 photosynthesis as revealed by a ca1ca2 double mutant in maize",2014,"Plant Physiology","165","2",,"608","617",,4,10.1104/pp.114.237602,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901767194&partnerID=40&md5=96ef11ff6fdf69e18ea9a07484c0b3e0",Article,Scopus,2-s2.0-84901767194
"Jiang, H., Barbier, H., Brutnell, T.","Methods for performing crosses in Setaria viridis, a new model system for the grasses.",2013,"Journal of visualized experiments : JoVE",,"80",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899037837&partnerID=40&md5=d111fbdf276d48b1ca96c60aaceeeb46",Article,Scopus,2-s2.0-84899037837
"Petti, C., Shearer, A., Tateno, M., Ruwaya, M., Nokes, S., Brutnell, T., DeBolt, S.","Comparative feedstock analysis in Setaria viridis L. as a model for C4 bioenergy grasses and panicoid crop species",2013,"Frontiers in Plant Science","4","JUN", 181,"","",,5,10.3389/fpls.2013.00181,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900856677&partnerID=40&md5=f648abe7d3d69f0d9ff4f6574a493ff9",Article,Scopus,2-s2.0-84900856677
"Mauro-Herrera, M., Wang, X., Barbier, H., Brutnell, T.P., Devos, K.M., Doust, A.N.","Genetic control and comparative genomic analysis of flowering time in Setaria (Poaceae).",2013,"G3 (Bethesda, Md.)","3","2",,"283","295",,1,10.1534/g3.112.005207,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881409144&partnerID=40&md5=f9eb8f640a490929d86172fa01eb0be4",Article,Scopus,2-s2.0-84881409144
"Mauro-Herrera, M., Wang, X., Barbier, H., Brutnell, T.P., Devos, K.M., Doust, A.N.","Genetic control and comparative genomic analysis of flowering time in Setaria (Poaceae)",2013,"G3: Genes, Genomes, Genetics","3","2",,"283","295",,12,10.1534/g3.112.005207,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883180760&partnerID=40&md5=e668a43e08facbfe9e6e3988262884c2",Article,Scopus,2-s2.0-84883180760
"Jiang, H., Barbier, H., Brutnell, T.","Methods for performing crosses in Setaria viridis, a new model system for the grasses",2013,"Journal of visualized experiments : JoVE",,"80",,"","",,2,10.3791/50527,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899687594&partnerID=40&md5=35b9afb45c36744a3c941da5fe2d2a9d",Article,Scopus,2-s2.0-84899687594
"Weissmann, S., Brutnell, T.P.","Engineering C 4 photosynthetic regulatory networks",2012,"Current Opinion in Biotechnology","23","3",,"298","304",,10,10.1016/j.copbio.2011.12.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861988565&partnerID=40&md5=490e0610db18b9f966ac316d6e354705",Review,Scopus,2-s2.0-84861988565
"Brutnell, T., Frommer, W.B.","Foods for thought",2012,"Scientist","26","6",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867561993&partnerID=40&md5=a4deb20180ec563af2268b469336f622",Article,Scopus,2-s2.0-84867561993
"Bennetzen, J.L., Schmutz, J., Wang, H., Percifield, R., Hawkins, J., Pontaroli, A.C., Estep, M., Feng, L., Vaughn, J.N., Grimwood, J., Jenkins, J., Barry, K., Lindquist, E., Hellsten, U., Deshpande, S., Wang, X., Wu, X., Mitros, T., Triplett, J., Yang, X., Ye, C.-Y., Mauro-Herrera, M., Wang, L., Li, P., Sharma, M., Sharma, R., Ronald, P.C., Panaud, O., Kellogg, E.A., Brutnell, T.P., Doust, A.N., Tuskan, G.A., Rokhsar, D., Devos, K.M.","Reference genome sequence of the model plant Setaria",2012,"Nature Biotechnology","30","6",,"555","561",,136,10.1038/nbt.2196,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862018035&partnerID=40&md5=bfae6e96a764b84fcf3dadadb44beb30",Article,Scopus,2-s2.0-84862018035
"Wang, L., Si, Y., Dedow, L.K., Shao, Y., Liu, P., Brutnell, T.P.","A low-cost library construction protocol and data analysis pipeline for illumina-based strand-specific multiplex RNA-seq",2011,"PLoS ONE","6","10", e26426,"","",,35,10.1371/journal.pone.0026426,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054789260&partnerID=40&md5=934c93a14188eecd8f7827a20bb3567a",Article,Scopus,2-s2.0-80054789260
