Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Budke, J.M., Goffinet, B., Jones, C.S.","Dehydration protection provided by a maternal cuticle improves offspring fitness in the moss Funaria hygrometrica",2013,"Annals of Botany","111","5",,"781","789",,2,10.1093/aob/mct033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877310118&partnerID=40&md5=d66ac2eeb08359c75c28502c1d7f4446",Article,Scopus,2-s2.0-84877310118
"Liu, Y., Forrest, L.L., Bainard, J.D., Budke, J.M., Goffinet, B.","Organellar genome, nuclear ribosomal DNA repeat unit, and microsatellites isolated from a small-scale of 454 GS FLX sequencing on two mosses",2013,"Molecular Phylogenetics and Evolution","66","3",,"1089","1094",,3,10.1016/j.ympev.2012.12.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873189632&partnerID=40&md5=69147a466f9f20300d9861ff086b0d0c",Article,Scopus,2-s2.0-84873189632
"Liu, Y., Budke, J.M., Goffinet, B.","Phylogenetic inference rejects sporophyte based classification of the Funariaceae (Bryophyta): Rapid radiation suggests rampant homoplasy in sporophyte evolution",2012,"Molecular Phylogenetics and Evolution","62","1",,"130","145",,14,10.1016/j.ympev.2011.09.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83655167226&partnerID=40&md5=bbbe7640d5f3056f95818c850dd9b8ae",Article,Scopus,2-s2.0-83655167226
"Budke, J.M., Goffinet, B., Jones, C.S.","The cuticle on the gametophyte calyptra matures before the sporophyte cuticle in the moss funaria hygrometrica (funariaceae)",2012,"American Journal of Botany","99","1",,"14","22",,7,10.3732/ajb.1100311,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858386119&partnerID=40&md5=4278c470fc650d7fb489500d66b9251f",Article,Scopus,2-s2.0-84858386119
"Goffinet, B., Budke, J.M., Newman, L.C.","Micromitriaceae: A new family of highly reduced mosses",2011,"Taxon","60","5",,"1245","1254",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054929744&partnerID=40&md5=bffbbef0ef4ab58ae1e17df466c550bc",Article,Scopus,2-s2.0-80054929744
"Wickett, N.J., Forrest, L.L., Budke, J.M., Shaw, B., Goffinet, B.","Frequent pseudogenization and loss of the plastid-encoded sulfate-transport gene cysA throughout the evolution of liverworts",2011,"American Journal of Botany","98","8",,"1263","1275",,5,10.3732/ajb.1100010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858406822&partnerID=40&md5=96f39c58f7e48087a2642a1f9e2c27bf",Article,Scopus,2-s2.0-84858406822
"Budke, J.M., Goffinet, B., Jones, C.S.","A hundred-year-old question: Is the moss calyptra covered by a cuticle? A case study of Funaria hygrometrica",2011,"Annals of Botany","107","8",,"1279","1286",,11,10.1093/aob/mcr079,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957854402&partnerID=40&md5=5a3670881e9efea7b83ad98d1f5b0900",Article,Scopus,2-s2.0-79957854402
"Larrain, J., Herrera, F., Budke, J.M., Goffinet, B.","Phylogenetic affinities and conservation status of the Chilean endemic Costesia spongiosa (Gigaspermaceae)",2009,"Bryologist","112","2",,"278","286",,2,10.1639/0007-2745-112.2.278,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66949124027&partnerID=40&md5=7ea85b529aefa3f7f6c077a84678cd65",Article,Scopus,2-s2.0-66949124027
"Budke, J.M., Jones, C.S., Goffinet, B.","Development of the enigmatic peristome of Timmia megapolitana (Timmiaceae; Bryophyta)",2007,"American Journal of Botany","94","3",,"460","467",,7,10.3732/ajb.94.3.460,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250742724&partnerID=40&md5=684beb3bfd4bb55e843f1775bbc75f08",Article,Scopus,2-s2.0-34250742724
"Budke, J.M., Goffinet, B.","Phylogenetic analyses of Timmiaceae (Bryophyta: Musci) based on nuclear and chloroplast sequence data",2006,"Systematic Botany","31","4",,"633","641",,7,10.1600/036364406779695861,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847765380&partnerID=40&md5=a63c9a35d27eea2fe2e83927a60f3c06",Article,Scopus,2-s2.0-33847765380
"Budke, J.M., Hickey, R.J., Heafner, K.D.","Analysis of morphological and anatomical characteristics of Isoetes using isoetes tennesseensis",2005,"Brittonia","57","2",,"167","182",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-21744447722&partnerID=40&md5=10d5e4181461bf404f341ea4a32c4740",Article,Scopus,2-s2.0-21744447722
