Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Devaraju, N., Bala, G., Caldeira, K., Nemani, R.","A model based investigation of the relative importance of CO<inf>2</inf>-fertilization, climate warming, nitrogen deposition and land use change on the global terrestrial carbon uptake in the historical period",2015,"Climate Dynamics",,,,"","",18,,10.1007/s00382-015-2830-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940880130&partnerID=40&md5=5d6ddb8eff2bcf90e5f92231204d3240",Article in Press,Scopus,2-s2.0-84940880130
"Petri, Y., Caldeira, K.","Impacts of global warming on residential heating and cooling degree-days in the United States",2015,"Scientific Reports","5",, 12427,"","",,,10.1038/srep12427,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938632992&partnerID=40&md5=3a0ed8e1ffe7dea6e084b2ba64726285",Article,Scopus,2-s2.0-84938632992
"Kline, D.I., Teneva, L., Hauri, C., Schneider, K., Miard, T., Chai, A., Marker, M., Dunbar, R., Caldeira, K., Lazar, B., Rivlin, T., Mitchell, B.G., Dove, S., Hoegh-Guldberg, O.","Six month in situ high-resolution carbonate chemistry and temperature study on a coral reef flat reveals asynchronous pH and temperature anomalies",2015,"PLoS ONE","10","6", e0127648,"","",,1,10.1371/journal.pone.0127648,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932619563&partnerID=40&md5=992d2c176db97c408a82f8f922c4afc0",Article,Scopus,2-s2.0-84932619563
"Cvijanovic, I., Caldeira, K., MacMartin, D.G.","Impacts of ocean albedo alteration on Arctic sea ice restoration and Northern Hemisphere climate",2015,"Environmental Research Letters","10","4", 044020,"","",,,10.1088/1748-9326/10/4/044020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928752052&partnerID=40&md5=2878b1c6d7b1bea242ae10cdffeac3a4",Article,Scopus,2-s2.0-84928752052
"Kwiatkowski, L., Ricke, K.L., Caldeira, K.","Atmospheric consequences of disruption of the ocean thermocline",2015,"Environmental Research Letters","10","3", 034016,"","",,,10.1088/1748-9326/10/3/034016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925424021&partnerID=40&md5=21e29cb454de5526d2bae255ff3858a1",Article,Scopus,2-s2.0-84925424021
"Albright, R., Benthuysen, J., Cantin, N., Caldeira, K., Anthony, K.","Coral reef metabolism and carbon chemistry dynamics of a coral reef flat",2015,"Geophysical Research Letters","42","10",,"3980","3988",,,10.1002/2015GL063488,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931568035&partnerID=40&md5=4697b7fe6f60fe75920e4b2a855e9d19",Article,Scopus,2-s2.0-84931568035
"Kalidindi, S., Bala, G., Modak, A., Caldeira, K.","Modeling of solar radiation management: a comparison of simulations using reduced solar constant and stratospheric sulphate aerosols",2015,"Climate Dynamics","44","9-10",,"2909","2925",,1,10.1007/s00382-014-2240-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939892133&partnerID=40&md5=22dfa46a048884c47e94596fab065f59",Article,Scopus,2-s2.0-84939892133
"Cvijanovic, I., Caldeira, K.","Atmospheric impacts of sea ice decline in CO2 induced global warming",2015,"Climate Dynamics","44","5-6",,"1173","1186",,,10.1007/s00382-015-2489-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925541639&partnerID=40&md5=92c1d6e0dfe1e8dd712e259d7924d932",Article,Scopus,2-s2.0-84925541639
"Zhang, X., Caldeira, K.","Time scales and ratios of climate forcing due to thermal versus carbon dioxide emissions from fossil fuels",2015,"Geophysical Research Letters","42","11",,"4548","4555",,2,10.1002/2015GL063514,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934326187&partnerID=40&md5=ffacf1b3a35d9fde9255d7eceba717e0",Article,Scopus,2-s2.0-84934326187
"Ricke, K.L., Caldeira, K.","Maximum warming occurs about one decade after a carbon dioxide emission",2014,"Environmental Research Letters","9","12", 124002,"","",,5,10.1088/1748-9326/9/12/124002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919667751&partnerID=40&md5=d4b1df873661c34fa331fb89d3722664",Article,Scopus,2-s2.0-84919667751
"Silverman, J., Schneider, K., Kline, D.I., Rivlin, T., Rivlin, A., Hamylton, S., Lazar, B., Erez, J., Caldeira, K.","Community calcification in Lizard Island, Great Barrier Reef: A 33 year perspective",2014,"Geochimica et Cosmochimica Acta","144",,,"72","81",,4,10.1016/j.gca.2014.09.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908271332&partnerID=40&md5=7487ee7d7a82c8a3e7bfcf220b16c941",Article,Scopus,2-s2.0-84908271332
"Caro, D., Lopresti, A., Davis, S.J., Bastianoni, S., Caldeira, K.","CH<inf>4</inf> and N<inf>2</inf>O emissions embodied in international trade of meat",2014,"Environmental Research Letters","9","11", 114005,"","",,2,10.1088/1748-9326/9/11/114005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912070798&partnerID=40&md5=1a08e2874bad59e16158941d442684ed",Article,Scopus,2-s2.0-84912070798
"Zhang, X., Myhrvold, N.P., Caldeira, K.","Key factors for assessing climate benefits of natural gas versus coal electricity generation",2014,"Environmental Research Letters","9","11", 114022,"","",,11,10.1088/1748-9326/9/11/114022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924034471&partnerID=40&md5=16387813281435f088c7ace9c36c0497",Article,Scopus,2-s2.0-84924034471
"Davis, S.J., Burney, J.A., Pongratz, J., Caldeira, K.","Methods for attributing land-use emissions to products",2014,"Carbon Management","5","2",,"233","245",,2,10.1080/17583004.2014.913867,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921881968&partnerID=40&md5=2838b408c68e2c1b6bcb923cb6195866",Review,Scopus,2-s2.0-84921881968
