Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lam, K.N., Cheng, J., Engel, K., Neufeld, J.D., Charles, T.C.","Current and future resources for functional metagenomics",2015,"Frontiers in Microbiology","6","OCT", 01196,"","",,,10.3389/fmicb.2015.01196,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946820134&partnerID=40&md5=101d7c5eb34ccaa371bc65b0a6aff830",Article,Scopus,2-s2.0-84946820134
"Verastegui, Y., Cheng, J., Engel, K., Kolczynski, D., Mortimer, S., Lavigne, J., Montalibet, J., Romantsov, T., Hall, M., McConkey, B.J., Rose, D.R., Tomashek, J.J., Scott, B.R., Charles, T.C., Neufeld, J.D.","Multisubstrate isotope labeling and metagenomic analysis of active soil bacterial communities",2014,"mBio","5","4", e01157-14,"","",12,3,10.1128/mBio.01157-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908291385&partnerID=40&md5=5758cabb6f75b422a1b96dc9ae343e6a",Article,Scopus,2-s2.0-84908291385
"Lam, K.N., Hall, M.W., Engel, K., Vey, G., Cheng, J., Neufeld, J.D., Charles, T.C.","Evaluation of a pooled strategy for high-throughput sequencing of cosmid clones from metagenomic libraries",2014,"PLoS ONE","9","6", e98968,"","",,,10.1371/journal.pone.0098968,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902668886&partnerID=40&md5=47891189f792e45542dee269688ca06e",Article,Scopus,2-s2.0-84902668886
"Cheng, J., Pinnell, L., Engel, K., Neufeld, J.D., Charles, T.C.","Versatile broad-host-range cosmids for construction of high quality metagenomic libraries",2014,"Journal of Microbiological Methods","99","1",,"27","34",,5,10.1016/j.mimet.2014.01.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894088155&partnerID=40&md5=a37a10bbcb46b01e9ff695c8ab51ae84",Article,Scopus,2-s2.0-84894088155
"Ali, S., Duan, J., Charles, T.C., Glick, B.R.","A bioinformatics approach to the determination of genes involved in endophytic behavior in Burkholderia spp.",2014,"Journal of Theoretical Biology","343",,,"193","198",,8,10.1016/j.jtbi.2013.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892882622&partnerID=40&md5=b838fc2157862498ad1f4bb3148bdaf0",Article,Scopus,2-s2.0-84892882622
"Ali, S., Charles, T.C., Glick, B.R.","Amelioration of high salinity stress damage by plant growth-promoting bacterial endophytes that contain ACC deaminase",2014,"Plant Physiology and Biochemistry","80",,,"160","167",,14,10.1016/j.plaphy.2014.04.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899690751&partnerID=40&md5=1f046486e774d40780a35dae12448526",Article,Scopus,2-s2.0-84899690751
"Bélanger, L., Charles, T.C.","Members of the Sinorhizobium meliloti ChvI regulon identified by a DNA binding screen",2013,"BMC Microbiology","13","1", 132,"","",,7,10.1186/1471-2180-13-132,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878818553&partnerID=40&md5=fada9664ac624819c3bf6e1d84eab660",Article,Scopus,2-s2.0-84878818553
"Engel, K., Ashby, D., Brady, S.F., Cowan, D.A., Doemer, J., Edwards, E.A., Fiebig, K., Martens, E.C., Mccormac, D., Mead, D.A., Miyazaki, K., Moreno-Hagelsieb, G., O'Gara, F., Reid, A., Rose, D.R., Simonet, P., Sjöling, S., Smalla, K., Streit, W.R., Tedman-Jones, J., Valla, S., Wellington, E.M.H., Wu, C.-C., Liles, M.R., Neufeld, J.D., Sessitsch, A., Charles, T.C.","Meeting report: 1st international functional metagenomics workshop may 7-8, 2012, St. Jacobs, Ontario, Canada",2013,"Standards in Genomic Sciences","8","1",,"106","111",,1,10.4056/sigs.3406845,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878292049&partnerID=40&md5=4a5c1b3bb23668f81e0f8f16f6f7517d",Article,Scopus,2-s2.0-84878292049
"Ali, S., Charles, T.C., Glick, B.R.","Delay of flower senescence by bacterial endophytes expressing 1-aminocyclopropane-1-carboxylate deaminase",2012,"Journal of Applied Microbiology","113","5",,"1139","1144",,15,10.1111/j.1365-2672.2012.05409.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867694340&partnerID=40&md5=e1f30fb4e78926b50ece7660a9c69649",Article,Scopus,2-s2.0-84867694340
"Rashid, S., Charles, T.C., Glick, B.R.","Isolation and characterization of new plant growth-promoting bacterial endophytes",2012,"Applied Soil Ecology","61",,,"217","224",,31,10.1016/j.apsoil.2011.09.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865866393&partnerID=40&md5=00133a71f9652de8852f933eaf76d535",Article,Scopus,2-s2.0-84865866393
