Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Shah, J., Chaturvedi, R., Chowdhury, Z., Venables, B., Petros, R.A.","Signaling by small metabolites in systemic acquired resistance",2014,"Plant Journal","79","4",,"645","658",,11,10.1111/tpj.12464,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906046249&partnerID=40&md5=a13b38601c213f439ae6d70cde494432",Article,Scopus,2-s2.0-84906046249
"Singh, V., Roy, S., Giri, M.K., Chaturvedi, R., Chowdhury, Z., Shah, J., Nandi, A.K.","Arabidopsis thaliana FLOWERING LOCUS D is required for systemic acquired resistance",2013,"Molecular Plant-Microbe Interactions","26","9",,"1079","1088",,11,10.1094/MPMI-04-13-0096-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883199487&partnerID=40&md5=0f5ddf77bfb4b2afb33d8b6e560d641e",Article,Scopus,2-s2.0-84883199487
"Chaturvedi, R., Venables, B., Petros, R.A., Nalam, V., Li, M., Wang, X., Takemoto, L.J., Shah, J.","An abietane diterpenoid is a potent activator of systemic acquired resistance",2012,"Plant Journal","71","1",,"161","172",,51,10.1111/j.1365-313X.2012.04981.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862570639&partnerID=40&md5=fd947bd9f497ae962445ac87ef261e7a",Article,Scopus,2-s2.0-84862570639
"Lorenc-Kukula, K., Chaturvedi, R., Roth, M., Welti, R., Shah, J.","Biochemical and molecular-genetic characterization of SFD1's involvement in lipid metabolism and defense signaling",2012,"Frontiers in Plant Science","3","FEB", 26,"","",,9,10.3389/fpls.2012.00026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862547267&partnerID=40&md5=dccd79391ae182518b8c33746091fd00",Article,Scopus,2-s2.0-84862547267
"Vu, H.S., Tamura, P., Galeva, N.A., Chaturvedi, R., Roth, M.R., Williams, T.D., Wang, X., Shah, J., Welti, R.","Direct infusion mass spectrometry of oxylipin-containing arabidopsis membrane lipids reveals varied patterns in different stress responses",2012,"Plant Physiology","158","1",,"324","339",,21,10.1104/pp.111.190280,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855291351&partnerID=40&md5=96c56c063f91504b354641ff1eecc4c4",Article,Scopus,2-s2.0-84855291351
"Makandar, R., Nalam, V., Chaturvedi, R., Jeannotte, R., Sparks, A.A., Shah, J.","Involvement of salicylate and jasmonate signaling pathways in arabidopsis interaction with fusarium graminearum",2010,"Molecular Plant-Microbe Interactions","23","7",,"861","870",,36,10.1094/MPMI-23-7-0861,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953223985&partnerID=40&md5=f659817a62a2eee25b57c647006d16e4",Article,Scopus,2-s2.0-77953223985
"Chaturvedi, R., Krothapalli, K., Makandar, R., Nandi, A., Sparks, A.A., Roth, M.R., Welti, R., Shah, J.","Plastid ω3-fatty acid desaturase-dependent accumulation of a systemic acquired resistance inducing activity in petiole exudates of Arabidopsis thaliana is independent of jasmonic acid",2008,"Plant Journal","54","1",,"106","117",,83,10.1111/j.1365-313X.2007.03400.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40949116336&partnerID=40&md5=04dd41a600ec8fa74ad93d364adfb1f6",Article,Scopus,2-s2.0-40949116336
"Chaturvedi, R., Shah, J.","Salicylic acid in plant disease resistance",2007,"Salicylic Acid: A Plant Hormone",,,,"335","370",,23,10.1007/1-4020-5184-0_12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920092189&partnerID=40&md5=399996ba05759ba258870f3251f44ec5",Book Chapter,Scopus,2-s2.0-84920092189
"Chaturvedi, R., Fujita, Y.","Isolation of enhanced eicosapentaenoic acid producing mutants of Nannochloropsis oculata ST-6 using ethyl methane sulfonate induced mutagenesis techniques and their characterization at mRNA transcript level",2006,"Phycological Research","54","3",,"208","219",,18,10.1111/j.1440-1835.2006.00428.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748755185&partnerID=40&md5=a6c46c165d95ed36205b48a9d274d8ac",Article,Scopus,2-s2.0-33748755185
"Chaturvedi, R., Uppalapati, S.R., Alamsjah, M.A., Fujita, Y.","Isolation of quizalofop-resistant mutants of Nannochloropsis oculata (Eustigmatophyceae) with high eicosapentaenoic acid following N-methyl-N-nitrosourea-induced random mutagenesis",2004,"Journal of Applied Phycology","16","2",,"135","144",,15,10.1023/B:JAPH.0000044826.70360.8e,"http://www.scopus.com/inward/record.url?eid=2-s2.0-6344231718&partnerID=40&md5=1efb66c28a1df03c9174ec32ad4a82bd",Article,Scopus,2-s2.0-6344231718
