Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chen, Y., Aung, K., Rolčík, J., Walicki, K., Friml, J., Brandizzi, F.","Inter-regulation of the unfolded protein response and auxin signaling",2014,"Plant Journal","77","1",,"97","107",,7,10.1111/tpj.12373,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890965447&partnerID=40&md5=8ad59e366f41ec844eb5fa762df096ee",Article,Scopus,2-s2.0-84890965447
"Chen, Y., Brandizzi, F.","IRE1: ER stress sensor and cell fate executor",2013,"Trends in Cell Biology","23","11",,"547","555",,37,10.1016/j.tcb.2013.06.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886749523&partnerID=40&md5=d2a8253367c65c5986c8c5c69a0e3331",Review,Scopus,2-s2.0-84886749523
"Chen, Y., Brandizzi, F.","Analysis of unfolded protein response in arabidopsis",2013,"Methods in Molecular Biology","1043",,,"73","80",,1,10.1007/978-1-62703-532-3_8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922764691&partnerID=40&md5=17a1835e78ddbc5e8613c5d397cfb154",Article,Scopus,2-s2.0-84922764691
"Moghe, G.D., Lehti-Shiu, M.D., Seddon, A.E., Yin, S., Chen, Y., Juntawong, P., Brandizzi, F., Bailey-Serres, J., Shiu, S.-H.","Characteristics and significance of intergenic polyadenylated RNA transcription in Arabidopsis",2013,"Plant Physiology","161","1",,"210","224",,9,10.1104/pp.112.205245,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871723378&partnerID=40&md5=6d3a6c59aafde547c95c22c8c711b2db",Article,Scopus,2-s2.0-84871723378
"Srivastava, R., Chen, Y., Deng, Y., Brandizzi, F., Howell, S.H.","Elements proximal to and within the transmembrane domain mediate the organelle-to-organelle movement of bZIP28 under ER stress conditions",2012,"Plant Journal","70","6",,"1033","1042",,15,10.1111/j.1365-313X.2012.04943.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862182568&partnerID=40&md5=4972652ff949e11ea4e0dd2a9dde7357",Article,Scopus,2-s2.0-84862182568
"Moreno, A.A., Mukhtar, M.S., Blanco, F., Boatwright, J.L., Moreno, I., Jordan, M.R., Chen, Y., Brandizzi, F., Dong, X., Orellana, A., Pajerowska-Mukhtar, K.M.","IRE1/bZIP60-mediated unfolded protein response plays distinct roles in plant immunity and abiotic stress responses",2012,"PLoS ONE","7","2", e31944,"","",,46,10.1371/journal.pone.0031944,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863115218&partnerID=40&md5=364d0d9c6f8f9d577e0fd374bc0c3a61",Article,Scopus,2-s2.0-84863115218
"Chen, Y., Brandizzi, F.","AtIRE1A/AtIRE1B and AGB1 independently control two essential unfolded protein response pathways in Arabidopsis",2012,"Plant Journal","69","2",,"266","277",,30,10.1111/j.1365-313X.2011.04788.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855707031&partnerID=40&md5=d470c1c2fdaffa50abb2ccb827919951",Article,Scopus,2-s2.0-84855707031
"Conger, R., Chen, Y., Fornaciari, S., Faso, C., Held, M.A., Renna, L., Brandizzi, F.","Evidence for the involvement of the Arabidopsis SEC24A in male transmission.",2011,"Journal of experimental botany","62","14",,"4917","4926",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879792698&partnerID=40&md5=edd255320666cad60aa5ff49fd2c8841",Article,Scopus,2-s2.0-84879792698
"Conger, R., Chen, Y., Fornaciari, S., Faso, C., Held, M.A., Renna, L., Brandizzi, F.","Evidence for the involvement of the Arabidopsis SEC24A in male transmission",2011,"Journal of Experimental Botany","62","14",,"4927","4936",,11,10.1093/jxb/err188,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054103038&partnerID=40&md5=ce8331914fda5c08ebe541e504bd9f2d",Article,Scopus,2-s2.0-80054103038
"Fucile, G., Di Biase, D., Nahal, H., La, G., Khodabandeh, S., Chen, Y., Easley, K., Christendat, D., Kelley, L., Provart, N.J.","Eplant and the 3D data display initiative: Integrative systems biology on the world wide web",2011,"PLoS ONE","6","1", e15237,"","",,5,10.1371/journal.pone.0015237,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251550128&partnerID=40&md5=8e915979395a20accf7653908517f773",Article,Scopus,2-s2.0-79251550128
"Faso, C., Chen, Y., Tamura, K., Held, M., Zemelis, S., Marti, L., Saravanan, R., Hummel, E., Kung, L., Miller, E., Hawes, C., Brandizzia, F.","A missense mutation in the arabidopsis copii coat protein sec24a induces the formation of clusters of the endoplasmic reticulum and golgi apparatus",2009,"Plant Cell","21","11",,"3655","3671",,48,10.1105/tpc.109.068262,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73249134381&partnerID=40&md5=f1b26fc1c1503f2bbd818a2de243d8c1",Article,Scopus,2-s2.0-73249134381
"Chen, Y., Slabaugh, E., Brandizzi, F.","Membrane-tethered transcription factors in Arabidopsis thaliana: novel regulators in stress response and development",2008,"Current Opinion in Plant Biology","11","6",,"695","701",,43,10.1016/j.pbi.2008.10.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56349170862&partnerID=40&md5=240c741c43c6a1c4e81316cb35952052",Review,Scopus,2-s2.0-56349170862
