Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kühnlenz, T., Westphal, L., Schmidt, H., Scheel, D., Clemens, S.","Expression of Caenorhabditis elegansPCS in the AtPCS1-deficient Arabidopsis thalianacad1-3 mutant separates the metal tolerance and non-host resistance functions of phytochelatin synthases",2015,"Plant, Cell and Environment","38","11",,"2239","2247",,,10.1111/pce.12534,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945435528&partnerID=40&md5=049beaab6c5caeb3bdd1ddbc877add1b",Article,Scopus,2-s2.0-84945435528
"Cornu, J..-Y., Deinlein, U., Höreth, S., Braun, M., Schmidt, H., Weber, M., Persson, D.P., Husted, S., Schjoerring, J.K., Clemens, S.","Contrasting effects of nicotianamine synthase knockdown on zinc and nickel tolerance and accumulation in the zinc/cadmium hyperaccumulator Arabidopsis halleri",2015,"New Phytologist","206","2",,"738","750",,3,10.1111/nph.13237,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925061398&partnerID=40&md5=48d0897d12a9deeee2e52338fa0f3e99",Article,Scopus,2-s2.0-84925061398
"Schmidt, H., Günther, C., Weber, M., Spörlein, C., Loscher, S., Böttcher, C., Schobert, R., Clemens, S.","Metabolome analysis of Arabidopsis thaliana roots identifies a key metabolic pathway for iron acquisition",2014,"PLoS ONE","9","7", e102444,"","",,7,10.1371/journal.pone.0102444,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904803077&partnerID=40&md5=92893791f6e47500388308d1e29c756f",Article,Scopus,2-s2.0-84904803077
"Fischer, S., Kühnlenz, T., Thieme, M., Schmidt, H., Clemens, S.","Analysis of plant Pb tolerance at realistic submicromolar concentrations demonstrates the role of phytochelatin synthesis for Pb detoxification",2014,"Environmental Science and Technology","48","13",,"7552","7559",,1,10.1021/es405234p,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903725554&partnerID=40&md5=a39fcfd1c9e99cefe9b833fefacb91c6",Article,Scopus,2-s2.0-84903725554
"Clemens, S.","Zn and Fe biofortification: The right chemical environment for human bioavailability",2014,"Plant Science","225",,,"52","57",,2,10.1016/j.plantsci.2014.05.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902343847&partnerID=40&md5=294b0ac79346b567af5546a12dce02d9",Review,Scopus,2-s2.0-84902343847
"Kühnlenz, T., Schmidt, H., Uraguchi, S., Clemens, S.","Arabidopsis thaliana phytochelatin synthase 2 is constitutively active in vivo and can rescue the growth defect of the PCS1-deficient cad1-3 mutant on Cd-contaminated soil",2014,"Journal of Experimental Botany","65","15",,"4241","4253",,6,10.1093/jxb/eru195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903690890&partnerID=40&md5=7d18aa6cef93083d3343508af850f052",Article,Scopus,2-s2.0-84903690890
"Halimaa, P., Lin, Y.-F., Ahonen, V.H., Blande, D., Clemens, S., Gyenesei, A., Häikiö, E., Kärenlampi, S.O., Laiho, A., Aarts, M.G.M., Pursiheimo, J.-P., Schat, H., Schmidt, H., Tuomainen, M.H., Tervahauta, A.I.","Gene expression differences between noccaea caerulescens ecotypes help to identify candidate genes for metal phytoremediation",2014,"Environmental Science and Technology","48","6",,"3344","3353",,6,10.1021/es4042995,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898947842&partnerID=40&md5=9f8e988c4463e6743e8fc6d63870f6e2",Article,Scopus,2-s2.0-84898947842
"Uraguchi, S., Kamiya, T., Clemens, S., Fujiwara, T.","Characterization of OsLCT1, a cadmium transporter from indica rice (Oryza sativa)",2014,"Physiologia Plantarum","151","3",,"339","347",,3,10.1111/ppl.12189,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902303796&partnerID=40&md5=4dc85b24ad6c62f81525291149d4383f",Article,Scopus,2-s2.0-84902303796
"Palmer, C.M., Hindt, M.N., Schmidt, H., Clemens, S., Guerinot, M.L.","MYB10 and MYB72 Are Required for Growth under Iron-Limiting Conditions",2013,"PLoS Genetics","9","11", e1003953,"","",,14,10.1371/journal.pgen.1003953,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888270643&partnerID=40&md5=4c10980bc8e96e0146d7dacc5555f93c",Article,Scopus,2-s2.0-84888270643
"Verbruggen, N., Hanikenne, M., Clemens, S.","A more complete picture of met al hyperaccumulation through next-generation sequencing technologies",2013,"Frontiers in Plant Science","4","OCT", 388,"","",,4,10.3389/fpls.2013.00388,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890260242&partnerID=40&md5=5dde053cf7731c37b6c27214c4450d08",Article,Scopus,2-s2.0-84890260242
"Weber, M., Deinlein, U., Fischer, S., Rogowski, M., Geimer, S., Tenhaken, R., Clemens, S.","A mutation in the Arabidopsis thaliana cell wall biosynthesis gene pectin methylesterase 3 as well as its aberrant expression cause hypersensitivity specifically to Zn",2013,"Plant Journal","76","1",,"151","164",,10,10.1111/tpj.12279,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884904500&partnerID=40&md5=276a262bd4d98155032d513b7abdc91c",Article,Scopus,2-s2.0-84884904500
"Clemens, S., Deinlein, U., Ahmadi, H., Höreth, S., Uraguchi, S.","Nicotianamine is a major player in plant Zn homeostasis",2013,"BioMetals","26","4",,"623","632",,9,10.1007/s10534-013-9643-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881312316&partnerID=40&md5=b31d9598cc6e7297c10e6e6e92f8f508",Article,Scopus,2-s2.0-84881312316
"Hanikenne, M., Kroymann, J., Trampczynska, A., Bernal, M., Motte, P., Clemens, S., Krämer, U.","Hard Selective Sweep and Ectopic Gene Conversion in a Gene Cluster Affording Environmental Adaptation",2013,"PLoS Genetics","9","8", e1003707,"","",,13,10.1371/journal.pgen.1003707,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884611553&partnerID=40&md5=4d963d502a705ecfcb680d241393457d",Article,Scopus,2-s2.0-84884611553
"Clemens, S., Aarts, M.G.M., Thomine, S., Verbruggen, N.","Plant science: The key to preventing slow cadmium poisoning",2013,"Trends in Plant Science","18","2",,"92","99",,74,10.1016/j.tplants.2012.08.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873180865&partnerID=40&md5=654e4822d8bdc377dd9b36e702781116",Review,Scopus,2-s2.0-84873180865
"Deinlein, U., Weber, M., Schmidt, H., Rensch, S., Trampczynska, A., Hansen, T.H., Husted, S., Schjoerring, J.K., Talke, I.N., Krämer, U., Clemens, S.","Elevated nicotianamine levels in Arabidopsis halleri roots play a key role in zinc hyperaccumulation",2012,"Plant Cell","24","2",,"708","723",,65,10.1105/tpc.111.095000,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859041176&partnerID=40&md5=4f809850aaced3bb492168131420c7b8",Article,Scopus,2-s2.0-84859041176
"Gasber, A., Klaumann, S., Trentmann, O., Trampczynska, A., Clemens, S., Schneider, S., Sauer, N., Feifer, I., Bittner, F., Mendel, R.R., Neuhaus, H.E.","Identification of an Arabidopsis solute carrier critical for intracellular transport and inter-organ allocation of molybdate",2011,"Plant Biology","13","5",,"710","718",,23,10.1111/j.1438-8677.2011.00448.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79961087518&partnerID=40&md5=32d43d4cdbaa3dec8d117d22e7b69555",Article,Scopus,2-s2.0-79961087518
"Meyer, C.-L., Peisker, D., Courbot, M., Craciun, A.R., Cazalé, A.-C., Desgain, D., Schat, H., Clemens, S., Verbruggen, N.","Isolation and characterization of Arabidopsis halleri and Thlaspi caerulescens phytochelatin synthases",2011,"Planta","234","1",,"83","95",,17,10.1007/s00425-011-1378-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959523064&partnerID=40&md5=a882355c475a969968e7b760bac0a376",Article,Scopus,2-s2.0-79959523064
"Schmidt, H., Böttcher, C., Trampczynska, A., Clemens, S.","Use of recombinantly produced 15N3-labelled nicotianamine for fast and sensitive stable isotope dilution ultra-performance liquid chromatography/electrospray ionization time-of-flight mass spectrometry",2011,"Analytical and Bioanalytical Chemistry","399","3",,"1355","1361",,8,10.1007/s00216-010-4436-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251631184&partnerID=40&md5=005765bcef6bc49cf0cbd06865268b3a",Article,Scopus,2-s2.0-79251631184
