Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, R., Sahu, I.D., Liu, L., Osatuke, A., Comer, R.G., Dabney-Smith, C., Lorigan, G.A.","Characterizing the structure of lipodisq nanoparticles for membrane protein spectroscopic studies",2014,"Biochimica et Biophysica Acta - Biomembranes","1848","1",,"329","333",,,10.1016/j.bbamem.2014.05.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914151362&partnerID=40&md5=bcb21c52735d04d39fd4f441b38236b2",Article,Scopus,2-s2.0-84914151362
"Zhang, L., Liu, L., Maltsev, S., Lorigan, G.A., Dabney-Smith, C.","Investigating the interaction between peptides of the amphipathic helix of Hcf106 and the phospholipid bilayer by solid-state NMR spectroscopy",2014,"Biochimica et Biophysica Acta - Biomembranes","1838","1 PARTB",,"413","418",,5,10.1016/j.bbamem.2013.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887870763&partnerID=40&md5=480cb6cf44f562cffda897b7d23aaa0b",Article,Scopus,2-s2.0-84887870763
"Zhang, L., Liu, L., Maltsev, S., Lorigan, G.A., Dabney-Smith, C.","Solid-state NMR investigations of peptide-lipid interactions of the transmembrane domain of a plant-derived protein, Hcf106",2013,"Chemistry and Physics of Lipids","175-176",,,"123","130",,2,10.1016/j.chemphyslip.2013.09.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885364797&partnerID=40&md5=6d87215baed52cf8d9498a8b58d134b8",Article,Scopus,2-s2.0-84885364797
"Pal, D., Fite, K., Dabney-Smith, C.","Direct interaction between a precursor mature domain and transport component tha4 during twin arginine transport of chloroplasts",2013,"Plant Physiology","161","2",,"990","1001",,8,10.1104/pp.112.207522,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873267127&partnerID=40&md5=4d7ba8eb5c301770509407699026a61d",Article,Scopus,2-s2.0-84873267127
"Aldridge, C., Storm, A., Cline, K., Dabney-Smith, C.","The chloroplast twin arginine transport (Tat) component, Tha4, undergoes conformational changes leading to Tat protein transport",2012,"Journal of Biological Chemistry","287","41",,"34752","34763",,10,10.1074/jbc.M112.385666,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867244934&partnerID=40&md5=e294a420c0fc324df3220a8c1137dd1d",Article,Scopus,2-s2.0-84867244934
"Zhou, A., Abu-Baker, S., Sahu, I.D., Liu, L., McCarrick, R.M., Dabney-Smith, C., Lorigan, G.A.","Determining α-helical and β-sheet secondary structures via pulsed electron spin resonance spectroscopy",2012,"Biochemistry","51","38",,"7417","7419",,6,10.1021/bi3010736,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866698362&partnerID=40&md5=213a1adf72b44625005e8cf2cea890e4",Article,Scopus,2-s2.0-84866698362
"Holdorf, M.M., Owen, H.A., Lieber, S.R., Yuan, L., Adams, N., Dabney-Smith, C., Makaroff, C.A.","Arabidopsis ETHE1 encodes a sulfur dioxygenase that is essential for embryo and endosperm development",2012,"Plant Physiology","160","1",,"226","236",,20,10.1104/pp.112.201855,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865849765&partnerID=40&md5=34728cec9046c97325c390ca4e15c225",Article,Scopus,2-s2.0-84865849765
"Dabney-Smith, C., Cline, K.","Clustering of C-terminal stromal domains of Tha4 homo-oligomers during translocation by the tat protein transport system",2009,"Molecular Biology of the Cell","20","7",,"2060","2069",,34,10.1091/mbc.E08-12-1189,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65249161748&partnerID=40&md5=2c0c9454878be0dcfd65f6175c76598f",Article,Scopus,2-s2.0-65249161748
"Cline, K., Dabney-Smith, C.","Plastid protein import and sorting: different paths to the same compartments",2008,"Current Opinion in Plant Biology","11","6",,"585","592",,52,10.1016/j.pbi.2008.10.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56349086943&partnerID=40&md5=8e37055ba67eb4ea3a27992aa78cf924",Review,Scopus,2-s2.0-56349086943
"Dabney-Smith, C., Mori, H., Cline, K.","Oligomers of Tha4 organize at the thylakoid Tat translocase during protein transport",2006,"Journal of Biological Chemistry","281","9",,"5476","5483",,80,10.1074/jbc.M512453200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33646837543&partnerID=40&md5=cf8f82ca7576116e87f37b27455c24fc",Article,Scopus,2-s2.0-33646837543
"Auldridge, M.E., Block, A., Vogel, J.T., Dabney-Smith, C., Mila, I., Bouzayen, M., Magallanes-Lundback, M., DellaPenna, D., McCarty, D.R., Klee, H.J.","Characterization of three members of the Arabidopsis carotenoid cleavage dioxygenase family demonstrates the divergent roles of this multifunctional enzyme family",2006,"Plant Journal","45","6",,"982","993",,152,10.1111/j.1365-313X.2006.02666.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644762842&partnerID=40&md5=3c75c641be063022c3082031a2f4d0ff",Article,Scopus,2-s2.0-33644762842
"Fincher, V., Dabney-Smith, C., Cline, K.","Functional assembly of thylakoid ΔpH-dependent/Tat protein transport pathway components in vitro",2003,"European Journal of Biochemistry","270","24",,"4930","4941",,25,10.1046/j.1432-1033.2003.03894.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0348140629&partnerID=40&md5=5551a748f662c121ff80c8b0c383afc8",Article,Scopus,2-s2.0-0348140629
"Dabney-Smith, C., Mori, H., Cline, K.","Requirement of a Tha4-conserved Transmembrane Glutamate in Thylakoid Tat Translocase Assembly Revealed by Biochemical Complementation",2003,"Journal of Biological Chemistry","278","44",,"43027","43033",,28,10.1074/jbc.M307923200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242290351&partnerID=40&md5=79162cdb52f8fe2c67e541f3bd837131",Article,Scopus,2-s2.0-0242290351
"Schleiff, E., Soll, J., Sveshnikova, N., Tien, R., Wright, S., Dabney-Smith, C., Subramanian, C., Bruce, B.D.","Structural and guanosine triphosphate/diphosphate requirements for transit peptide recognition by the cytosolic domain of the chloroplast outer envelope receptor, Toc34",2002,"Biochemistry","41","6",,"1934","1946",,61,10.1021/bi011361+,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037065694&partnerID=40&md5=fbed4cb0120f71927357f10a7dfbc3b6",Article,Scopus,2-s2.0-0037065694
"Lee, S.-K., Dabney-Smith, C., Hacker, D.L., Bruce, B.D.","Membrane activity of the Southern Cowpea Mosaic Virus coat protein: The role of basic amino acids, helix-forming potential, and lipid composition",2001,"Virology","291","2",,"299","310",,8,10.1006/viro.2001.1210,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035697294&partnerID=40&md5=d827257658295ef57b0d7ce122a6746e",Article,Scopus,2-s2.0-0035697294
"Van Den Wijngaard, P.W.J., Dabney-Smith, C., Bruce, B.D., Vredenberg, W.J.","The mechanism of inactivation of a 50-pS envelope anion channel during chloroplast protein import",1999,"Biophysical Journal","77","6",,"3156","3162",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032763188&partnerID=40&md5=b3ad9d0d58ead3a1363c36000a664100",Article,Scopus,2-s2.0-0032763188
"Dabney-Smith, C., Van Den Wijngaard, P.W.J., Treece, Y., Vredenberg, W.J., Bruce, B.D.","The C terminus of a chloroplast precursor modulates its interaction with the translocation apparatus and PIRAC",1999,"Journal of Biological Chemistry","274","45",,"32351","32359",,34,10.1074/jbc.274.45.32351,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033527558&partnerID=40&md5=f23690f92f47dec2cd76e89bdec582a6",Article,Scopus,2-s2.0-0033527558
