Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Strauch, R.C., Svedin, E., Dilkes, B., Chapple, C., Li, X.","Discovery of a novel amino acid racemase through exploration of natural variation in Arabidopsis thaliana",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","37",,"11726","11731",,,10.1073/pnas.1503272112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941671292&partnerID=40&md5=43e550c05e2e50288e7ab7c1f3bb03f2",Article,Scopus,2-s2.0-84941671292
"Li, X., Svedin, E., Mo, H., Atwell, S., Dilkes, B.P., Chapple, C.","Exploiting natural variation of secondary metabolism identifies a gene controlling the glycosylation diversity of dihydroxybenzoic acids in Arabidopsis thaliana",2014,"Genetics","198","3",,"1267","1276",,2,10.1534/genetics.114.168690,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908642171&partnerID=40&md5=d1e16c524ed43cafb21e1ead33db20d1",Article,Scopus,2-s2.0-84908642171
"Chao, D.-Y., Baraniecka, P., Danku, J., Koprivova, A., Lahner, B., Luo, H., Yakubova, E., Dilkes, B., Kopriva, S., Salt, D.E.","Variation in sulfur and selenium accumulation is controlled by naturally occurring isoforms of the key sulfur assimilation enzyme ADENOSINE 5’-PHOSPHOSULFATE REDUCTASE2 across the arabidopsis species range",2014,"Plant Physiology","166","3",,"1593","1608",,3,10.1104/pp.114.247825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908584021&partnerID=40&md5=fc9fbef3741974afaad46349597510b3",Article,Scopus,2-s2.0-84908584021
"Henry, I.M., Dilkes, B.P., Tyagi, A., Gao, J., Christensen, B., Comaia, L.","The BOY NAMED SUE quantitative trait locus confers increased meiotic stability to an adapted natural allopolyploid of Arabidopsis",2014,"Plant Cell","26","1",,"181","194",,8,10.1105/tpc.113.120626,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896842778&partnerID=40&md5=fc1321c15596ce7f0149d342597f5fa4",Article,Scopus,2-s2.0-84896842778
"Maharjan, P.M., Dilkes, B.P., Fujioka, S., Pěnčík, A., Ljung, K., Burow, M., Halkier, B.A., Choe, S.","Arabidopsis gulliver1/superroot2-7 identifies a metabolic basis for auxin and brassinosteroid synergy",2014,"Plant Journal","80","5",,"797","808",,2,10.1111/tpj.12678,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930730607&partnerID=40&md5=81bd34461e63010e88559ceadac03f5c",Article,Scopus,2-s2.0-84930730607
"Buescher, E.M., Moon, J., Runkel, A., Hake, S., Dilkes, B.P.","Natural variation at sympathy for the ligule controls penetrance of the semidominant liguleless narrow-R mutation in zea mays",2014,"G3: Genes, Genomes, Genetics","4","12",,"2297","2306",,,10.1534/g3.114.014183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916918737&partnerID=40&md5=e3a3addc91cef93d830c88e0f3189a47",Article,Scopus,2-s2.0-84916918737
"Cheon, J., Fujioka, S., Dilkes, B.P., Choe, S.","Brassinosteroids regulate plant growth through distinct signaling pathways in Selaginella and Arabidopsis",2013,"PLoS ONE","8","12", e81938,"","",,3,10.1371/journal.pone.0081938,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892664787&partnerID=40&md5=e00f683d881c78ae7dd0af5365a8c9fc",Article,Scopus,2-s2.0-84892664787
"Krothapalli, K., Buescher, E.M., Li, X., Brown, E., Chapple, C., Dilkes, B.P., Tuinstra, M.R.","Forward genetics by genome sequencing reveals that rapid cyanide release deters insect herbivory of Sorghum bicolor",2013,"Genetics","195","2",,"309","318",,7,10.1534/genetics.113.149567,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884963819&partnerID=40&md5=5e39e7d696340571ad704292a3e27bcd",Article,Scopus,2-s2.0-84884963819
"Burkart-Waco, D., Ngo, K., Dilkes, B., Josefsson, C., Comaia, L.","Early disruption of maternal-zygotic interaction and activation of defense-like responses in Arabidopsis interspecific crosses",2013,"Plant Cell","25","6",,"2037","2055",,6,10.1105/tpc.112.108258,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880943278&partnerID=40&md5=781b4e0c49da0f7c197194767fa881b8",Article,Scopus,2-s2.0-84880943278
"Chao, D.-Y., Dilkes, B., Luo, H., Douglas, A., Yakubova, E., Lahner, B., Salt, D.E.","Polyploids exhibit higher potassium uptake and salinity tolerance in Arabidopsis",2013,"Science","341","6146",,"658","659",,26,10.1126/science.1240561,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881243153&partnerID=40&md5=0b89ad3ca03d0d4bb32f0c57bee2feed",Article,Scopus,2-s2.0-84881243153
