Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Watt, D., Dixit, R., Cavalli, V.","JIP3 activates kinesin-1 motility to promote axon elongation",2015,"Journal of Biological Chemistry","290","25",,"15512","15525",,3,10.1074/jbc.M115.651885,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931278737&partnerID=40&md5=fd991e30409d88505391877238fb40b1",Article,Scopus,2-s2.0-84931278737
"Eren, E.C., Dixit, R., Gautam, N.","Stochastic models for plant microtubule self-organization and structure",2015,"Journal of Mathematical Biology","71","6-7",,"1353","1385",,,10.1007/s00285-015-0860-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946495797&partnerID=40&md5=f31373f2547c70be554f98c312112a08",Article,Scopus,2-s2.0-84946495797
"Zhu, C., Ganguly, A., Baskin, T.I., McClosky, D.D., Anderson, C.T., Foster, C., Meunier, K.A., Okamoto, R., Berg, H., Dixit, R.","The fragile fiber1 kinesin contributes to cortical microtubule-mediated trafficking of cell wall components",2015,"Plant Physiology","167","3",,"780","792",,2,10.1104/pp.114.251462,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923666919&partnerID=40&md5=9fcb017c3ce8a85cc9740462526e9e4f",Article,Scopus,2-s2.0-84923666919
"Zhang, Q., Fishel, E., Bertroche, T., Dixit, R.","Erratum: Microtubule severing at crossover sites by katanin generates ordered cortical microtubule arrays in Arabidopsis (Current Biology (2013) 23 (2191-2195))",2014,"Current Biology","24","8",,"917","",,,10.1016/j.cub.2014.03.057,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915735715&partnerID=40&md5=21c33b1b4bdcf7e0e23f0c84757a30f2",Erratum,Scopus,2-s2.0-84915735715
"Zhang, Q., Fishel, E., Bertroche, T., Dixit, R.","Microtubule severing at crossover sites by katanin generates ordered cortical microtubule arrays in Arabidopsis.",2013,"Current biology : CB","23","21",,"2191","2195",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889245599&partnerID=40&md5=da007f20b5df57cffa57de701a3bfe7f",Article,Scopus,2-s2.0-84889245599
"Zhang, Q., Fishel, E., Bertroche, T., Dixit, R.","Microtubule Severing at Crossover Sites by Katanin Generates Ordered Cortical Microtubule Arrays in Arabidopsis",2013,"Current Biology",,,,"","",,19,10.1016/j.cub.2013.09.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886056165&partnerID=40&md5=6536ca410b482214579a3df7cd9e726a",Article in Press,Scopus,2-s2.0-84886056165
"Ganguly, A., Dixit, R.","Mechanisms for regulation of plant kinesins",2013,"Current Opinion in Plant Biology","16","6",,"704","709",,2,10.1016/j.pbi.2013.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888428777&partnerID=40&md5=9ff6ebf4565b0bc04be27ac8f0ddde21",Review,Scopus,2-s2.0-84888428777
"Fishel, E.A., Dixit, R.","Role of nucleation in cortical microtubule array organization: Variations on a theme",2013,"Plant Journal","75","2",,"270","277",,9,10.1111/tpj.12166,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879989796&partnerID=40&md5=03fb5e22f276b2201f6fc4dd2873dd8a",Article,Scopus,2-s2.0-84879989796
"Dixit, R.","Plant cytoskeleton: Della connects gibberellins to microtubules",2013,"Current Biology","23","11",,"R479","R481",,2,10.1016/j.cub.2013.04.037,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878622892&partnerID=40&md5=a811f666db5349810094ad0f1e0a8a11",Article,Scopus,2-s2.0-84878622892
"Eren, E.C., Gautam, N., Dixit, R.","Computer simulation and mathematical models of the noncentrosomal plant cortical microtubule cytoskeleton",2012,"Cytoskeleton","69","3",,"144","154",,9,10.1002/cm.21009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858707778&partnerID=40&md5=40f771caae5310dbff110bfc80c3e994",Review,Scopus,2-s2.0-84858707778
"Tulin, A., McClerklin, S., Huang, Y., Dixit, R.","Single-molecule analysis of the microtubule cross-linking protein MAP65-1 reveals a molecular mechanism for contact-angle-dependent microtubule bundling",2012,"Biophysical Journal","102","4",,"802","809",,13,10.1016/j.bpj.2012.01.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863160726&partnerID=40&md5=71074f0ce61c0ed307560da9f44a0751",Article,Scopus,2-s2.0-84863160726
"Dixit, R.","Putting a bifunctional motor to work: Insights into the role of plant KCH kinesins",2012,"New Phytologist","193","3",,"543","545",,1,10.1111/j.1469-8137.2011.04030.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855799960&partnerID=40&md5=c1277d0decc96fd67c3679ebb77e19aa",Note,Scopus,2-s2.0-84855799960
"Zhu, C., Dixit, R.","Functions of the Arabidopsis kinesin superfamily of microtubule-based motor proteins",2012,"Protoplasma","249","4",,"887","899",,23,10.1007/s00709-011-0343-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867140060&partnerID=40&md5=25d6658f73d14b68483826e94a00c96c",Review,Scopus,2-s2.0-84867140060
"Zhu, C., Dixit, R.","Single molecule analysis of the arabidopsis FRA1 kinesin shows that it is a functional motor protein with unusually high processivity",2011,"Molecular Plant","4","5",,"879","885",,19,10.1093/mp/ssr077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053545185&partnerID=40&md5=1b26e6d5d87e2f9278dd89012d581c5d",Article,Scopus,2-s2.0-80053545185
"Sun, F., Zhu, C., Dixit, R., Cavalli, V.","Sunday Driver/JIP3 binds kinesin heavy chain directly and enhances its motility",2011,"EMBO Journal","30","16",,"3416","3429",,25,10.1038/emboj.2011.229,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80155174991&partnerID=40&md5=a7ee599c8b4df991ec0145702dc438cf",Article,Scopus,2-s2.0-80155174991
"Ross, J.L., Dixit, R.","Multiple color single molecule TIRF imaging and tracking of MAPs and motors",2010,"Methods in Cell Biology","95","C",,"521","542",,7,10.1016/S0091-679X(10)95026-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955303163&partnerID=40&md5=f1c1fbab0679ab6c0b62a135d728190b",Book,Scopus,2-s2.0-77955303163
"Dixit, R., Ross, J.L.","Studying plus-end tracking at single molecule resolution using TIRF microscopy",2010,"Methods in Cell Biology","95","C",,"543","554",,11,10.1016/S0091-679X(10)95027-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955291050&partnerID=40&md5=15db619da1884879b90471ad5b167429",Book,Scopus,2-s2.0-77955291050
"Eren, E.C., Dixit, R., Gautam, N.","A three-dimensional computer simulation model reveals the mechanisms for self-organization of plant cortical microtubules into oblique arrays",2010,"Molecular Biology of the Cell","21","15",,"2674","2684",,30,10.1091/mbc.E10-02-0136,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955118991&partnerID=40&md5=798b2a393c6a2d32099cee0e31266d9d",Article,Scopus,2-s2.0-77955118991
"Perlson, E., Jeong, G.-B., Ross, J.L., Dixit, R., Wallace, K.E., Kalb, R.G., Holzbaur, E.L.F.","A switch in retrograde signaling from survival to stress in rapid-onset neurodegeneration",2009,"Journal of Neuroscience","29","31",,"9903","9917",,89,10.1523/JNEUROSCI.0813-09.2009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68549121208&partnerID=40&md5=17a1db18802f475a605a02d04b10e086",Article,Scopus,2-s2.0-68549121208
"Dixit, R., Barnett, B., Lazarus, J.E., Tokito, M., Goldman, Y.E., Holzbaur, E.L.F.","Microtubule plus-end tracking by CLIP-170 requires EB1",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","2",,"492","497",,97,10.1073/pnas.0807614106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58849123691&partnerID=40&md5=e3b66973ab54b0e5bc0aa8be0e63dca5",Article,Scopus,2-s2.0-58849123691
"Dixit, R., Levy, J.R., Tokito, M., Ligon, L.A., Holzbaur, E.L.F.","Regulation of dynactin through the differential expression of p150 Glued isoforms",2008,"Journal of Biological Chemistry","283","48",,"33611","33619",,41,10.1074/jbc.M804840200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57749110732&partnerID=40&md5=45e73732dfd33eb7406304b67eab66df",Article,Scopus,2-s2.0-57749110732
"Dixit, R., Ross, J.L., Goldman, Y.E., Holzbaur, E.L.F.","Differential regulation of dynein and kinesin motor proteins by tau",2008,"Science","319","5866",,"1086","1089",,352,10.1126/science.1152993,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39749165656&partnerID=40&md5=b6d54ef35df7cc540a5dd23dad137017",Article,Scopus,2-s2.0-39749165656
"Dixit, R., Chang, E., Cyr, R.","Establishment of polarity during organization of the acentrosomal plant cortical microtubule array",2006,"Molecular Biology of the Cell","17","3",,"1298","1305",,57,10.1091/mbc.E05-09-0864,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644855507&partnerID=40&md5=7f9b6714653c04e45344c84ad4f1e7ca",Article,Scopus,2-s2.0-33644855507
"Dixit, R., Cyr, R., Gilroy, S.","Using intrinsically fluorescent proteins for plant cell imaging",2006,"Plant Journal","45","4",,"599","615",,78,10.1111/j.1365-313X.2006.02658.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644853883&partnerID=40&md5=538c56aa956690a2a8a4979400ae7c39",Review,Scopus,2-s2.0-33644853883
"Marcus, A.I., Dixit, R., Cyr, R.J.","Narrowing of the preprophase microtubule band is not required for cell division plane determination in cultured plant cells",2005,"Protoplasma","226","3-4",,"169","174",,16,10.1007/s00709-005-0119-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-28644451662&partnerID=40&md5=94a885ef259621b1dd096b557f2d7f7e",Article,Scopus,2-s2.0-28644451662
"Patel, S., Rose, A., Meulia, T., Dixit, R., Cyr, R.J., Meier, I.","Arabidopsis WPP-domain proteins are developmentally associated with the nuclear envelope and promote cell division",2004,"Plant Cell","16","12",,"3260","3273",,29,10.1105/tpc.104.026740,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17844373122&partnerID=40&md5=1284d288a48824d6f391859db9774ccd",Article,Scopus,2-s2.0-17844373122
"Dixit, R., Cyr, R.","Encounters between dynamic cortical microtubules promote ordering of the cortical array through angle-dependent modifications of microtubule behavior",2004,"Plant Cell","16","12",,"3274","3284",,123,10.1105/tpc.104.026930,"http://www.scopus.com/inward/record.url?eid=2-s2.0-21644447574&partnerID=40&md5=3b9d6f9bdec240ab01c7251877c9a4bf",Article,Scopus,2-s2.0-21644447574
"Dixit, R., Cyr, R.","The cortical microtubule array: From dynamics to organization",2004,"Plant Cell","16","10",,"2546","2552",,44,10.1105/tpc.104.161030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-16644380811&partnerID=40&md5=7ffc17a2bfabbfca1fede50dcb62c1a8",Review,Scopus,2-s2.0-16644380811
"Dixit, R., Cyr, R.","Cell damage and reactive oxygen species production induced by fluorescence microscopy: Effect on mitosis and guidelines for non-invasive fluorescence microscopy",2003,"Plant Journal","36","2",,"280","290",,116,10.1046/j.1365-313X.2003.01868.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0142134227&partnerID=40&md5=53aa509879bfdacc0c44e2a25daaac9b",Article,Scopus,2-s2.0-0142134227
"Dixit, R., Cyr, R.J.","Spatio-temporal relationship between nuclear-envelope breakdown and preprophase band disappearance in cultured tobacco cells: Rapid communication",2002,"Protoplasma","219","1-2",,"116","121",,25,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036181909&partnerID=40&md5=cdfcd70e1ebfcd41dcd5a9203b582cfd",Article,Scopus,2-s2.0-0036181909
"Dixit, R., Cyr, R.","Golgi secretion is not required for marking the preprophase band site in cultured tobacco cells",2002,"Plant Journal","29","1",,"99","108",,32,10.1046/j.0960-7412.2001.01202.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036007587&partnerID=40&md5=b04656b7fa62c369c0e5742dafce5089",Article,Scopus,2-s2.0-0036007587
"Dixit, R., Rizzo, C., Nasrallah, M., Nasrallah, J.","The brassica MIP-MOD gene encodes a functional water channel that is expressed in the stigma epidermis",2001,"Plant Molecular Biology","45","1",,"51","62",,39,10.1023/A:1006428007826,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035114753&partnerID=40&md5=671ef7851e703bec5cf9ca84a46a14b9",Article,Scopus,2-s2.0-0035114753
"Dixit, R., Nasrallah, J.B.","Recognizing self in the self-incompatibility response",2001,"Plant Physiology","125","1",,"105","108",,18,10.1104/pp.125.1.105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035144224&partnerID=40&md5=e3484d5ace3aeaea831417cce925fefa",Article,Scopus,2-s2.0-0035144224
"Dixit, R., Nasrallah, M.E., Nasrallah, J.B.","Post-transcriptional maturation of the S receptor kinase of Brassica correlates with co-expression of the S-locus glycoprotein in the stigmas of two Brassica strains and in transgenic tobacco plants",2000,"Plant Physiology","124","1",,"297","311",,54,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033829881&partnerID=40&md5=35ff0c5ac962158c9070ee4e74f3225b",Article,Scopus,2-s2.0-0033829881
"Ikeda, S., Nasrallah, J.B., Dixit, R., Preiss, S., Nasrallah, M.E.","An aquaporin-like gene required for the Brassica self-incompatibility response",1997,"Science","276","5318",,"1564","1566",,95,10.1126/science.276.5318.1564,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030918571&partnerID=40&md5=d19aead0e610562c3dfdb0b02e48297a",Article,Scopus,2-s2.0-0030918571
"Stein, J.C., Dixit, R., Nasrallah, M.E., Nasrallah, J.B.","SRK, the stigma-specific S locus receptor kinase of Brassica, is targeted to the plasma membrane in transgenic tobacco",1996,"Plant Cell","8","3",,"429","445",,111,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030098203&partnerID=40&md5=52f95e17a20af04eef3dac955c19a511",Article,Scopus,2-s2.0-0030098203
"Metz, T.D., Dixit, R., Earle, E.D.","Agrobacterium tumefaciens-mediated transformation of broccoli (Brassica oleracea var. italica) and cabbage (B. oleracea var. capitata)",1995,"Plant Cell Reports","15","3-4",,"287","292",,86,10.1007/BF00193738,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029186927&partnerID=40&md5=79f35a01955c7fcdd5b5e87ec47e83e8",Article,Scopus,2-s2.0-0029186927
