Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pawluczyk, M., Weiss, J., Links, M.G., Egaña Aranguren, M., Wilkinson, M.D., Egea-Cortines, M.","Quantitative evaluation of bias in PCR amplification and next-generation sequencing derived from metabarcoding samples",2015,"Analytical and Bioanalytical Chemistry","407","7",,"1841","1848",,,10.1007/s00216-014-8435-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928592031&partnerID=40&md5=c7bd0404ca854c2bde97b7b677f9e970",Article,Scopus,2-s2.0-84928592031
"Manchado-Rojo, M., Weiss, J., Egea-Cortines, M.","Validation of Aintegumenta as a gene to modify floral size in ornamental plants",2014,"Plant Biotechnology Journal","12","8",,"1053","1065",,1,10.1111/pbi.12212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925940019&partnerID=40&md5=f531b275101e7f053e47811cdb8fc239",Article,Scopus,2-s2.0-84925940019
"Ruíz-Ramón, F., Águila, D.J., Egea-Cortines, M., Weiss, J.","Optimization of fragrance extraction: Daytime and flower age affect scent emission in simple and double narcissi",2014,"Industrial Crops and Products","52",,,"671","678",,2,10.1016/j.indcrop.2013.11.034,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890841895&partnerID=40&md5=098f27a7ca31ac8b4976d241d6658d80",Article,Scopus,2-s2.0-84890841895
"Egea-Cortines, M., Ruiz-Ramon, F., Weiss, J.","Circadian Regulation of Horticultural Traits: Integration of Environmental Signals",2013,"Horticultural Reviews","41",,,"1","46",,1,10.1002/9781118707418.ch01,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890854267&partnerID=40&md5=17b4a7e09e37e1ba10a44ad76ad44bc8",Book Chapter,Scopus,2-s2.0-84890854267
"Navarro, P.J., Fernández, C., Weiss, J., Egea-Cortines, M.","Development of a configurable growth chamber with a computer vision system to study circadian rhythm in plants",2012,"Sensors (Switzerland)","12","11",,"15356","15375",,1,10.3390/s121115356,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870545640&partnerID=40&md5=3c3f48f421e1af5fb3f6d24c5bdc9154",Article,Scopus,2-s2.0-84870545640
"Manchado-Rojo, M., Delgado-Benarroch, L., Roca, M.J., Weiss, J., Egea-Cortines, M.","Quantitative levels of Deficiens and Globosa during late petal development show a complex transcriptional network topology of B function",2012,"Plant Journal","72","2",,"294","307",,8,10.1111/j.1365-313X.2012.05080.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867576347&partnerID=40&md5=689800e6eba70f5e5a002a6ff6fbf6b0",Article,Scopus,2-s2.0-84867576347
"Weiss, J., Mallona, I., Gomez-di-Marco, P., Fernández-Valera, J.M., Egea-Cortines, M.","Genotyping Antirrhinum commercial varieties using miniature inverted-repeat transposable elements (MITEs)",2012,"Scientia Horticulturae","144",,,"161","167",,2,10.1016/j.scienta.2012.06.040,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864415790&partnerID=40&md5=98dc4a7a32bfb07e6c7cd834b710df29",Article,Scopus,2-s2.0-84864415790
"Pawluczyk, M., Weiss, J., Vicente-Colomer, M.J., Egea-Cortines, M.","Two alleles of rpoB and rpoC1 distinguish an endemic European population from Cistus heterophyllus and its putative hybrid (C. × clausonis) with C. albidus",2012,"Plant Systematics and Evolution","298","2",,"409","419",,1,10.1007/s00606-011-0554-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856219451&partnerID=40&md5=214e14668e540d791abebe8c695faf16",Article,Scopus,2-s2.0-84856219451
"Mallona, I., Egea-Cortines, M., Weiss, J.","Conserved and divergent rhythms of Crassulacean acid metabolism-related and core clock gene expression in the cactus Opuntia ficus-indica",2011,"Plant Physiology","156","4",,"1978","1989",,11,10.1104/pp.111.179275,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79961175806&partnerID=40&md5=1f5d186ef6fc25c0d7b35aac9048d9be",Article,Scopus,2-s2.0-79961175806
"Schwarz-Sommer, Z., Gübitz, T., Weiss, J., Gómez-di-Marco, P., Delgado-Benarroch, L., Hudson, A., Egea-Cortines, M.","A molecular recombination map of Antirrhinum majus",2010,"BMC Plant Biology","10",, 275,"","",,5,10.1186/1471-2229-10-275,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650063279&partnerID=40&md5=427f68926b73aff88ecf74e6ff1d2dc1",Article,Scopus,2-s2.0-78650063279
