Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Etchells, J.P., Smit, M.E., Gaudinier, A., Williams, C.J., Brady, S.M.","A brief history of the TDIF-PXY signalling module: balancing meristem identity and differentiation during vascular development",2015,"New Phytologist",,,,"","",,,10.1111/nph.13642,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942465715&partnerID=40&md5=5ef754f27700a2548566ff2922a35ff5",Article in Press,Scopus,2-s2.0-84942465715
"Etchells, J.P., Mishra, L.S., Kumar, M., Campbell, L., Turner, S.R.","Wood formation in trees is increased by manipulating PXY-regulated cell division",2015,"Current Biology","25","8", 11830,"1050","1055",,2,10.1016/j.cub.2015.02.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928769204&partnerID=40&md5=629bdc31031300d10deebd7c62999102",Article,Scopus,2-s2.0-84928769204
"Etchells, J.P., Provost, C.M., Mishr, L., Turner, S.R.","WOX4 and WOX14 act downstream of the PXY receptor kinase to regulate plant vascular proliferation independently of any role in vascular organisation",2013,"Development (Cambridge)","140","10",,"2224","2234",,31,10.1242/dev.091314,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877067541&partnerID=40&md5=5d5a13d0cfa2ee1d03a544d88f9cf5ac",Article,Scopus,2-s2.0-84877067541
"Etchells, J.P., Moore, L., Jiang, W.Z., Prescott, H., Capper, R., Saunders, N.J., Bhatt, A.M., Dickinson, H.G.","A role for BELLRINGER in cell wall development is supported by loss-of-function phenotypes",2012,"BMC Plant Biology","12",, 212,"","",,4,10.1186/1471-2229-12-212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872168957&partnerID=40&md5=ba103c560fb8249447103080127ceea7",Article,Scopus,2-s2.0-84872168957
"Etchells, J.P., Provost, C.M., Turner, S.R.","Plant Vascular Cell Division Is Maintained by an Interaction between PXY and Ethylene Signalling",2012,"PLoS Genetics","8","11", e1002997,"","",,28,10.1371/journal.pgen.1002997,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870659416&partnerID=40&md5=b20c7a6b943ab347bf8816973ee671a3",Article,Scopus,2-s2.0-84870659416
"Etchells, J.P., Turner, S.R.","Orientation of vascular cell divisions in Arabidopsis",2010,"Plant Signaling and Behavior","5","6",,"730","732",,3,10.1242/dev.04491,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860118022&partnerID=40&md5=85b311f31e8e1189b0e7350a1f9a906a",Article,Scopus,2-s2.0-84860118022
"Etchells, J.P., Turner, S.R.","The PXY-CLE41 receptor ligand pair defines a multifunctional pathway that controls the rate and orientation of vascularcell division",2010,"Development","137","5",,"767","774",,89,10.1242/dev.044941,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76449101967&partnerID=40&md5=d326bbeed6497738589d477d091924d3",Article,Scopus,2-s2.0-76449101967
"Atanassov, I.I., Atanassov, I.I., Etchells, J.P., Turner, S.R.","A simple, flexible and efficient PCR-fusion/Gateway cloning procedure for gene fusion, site-directed mutagenesis, short sequence insertion and domain deletions and swaps",2009,"Plant Methods","5","1", 14,"","",,20,10.1186/1746-4811-5-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72449134454&partnerID=40&md5=86a5e4d9081e997b0dc496b1d18b19f7",Article,Scopus,2-s2.0-72449134454
"Pinon, V., Etchells, J.P., Rossignol, P., Collier, S.A., Arroyo, J.M., Martienssen, R.A., Byrne, M.E.","Three PIGGYBACK genes that specifically influence leaf patterning encode ribosomal proteins",2008,"Development","135","7",,"1315","1324",,78,10.1242/dev.016469,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43049106833&partnerID=40&md5=a1aef8ef12a4fa99b4111fe24b78cb31",Article,Scopus,2-s2.0-43049106833
"Alencar, N.M.N., Oliveira, J.S., Mesquita, R.O., Lima, M.W., Vale, M.R., Etchells, J.P., Freitas, C.D.T., Ramos, M.V.","Pro- and anti-inflammatory activities of the latex from Calotropis procera (Ait.) R.Br. are triggered by compounds fractionated by dialysis",2006,"Inflammation Research","55","12",,"559","564",,23,10.1007/s00011-006-6025-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846377130&partnerID=40&md5=0c7ec8129cd28a5b49130dcee92eca91",Article,Scopus,2-s2.0-33846377130
"Ramos, M.V., Aguiar, V.C., da Silva Xavier, A.A., Lima, M.W., Bandeira, G.P., Etchells, J.P., Nogueira, N.A.P., Alencar, N.M.N.","Latex proteins from the plant Calotropis procera are partially digested upon in vitro enzymatic action and are not immunologically detected in fecal material",2006,"Fitoterapia","77","4",,"251","256",,12,10.1016/j.fitote.2006.02.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33646945054&partnerID=40&md5=99ebe2412778f08138fea257a0c240e1",Article,Scopus,2-s2.0-33646945054
"Bhatt, A.M., Etchells, J.P., Canales, C., Lagodienko, A., Dickinson, H.","VAAMANA - A BEL1-like homeodomain protein, interacts with KNOX proteins BP and STM and regulates inflorescence stem growth in Arabidopsis",2004,"Gene","328","1-2",,"103","111",,75,10.1016/j.gene.2003.12.033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1542500543&partnerID=40&md5=76d59254c1eb5bbee53e987a75204b1e",Article,Scopus,2-s2.0-1542500543
