Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Alaganan, A., Fentress, S.J., Tang, K., Wang, Q., Sibley, L.D.","Toxoplasma GRA7 effector increases turnover of immunity-related GTPases and contributes to acute virulence in the mouse",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","3",,"1126","1131",,11,10.1073/pnas.1313501111/-/DCSupplemental,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892910206&partnerID=40&md5=fe562661d4fb4856446de573be20f3ad",Article,Scopus,2-s2.0-84892910206
"Fleitz, A., Nieves, E., Madrid-Aliste, C., Fentress, S.J., Sibley, L.D., Weiss, L.M., Angeletti, R.H., Che, F.-Y.","Enhanced detection of multiply phosphorylated peptides and identification of their sites of modification",2013,"Analytical Chemistry","85","18",,"8566","8576",,5,10.1021/ac401691g,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884268081&partnerID=40&md5=5bbfa16ae3351ce4090bab1973f52b81",Article,Scopus,2-s2.0-84884268081
"Selleck, E.M., Fentress, S.J., Beatty, W.L., Degrandi, D., Pfeffer, K., Virgin IV, H.W., MacMicking, J.D., Sibley, L.D.","Guanylate-binding Protein 1 (Gbp1) Contributes to Cell-autonomous Immunity against Toxoplasma gondii",2013,"PLoS Pathogens","9","4", e1003320,"","",,26,10.1371/journal.ppat.1003320,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876857964&partnerID=40&md5=9dadc29512d8d964a37ebcdea4ff1d93",Article,Scopus,2-s2.0-84876857964
"Nguyen, K.D., Fentress, S.J., Qiu, Y., Yun, K., Cox, J.S., Chawla, A.","Circadian gene Bmal1 regulates diurnal oscillations of Ly6Chi inflammatory monocytes",2013,"Science","341","6153",,"1483","1488",,62,10.1126/science.1240636,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885573359&partnerID=40&md5=82ab8230c6f8749bdc3227bb1dc6601a",Article,Scopus,2-s2.0-84885573359
"Fentress, S.J., Steinfeldt, T., Howard, J.C., Sibley, L.D.","The arginine-rich N-terminal domain of ROP18 is necessary for vacuole targeting and virulence of Toxoplasma gondii",2012,"Cellular Microbiology","14","12",,"1921","1933",,16,10.1111/cmi.12022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869882389&partnerID=40&md5=4000a57257d2504a49b950465963da2d",Article,Scopus,2-s2.0-84869882389
"Behnke, M.S., Fentress, S.J., Mashayekhi, M., Li, L.X., Taylor, G.A., Sibley, L.D.","The Polymorphic Pseudokinase ROP5 Controls Virulence in Toxoplasma gondii by Regulating the Active Kinase ROP18",2012,"PLoS Pathogens","8","11", e1002992,"","",,36,10.1371/journal.ppat.1002992,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870848874&partnerID=40&md5=18d146c73884110b2b7ac36f99503cae",Article,Scopus,2-s2.0-84870848874
"Fentress, S.J., Sibley, L.D.","The secreted kinase ROP18 defends toxoplasma's border",2011,"BioEssays","33","9",,"693","700",,16,10.1002/bies.201100054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051670279&partnerID=40&md5=e233c9c227b28b59beb596a1e5b9a77f",Review,Scopus,2-s2.0-80051670279
"Fentress, S.J., Behnke, M.S., Dunay, I.R., Mashayekhi, M., Rommereim, L.M., Fox, B.A., Bzik, D.J., Taylor, G.A., Turk, B.E., Lichti, C.F., Townsend, R.R., Qiu, W., Hui, R., Beatty, W.L., Sibley, L.D.","Phosphorylation of immunity-related GTPases by a toxoplasma gondii-secreted kinase promotes macrophage survival and virulence",2010,"Cell Host and Microbe","8","6",,"484","495",,109,10.1016/j.chom.2010.11.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650194774&partnerID=40&md5=f0411e8cb58b8839e9285d0bde779f51",Article,Scopus,2-s2.0-78650194774
"Sibley, L.D., Qiu, W., Fentress, S., Taylor, S.J., Khan, A., Hui, R.","Forward genetics in Toxoplasma gondii reveals a family of rhoptry kinases that mediates pathogenesis",2009,"Eukaryotic Cell","8","8",,"1085","1093",,14,10.1128/EC.00107-09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68549109625&partnerID=40&md5=cfa3ca63573045b4be83164d41e3007a",Review,Scopus,2-s2.0-68549109625
"Qiu, W., Wernimont, A., Tang, K., Taylor, S., Lunin, V., Schapira, M., Fentress, S., Hui, R., Sibley, L.D.","Novel structural and regulatory features of rhoptry secretory kinases in Toxoplasma gondii",2009,"EMBO Journal","28","7",,"969","979",,32,10.1038/emboj.2009.24,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65449134710&partnerID=40&md5=00a4152c2a59da71d09cb1b93b5ee333",Article,Scopus,2-s2.0-65449134710
"Taylor, S., Barragan, A., Su, C., Fux, B., Fentress, S.J., Tang, K., Beatty, W.L., El Hajj, H., Jerome, M., Behnke, M.S., White, M., Wootton, J.C., Sibley, L.D.","A secreted serine-threonine kinase determines virulence in the eukaryotic pathogen Toxoplasma gondii",2006,"Science","314","5806",,"1776","1780",,251,10.1126/science.1133643,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845705275&partnerID=40&md5=b7cbc5f3082e26ce5e899a79b2fd1bb7",Article,Scopus,2-s2.0-33845705275
