Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chettoor, A.M., Givan, S.A., Cole, R.A., Coker, C.T., Unger-Wallace, E., Vejlupkova, Z., Vollbrecht, E., Fowler, J.E., Evans, M.M.S.","Discovery of novel transcripts and gametophytic functions via RNA-seq analysis of maize gametophytic transcriptomes",2014,"Genome Biology",,,,"","",,8,10.1186/s13059-014-0414-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908126797&partnerID=40&md5=23643e7b878aeb03986c5685af649337",Article in Press,Scopus,2-s2.0-84908126797
"Vukašinović, N., Cvrčková, F., Eliáš, M., Cole, R., Fowler, J.E., Žárský, V., Synek, L.","Dissecting a hidden gene duplication: The arabidopsis thaliana SEC10 locus",2014,"PLoS ONE","9","4", e94077,"","",,1,10.1371/journal.pone.0094077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899659556&partnerID=40&md5=7785f39618b04da997e2338d2ef19c82",Article,Scopus,2-s2.0-84899659556
"Li, L., Eichten, S.R., Shimizu, R., Petsch, K., Yeh, C.-T., Wu, W., Chettoor, A.M., Givan, S.A., Cole, R.A., Fowler, J.E., Evans, M.M.S., Scanlon, M.J., Yu, J., Schnable, P.S., Timmermans, M.C.P., Springer, N.M., Muehlbauer, G.J.","Genome-wide discovery and characterization of maize long non-coding RNAs",2014,"Genome Biology","15","2", R40,"","",,21,10.1186/gb-2014-15-2-r40,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899045771&partnerID=40&md5=c83cf34981577717acaa85a026415947",Article,Scopus,2-s2.0-84899045771
"Drdová, E.J., Synek, L., Pečenková, T., Hála, M., Kulich, I., Fowler, J.E., Murphy, A.S., Žárský, V.","The exocyst complex contributes to PIN auxin efflux carrier recycling and polar auxin transport in Arabidopsis",2013,"Plant Journal","73","5",,"709","719",,23,10.1111/tpj.12074,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874494172&partnerID=40&md5=732ceb782fea4d6b4485936d7b2d161a",Article,Scopus,2-s2.0-84874494172
"Peremyslov, V.V., Klocko, A.L., Fowler, J.E., Dolja, V.V.","Arabidopsis myosin XI-K localizes to the motile endomembrane vesicles associated with F-actin",2012,"Frontiers in Plant Science","3","SEP", 184,"","",,25,10.3389/fpls.2012.00184,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873059127&partnerID=40&md5=c21710cd9e0cead29abd0cc700d1d0f4",Article,Scopus,2-s2.0-84873059127
"Humphries, J.A., Vejlupkova, Z., Luo, A., Meeley, R.B., Sylvester, A.W., Fowler, J.E., Smith, L.G.","ROP GTPases act with the receptor-like protein PAN1 to polarize asymmetric cell division in maize",2011,"Plant Cell","23","6",,"2273","2284",,32,10.1105/tpc.111.085597,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960873909&partnerID=40&md5=a5ef51c3946fe8423f1c58b1ac197b5e",Article,Scopus,2-s2.0-79960873909
"Kulich, I., Cole, R., Drdová, E., Cvrčková, F., Soukup, A., Fowler, J., Žárský, V.","Arabidopsis exocyst subunits SEC8 and EXO70A1 and exocyst interactor ROH1 are involved in the localized deposition of seed coat pectin",2010,"New Phytologist","188","2",,"615","625",,33,10.1111/j.1469-8137.2010.03372.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957139862&partnerID=40&md5=67472064d8b30a4262a049dd3a953ad9",Article,Scopus,2-s2.0-77957139862
"Fendrych, M., Žárský, V., Synek, L., Pečenková, T., Toupalová, H., Cole, R., Drdová, E., Nebesářová, J., Sedinová, M., Hála, M., Fowler, J.E.","The Arabidopsis exocyst complex is involved in cytokinesis and cell plate maturation",2010,"Plant Cell","22","9",,"3053","3065",,46,10.1105/tpc.110.074351,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78049455541&partnerID=40&md5=55e5a77e070b2ddc617988bba6fa50ec",Article,Scopus,2-s2.0-78049455541
"Hála, M., Cole, R., Synek, L., Drdová, E., Pečenková, T., Nordheim, A., Lamkemeyer, T., Madlung, J., Hochholdinger, F., Fowler, J.E., Žárskýa, V.","An exocyst complex functions in plant cell growth in Arabidopsis and tobacco",2008,"Plant Cell","20","5",,"1330","1345",,111,10.1105/tpc.108.059105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-56349103297&partnerID=40&md5=77a43b2e45309c5308974a755c4c4a5e",Article,Scopus,2-s2.0-56349103297
"Cole, R.A., Fowler, J.E.","Polarized growth: maintaining focus on the tip",2006,"Current Opinion in Plant Biology","9","6",,"579","588",,137,10.1016/j.pbi.2006.09.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749547214&partnerID=40&md5=b5e319d20b03ac0fe1b6e8739afc5044",Review,Scopus,2-s2.0-33749547214
