Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Salgado, P., Riobó, P., Rodríguez, F., Franco, J.M., Bravo, I.","Differences in the toxin profiles of Alexandrium ostenfeldii (Dinophyceae) strains isolated from different geographic origins: Evidence of paralytic toxin, spirolide, and gymnodimine",2015,"Toxicon","103",,,"85","98",,,10.1016/j.toxicon.2015.06.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933533626&partnerID=40&md5=df081280c647e48a8f83556c7fc6aa5a",Article,Scopus,2-s2.0-84933533626
"Stüken, A., Riobó, P., Franco, J., Jakobsen, K.S., Guillou, L., Figueroa, R.I.","Paralytic shellfish toxin content is related to genomic sxtA4 copy number in Alexandrium minutum strains",2015,"Frontiers in Microbiology","6","MAY",,"","",,,10.3389/fmicb.2015.00404,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931261459&partnerID=40&md5=c19a72590ce1703d0a1ebab9e40d583c",Article,Scopus,2-s2.0-84931261459
"Alves-de-Souza, C., Varela, D., Contreras, C., de La Iglesia, P., Fernández, P., Hipp, B., Hernández, C., Riobó, P., Reguera, B., Franco, J.M., Diogène, J., García, C., Lagos, N.","Seasonal variability of Dinophysis spp. and Protoceratium reticulatum associated to lipophilic shellfish toxins in a strongly stratified Chilean fjord",2014,"Deep-Sea Research Part II: Topical Studies in Oceanography","101",,,"152","162",,2,10.1016/j.dsr2.2013.01.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900116881&partnerID=40&md5=a3dcc3097b98546a604b67f48cc52669",Article,Scopus,2-s2.0-84900116881
"Domènech, A., Cortés-Francisco, N., Palacios, O., Franco, J.M., Riobó, P., Llerena, J.J., Vichi, S., Caixach, J.","Determination of lipophilic marine toxins in mussels. Quantification and confirmation criteria using high resolution mass spectrometry",2014,"Journal of Chromatography A","1328",,,"16","25",,10,10.1016/j.chroma.2013.12.071,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892970621&partnerID=40&md5=7100f08d0ccc8ce76da3abb50c1fd4f1",Article,Scopus,2-s2.0-84892970621
"Rodríguez, F., Riobó, P., Rial, P., Reguera, B., Franco, J.M.","Feeding of Fragilidium cf. duplocampanaeforme and F. subglobosum on four Dinophysis species: Prey specificity, local adaptation and fate of toxins",2014,"Aquatic Microbial Ecology","72","3",,"241","253",,1,10.3354/ame01700,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902484882&partnerID=40&md5=3329bba7ff5ad0c1225123fdcd4d145a",Article,Scopus,2-s2.0-84902484882
"Reguera, B., Riobó, P., Rodríguez, F., Díaz, P.A., Pizarro, G., Paz, B., Franco, J.M., Blanco, J.","Dinophysis toxins: Causative organisms, distribution and fate in shellfish",2014,"Marine Drugs","12","1",,"394","461",,18,10.3390/md12010394,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892894246&partnerID=40&md5=0b114f9e728644340591f426609fc6f9",Review,Scopus,2-s2.0-84892894246
"Pizarro, G., Moroño, Á., Paz, B., Franco, J.M., Pazos, Y., Reguera, B.","Evaluation of passive samplers as a monitoring tool for early warning of dinophysis toxins in shellfish",2013,"Marine Drugs","11","10",,"3823","3845",,7,10.3390/md11103823,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887086402&partnerID=40&md5=c1250cf56ac3975d679901787a0c758d",Article,Scopus,2-s2.0-84887086402
"Sampedro, N., Franco, J.M., Zapata, M., Riobó, P., Garcés, E., Penna, A., Caillaud, A., Diogène, J., Cacho, E., Camp, J.","The toxicity and intraspecific variability of alexandrium andersonii balech",2013,"Harmful Algae","25",,,"26","38",,3,10.1016/j.hal.2013.02.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876346609&partnerID=40&md5=15b15a4126da2b3764b322e69ae34b80",Article,Scopus,2-s2.0-84876346609
"Casabianca, S., Casabianca, A., Riobó, P., Franco, J.M., Vila, M., Penna, A.","Quantification of the toxic dinoflagellate ostreopsis spp. by qPCR Assay in marine aerosol",2013,"Environmental Science and Technology","47","8",,"3788","3795",,8,10.1021/es305018s,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876269467&partnerID=40&md5=64e97c945672db462fff472743872fef",Article,Scopus,2-s2.0-84876269467
"Aguilera-Belmonte, A., Inostroza, I., Carrillo, K.S., Franco, J.M., Riobó, P., Gómez, P.I.","The combined effect of salinity and temperature on the growth and toxin content of four Chilean strains of Alexandrium catenella (Whedon and Kofoid) Balech 1985 (Dinophyceae) isolated from an outbreak occurring in southern Chile in 2009",2013,"Harmful Algae","23",,,"55","59",,5,10.1016/j.hal.2012.12.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873738102&partnerID=40&md5=3f095a0a223b06f82e3be85fd5cb7189",Article,Scopus,2-s2.0-84873738102
"Riobó, P., Reguera, B., Franco, J.M., Rodríguez, F.","First report of the toxin profile of Dinophysis sacculus Stein from LC-MS analysis of laboratory cultures",2013,"Toxicon","76",,,"221","224",,3,10.1016/j.toxicon.2013.10.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887060644&partnerID=40&md5=4521beabd8ba326c0a1492471b2de39a",Article,Scopus,2-s2.0-84887060644
"Paz, B., Blanco, J., Franco, J.M.","Yessotoxins production during the culture of Protoceratium reticulatum strains isolated from Galician Rias Baixas (NW Spain)",2013,"Harmful Algae","21-22",,,"13","19",,4,10.1016/j.hal.2012.11.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872332142&partnerID=40&md5=9144e85a2adf08837d19e52695383176",Article,Scopus,2-s2.0-84872332142
