Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Brẽna-Medina, V., Champneys, A.R., Grierson, C., Ward, M.J.","Mathematical modeling of plant root hair initiation: Dynamics of localized patches",2014,"SIAM Journal on Applied Dynamical Systems","13","1",,"210","248",,4,10.1137/120902264,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897067141&partnerID=40&md5=11b3a96372f5df9f0511b72b44367af6",Article,Scopus,2-s2.0-84897067141
"Hemsley, P.A., Weimar, T., Lilley, K., Dupree, P., Grierson, C.","Palmitoylation in plants: New insights through proteomics",2013,"Plant Signaling and Behavior","8","8",,"","",,1,10.4161/psb.25209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881067705&partnerID=40&md5=e8d29d88e7a4003a288b88219552157c",Article,Scopus,2-s2.0-84881067705
"Hemsley, P.A., Weimar, T., Lilley, K.S., Dupree, P., Grierson, C.S.","A proteomic approach identifies many novel palmitoylated proteins in Arabidopsis",2013,"New Phytologist","197","3",,"805","814",,28,10.1111/nph.12077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872144570&partnerID=40&md5=564d5f482e4e32f19b5bcfa72bb984a0",Article,Scopus,2-s2.0-84872144570
"Gorochowski, T.E., Matyjaszkiewicz, A., Todd, T., Oak, N., Kowalska, K., Reid, S., Tsaneva-Atanasova, K.T., Savery, N.J., Grierson, C.S., di Bernardo, M.","BSim: An agent-based tool for modeling bacterial populations in systems and synthetic biology",2012,"PLoS ONE","7","8", e42790,"","",,8,10.1371/journal.pone.0042790,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865281046&partnerID=40&md5=098467fddc9eb3303bce82635ef91621",Article,Scopus,2-s2.0-84865281046
"Purcell, O., Grierson, C.S., Bernardo, M.D., Savery, N.J.","Temperature dependence of ssrA-tag mediated protein degradation",2012,"Journal of Biological Engineering","6",, 10,"","",,5,10.1186/1754-1611-6-10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870342579&partnerID=40&md5=6381011097ff474ec0f85f66133cece7",Letter,Scopus,2-s2.0-84870342579
"Gorochowski, T.E., Di Bernardo, M., Grierson, C.S.","Using aging to visually uncover evolutionary processes on networks",2012,"IEEE Transactions on Visualization and Computer Graphics","18","8", 6214949,"1343","1352",,,10.1109/TVCG.2011.142,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862631609&partnerID=40&md5=4bd4f73da2917c6215a83c9cca89189c",Article,Scopus,2-s2.0-84862631609
"Gorochowski, T.E., di Bernardo, M., Grierson, C.S.","Evolving dynamical networks: A formalism for describing complex systems",2012,"Complexity","17","3",,"18","25",,14,10.1002/cplx.20386,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855807630&partnerID=40&md5=dafc6db0d360a40d89fed4b00e87b125",Article,Scopus,2-s2.0-84855807630
"Hemsley, P.A., Grierson, C.S.","The ankyrin repeats and DHHC S-acyl transferase domain of AKR1 act independently to regulate switching from vegetative to mating states in yeast",2011,"PLoS ONE","6","12", e28799,"","",,11,10.1371/journal.pone.0028799,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82955207208&partnerID=40&md5=56cdaabf978ed00cf98a039cb49bda7d",Article,Scopus,2-s2.0-82955207208
"Grierson, C.S., Barnes, S.R., Chase, M.W., Clarke, M., Grierson, D., Edwards, K.J., Jellis, G.J., Jones, J.D., Knapp, S., Oldroyd, G., Poppy, G., Temple, P., Williams, R., Bastow, R.","One hundred important questions facing plant science research",2011,"New Phytologist","192","1",,"6","12",,29,10.1111/j.1469-8137.2011.03859.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860390460&partnerID=40&md5=51946972426b8d349a01af63258a110d",Letter,Scopus,2-s2.0-84860390460
"Purcell, O., di Bernardo, M., Grierson, C.S., Savery, N.J.","A multi-functional synthetic gene network: A frequency multiplier, oscillator and switch",2011,"PLoS ONE","6","2", e16140,"","",,8,10.1371/journal.pone.0016140,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951929145&partnerID=40&md5=e9626e4306c2b2bd05667105a68d8a68",Article,Scopus,2-s2.0-79951929145
