Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rousset, F., Kirkpatrick, M., Guerrero, R.F.","Matrix inversions for chromosomal inversions: A method to construct summary statistics in complex coalescent models",2014,"Theoretical Population Biology","97",,,"1","10",,,10.1016/j.tpb.2014.07.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908351920&partnerID=40&md5=1ef7e802a0d2a98467a2c4b2c659e836",Article,Scopus,2-s2.0-84908351920
"Hopkins, R., Guerrero, RafaelF., Rausher, MarkD., Kirkpatrick, M.","Strong Reinforcing Selection in a Texas Wildflower",2014,"Current Biology",,,,"","",,,10.1016/j.cub.2014.07.027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906029154&partnerID=40&md5=a93649e1636e21062235b85d6a6e2665",Article in Press,Scopus,2-s2.0-84906029154
"Guerrero, R.F., Kirkpatrick, M.","Local adaptation and the evolution of chromosome fusions",2014,"Evolution","68","10",,"2747","2756",,4,10.1111/evo.12481,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908068519&partnerID=40&md5=09ad3000c711c22faa66e1f715515385",Article,Scopus,2-s2.0-84908068519
"Kirkpatrick, M., Guerrero, R.F.","Signatures of sex-antagonistic selection on recombining sex chromosomes",2014,"Genetics","197","2",,"531","541",,12,10.1534/genetics.113.156026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897416351&partnerID=40&md5=899c02e7e9fd5c1dcc40f9414e04dbbd",Article,Scopus,2-s2.0-84897416351
"Hopkins, R., Guerrero, R.F., Rausher, M.D., Kirkpatrick, M.","Strong reinforcing selection in a Texas wildflower",2014,"Current Biology","24","17",,"1995","1999",,3,10.1016/j.cub.2014.07.027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907970670&partnerID=40&md5=2c244d20eda0e3e849901ac60fadc982",Article,Scopus,2-s2.0-84907970670
"Peischl, S., Koch, E., Guerrero, R.F., Kirkpatrick, M.","A sequential coalescent algorithm for chromosomal inversions",2013,"Heredity","111","3",,"200","209",,4,10.1038/hdy.2013.38,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882448684&partnerID=40&md5=af89cedebb499d9fc9f271b58e1da826",Article,Scopus,2-s2.0-84882448684
"Ayala, D., Guerrero, R.F., Kirkpatrick, M.","Reproductive isolation and local adaptation quantified for a chromosome inversion in a malaria mosquito",2013,"Evolution","67","4",,"946","958",,14,10.1111/j.1558-5646.2012.01836.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875814325&partnerID=40&md5=9219aed388bc2384dadb4de2e0535769",Article,Scopus,2-s2.0-84875814325
"McTavish, E.J., Smith, G.K., Guerrero, R.F., Gering, E.J.","Variation in flight morphology in a damselfly with female-limited polymorphism",2012,"Evolutionary Ecology Research","14","3",,"325","341",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873621454&partnerID=40&md5=5ec98f4b718a37e76463bec14c93cbf5",Article,Scopus,2-s2.0-84873621454
"Guerrero, R.F., Kirkpatrick, M., Perrin, N.","Cryptic recombination in the ever-young sex chromosomes of Hylid frogs",2012,"Journal of Evolutionary Biology","25","10",,"1947","1954",,13,10.1111/j.1420-9101.2012.02591.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866145768&partnerID=40&md5=0d914574622e64b733bba6003dd8c51c",Article,Scopus,2-s2.0-84866145768
"Guerrero, R.F., Rousset, F., Kirkpatrick, M.","Coalescent patterns for chromosomal inversions in divergent populations",2012,"Philosophical Transactions of the Royal Society B: Biological Sciences","367","1587",,"430","438",,24,10.1098/rstb.2011.0246,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84255162265&partnerID=40&md5=c07a83421a6905f8f1c737c6cd67ad21",Article,Scopus,2-s2.0-84255162265
"Otto, S.P., Pannell, J.R., Peichel, C.L., Ashman, T.-L., Charlesworth, D., Chippindale, A.K., Delph, L.F., Guerrero, R.F., Scarpino, S.V., McAllister, B.F.","About PAR: The distinct evolutionary dynamics of the pseudoautosomal region",2011,"Trends in Genetics","27","9",,"358","367",,42,10.1016/j.tig.2011.05.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856615436&partnerID=40&md5=2179f81e4dfc00dc4ab2d542b91b6c5b",Review,Scopus,2-s2.0-84856615436
"Kirkpatrick, M., Guerrero, R.F., Scarpino, S.V.","Patterns of neutral genetic variation on recombining sex chromosomes",2010,"Genetics","184","4",,"1141","1152",,15,10.1534/genetics.109.113555,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955873390&partnerID=40&md5=52d7879ba37191906d7bc9cc29d73508",Article,Scopus,2-s2.0-77955873390
