Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lin, T., Lashbrook, C.C., Cho, S.K., Butler, N.M., Sharma, P., Muppirala, U., Severin, A.J., Hannapel, D.J.","Transcriptional analysis of phloem-associated cells of potato",2015,"BMC Genomics","16","1", 665,"","",,,10.1186/s12864-015-1844-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940536378&partnerID=40&md5=4b5e0b50d3255a52698a0a897cc3df30",Article,Scopus,2-s2.0-84940536378
"Sharma, P., Lin, T., Grandellis, C., Yu, M., Hannapel, D.J.","The BEL1-like family of transcription factors in potato",2014,"Journal of Experimental Botany","65","2",,"709","723",,4,10.1093/jxb/ert432,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893225947&partnerID=40&md5=20c2857e688908fcba2f2ec1398cdc30",Article,Scopus,2-s2.0-84893225947
"Hannapel, D.J.","A perspective on photoperiodic phloem-mobile signals that control development",2013,"Frontiers in Plant Science","4","AUG", 295,"","",,5,10.3389/fpls.2013.00295,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884150846&partnerID=40&md5=d6065ee5f87f7c7aabce18b9fce5ad33",Review,Scopus,2-s2.0-84884150846
"Hannapel, D.J., Sharma, P., Lin, T.","Phloem-mobile messengerRNAs and root development",2013,"Frontiers in Plant Science","4","JUL", 257,"","",,9,10.3389/fpls.2013.00257,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893260394&partnerID=40&md5=a9dbb6136c82f322fe8559e10dae6f3e",Article,Scopus,2-s2.0-84893260394
"Shah, S., Butler, N.M., Hannapel, D.J., Rao, A.G.","Mapping and Characterization of the Interaction Interface between Two Polypyrimidine-Tract Binding Proteins and a Nova-Type Protein of Solanum tuberosum",2013,"PLoS ONE","8","5", e64783,"","",,3,10.1371/journal.pone.0064783,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878148610&partnerID=40&md5=500ebd22155e59f0494eec62d40bc6df",Article,Scopus,2-s2.0-84878148610
"Lin, T., Sharma, P., Gonzalez, D.H., Viola, I.L., Hannapel, D.J.","The impact of the long-distance transport of a BEL1-like messenger RNA on development",2013,"Plant Physiology","161","2",,"760","772",,12,10.1104/pp.112.209429,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873256518&partnerID=40&md5=034ec8fb5f9dc892b16f24825a16afb8",Article,Scopus,2-s2.0-84873256518
"Grandellis, C., Giammaria, V., Bialer, M., Santin, F., Lin, T., Hannapel, D.J., Ulloa, R.M.","The novel Solanum tuberosum calcium dependent protein kinase, StCDPK3, is expressed in actively growing organs",2012,"Planta","236","6",,"1831","1848",,1,10.1007/s00425-012-1732-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869506445&partnerID=40&md5=1448549e5bf6b5b903829b9a0be95474",Article,Scopus,2-s2.0-84869506445
"Butler, N.M., Hannapel, D.J.","Promoter activity of polypyrimidine tract-binding protein genes of potato responds to environmental cues",2012,"Planta","236","6",,"1747","1755",,3,10.1007/s00425-012-1726-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869493270&partnerID=40&md5=2512173eeb54d7b44bf0f2ae767508d1",Article,Scopus,2-s2.0-84869493270
"Hannapel, D.J.","The Effect of Long-Distance Signaling on Development",2012,"Phloem: Molecular Cell Biology, Systemic Communication, Biotic Interactions",,,,"209","226",,1,10.1002/9781118382806.ch10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873259345&partnerID=40&md5=737e80b6ad06f433d0a0dc1c275e949c",Book Chapter,Scopus,2-s2.0-84873259345
"Cho, S.K., Kang, I.-H., Carr, T., Hannapel, D.J.","Using the yeast three-hybrid system to identify proteins that interact with a phloem-mobile mRNA",2012,"Frontiers in Plant Science","3","AUG", 189,"","",,8,10.3389/fpls.2012.00189,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884156634&partnerID=40&md5=e15e127cf141b2ecce73783d85178bc9",Article,Scopus,2-s2.0-84884156634
