Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"D'Alessandro, S., Golin, S., Hardtke, C.S., Lo Schiavo, F., Zottini, M.","The co-chaperone p23 controls root development through the modulation of auxin distribution in the Arabidopsis root meristem",2015,"Journal of Experimental Botany","66","16",,"5113","5122",,1,10.1093/jxb/erv330,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939488399&partnerID=40&md5=57c565561604f434b31a2d53cdfbd26d",Conference Paper,Scopus,2-s2.0-84939488399
"Rodriguez-Villalon, A., Gujas, B., van Wijk, R., Munnik, T., Hardtke, C.S.","Primary root protophloem differentiation requires balanced phosphatidylinositol-4,5-biphosphate levels and systemically affects root branching",2015,"Development (Cambridge)","142","8",,"1437","1446",,4,10.1242/dev.118364,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926378836&partnerID=40&md5=fdaaad98219ad28087d1bab4eaf160da",Article,Scopus,2-s2.0-84926378836
"Czyzewicz, N., Wildhagen, M., Cattaneo, P., Stahl, Y., Pinto, K.G., Aalen, R.B., Butenko, M.A., Simon, R., Hardtke, C.S., De Smet, I.","Antagonistic peptide technology for functional dissection of CLE peptides revisited",2015,"Journal of Experimental Botany","66","17",,"5367","5374",,4,10.1093/jxb/erv284,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939625373&partnerID=40&md5=130271c2cfd2eeee77e6cf7a885a7d59",Article,Scopus,2-s2.0-84939625373
"Amiguet-Vercher, A., Santuari, L., Gonzalez-Guzman, M., Depuydt, S., Rodriguez, P.L., Hardtke, C.S.","The IBO germination quantitative trait locus encodes a phosphatase 2C-related variant with a nonsynonymous amino acid change that interferes with abscisic acid signaling",2015,"New Phytologist","205","3",,"1076","1082",,1,10.1111/nph.13225,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921055075&partnerID=40&md5=0b408f499729d2f023d6578fbeab9833",Article,Scopus,2-s2.0-84921055075
"Rodriguez-Villalon, A., Gujas, B., Kang, Y.H., Breda, A.S., Cattaneo, P., Depuydt, S., Hardtke, C.S.","Molecular genetic framework for protophloem formation",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","31",,"11551","11556",,10,10.1073/pnas.1407337111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905647857&partnerID=40&md5=4d9fe4893cd08ce5e62fd05825b91b23",Article,Scopus,2-s2.0-84905647857
"Rodriguez-Villalon, A., Hardtke, C.S.","Auxin and its henchmen: Hormonal cross talk in root growth and development",2014,"Auxin and Its Role in Plant Development",,,,"245","264",,,10.1007/978-3-7091-1526-8_12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930730893&partnerID=40&md5=1d29b6da8d51d2ce12bb7fb6a480ea13",Book Chapter,Scopus,2-s2.0-84930730893
"Sankar, M., Nieminen, K., Ragni, L., Xenarios, I., Hardtke, C.S.","Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth",2014,"eLife","2014","3", e01567,"","",,,10.7554/eLife.01567,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898731897&partnerID=40&md5=7e16b9a37c944db8d9103168fb3fa458",Article,Scopus,2-s2.0-84898731897
"Chevalier, F., Nieminen, K., Sánchez-Ferrero, J.C., Rodríguez, M.L., Chagoyen, M., Hardtke, C.S., Cubas, P.","Strigolactone promotes degradation of DWARF14, an α/β hydrolase essential for strigolactone signaling in Arabidopsis",2014,"Plant Cell","26","3",,"1134","1150",,16,10.1105/tpc.114.122903,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899132374&partnerID=40&md5=e43f3bc227c3bc4d0b14b6c3533f88fe",Article,Scopus,2-s2.0-84899132374
"Ragni, L., Hardtke, C.S.","Small but thick enough - the Arabidopsis hypocotyl as a model to study secondary growth",2014,"Physiologia Plantarum","151","2",,"164","171",,4,10.1111/ppl.12118,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900336650&partnerID=40&md5=99273a588fd217784a042e55caab4671",Review,Scopus,2-s2.0-84900336650
"Lowry, D.B., Logan, T.L., Santuari, L., Hardtke, C.S., Richards, J.H., DeRose-Wilson, L.J., McKay, J.K., Sen, S., Juenger, T.E.","Expression quantitative trait locus mapping across water availability environments reveals contrasting associations with genomic features in Arabidopsis",2013,"Plant Cell","25","9",,"3266","3279",,9,10.1105/tpc.113.115352,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886561316&partnerID=40&md5=7081b31e9d917e6605901cb8b5702177",Article,Scopus,2-s2.0-84886561316
"Pacheco-Villalobos, D., Sankar, M., Ljung, K., Hardtke, C.S.","Disturbed Local Auxin Homeostasis Enhances Cellular Anisotropy and Reveals Alternative Wiring of Auxin-ethylene Crosstalk in Brachypodium distachyon Seminal Roots",2013,"PLoS Genetics","9","6", e1003564,"","",,10,10.1371/journal.pgen.1003564,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879642122&partnerID=40&md5=61359e5f7ed6594ac79ecb797b08b8cf",Article,Scopus,2-s2.0-84879642122
"Depuydt, S., Rodriguez-Villalon, A., Santuari, L., Wyser-Rmili, C., Ragni, L., Hardtke, C.S.","Suppression of Arabidopsis protophloem differentiation and root meristem growth by CLE45 requires the receptor-like kinase BAM3",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","17",,"7074","7079",,23,10.1073/pnas.1222314110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876847089&partnerID=40&md5=3c7a9f7029f5c70b3cc056ba208bd58c",Article,Scopus,2-s2.0-84876847089
"Tomanov, K., Hardtke, C., Budhiraja, R., Hermkes, R., Coupland, G., Bachmair, A.","Small Ubiquitin-Like Modifier Conjugating Enzyme with Active Site Mutation Acts as Dominant Negative Inhibitor of SUMO Conjugation in Arabidopsis",2013,"Journal of Integrative Plant Biology","55","1",,"75","82",,3,10.1111/jipb.12016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872778838&partnerID=40&md5=e4431d6a8beaabd39e78e33ba22cde56",Article,Scopus,2-s2.0-84872778838
