Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Brady, S.M., Burow, M., Busch, W., Carlborg, Ö., Denby, K.J., Glazebrook, J., Hamilton, E.S., Harmer, S.L., Haswell, E.S., Maloof, J.N., Springer, N.M., Kliebenstein, D.J.","Reassess the t test: Interact with all your data via ANOVA",2015,"Plant Cell","27","8",,"2088","2094",,1,10.1105/tpc.15.00238,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941313296&partnerID=40&md5=c1e9125e02596f5200c6edf1870d7350",Article,Scopus,2-s2.0-84941313296
"Jones, M.A., Hu, W., Litthauer, S., Lagarias, J.C., Harmer, S.L.","A constitutively active allele of phytochrome B maintains circadian robustness in the absence of light",2015,"Plant Physiology","169","1",,"814","825",,,10.1104/pp.15.00782,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940932560&partnerID=40&md5=e45f0593516a432b9417f53114658332",Article,Scopus,2-s2.0-84940932560
"Hsu, P.Y., Harmer, S.L.","Global profiling of the circadian transcriptome using microarrays",2014,"Methods in Molecular Biology","1158",,,"45","56",,,10.1007/978-1-4939-0700-7_3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922197364&partnerID=40&md5=7f27e874cfd6d6f88cb5cbc0b97ee5e1",Article,Scopus,2-s2.0-84922197364
"Harmer, S.L.","Interview with Stacey L. Harmer",2014,"Trends in Plant Science","19","4",,"203","",,,10.1016/j.tplants.2014.02.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897397476&partnerID=40&md5=9e815a26d40cd28cc177455badc0ab09",Note,Scopus,2-s2.0-84897397476
"Vandenbrink, J.P., Brown, E.A., Harmer, S.L., Blackman, B.K.","Turning heads: The biology of solar tracking in sunflower",2014,"Plant Science","224",,,"20","26",,2,10.1016/j.plantsci.2014.04.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899834149&partnerID=40&md5=5ec95f95a9bcbb289f3ea9c0f36c896c",Review,Scopus,2-s2.0-84899834149
"Hsu, P.Y., Harmer, S.L.","Wheels within wheels: The plant circadian system",2014,"Trends in Plant Science","19","4",,"240","249",,31,10.1016/j.tplants.2013.11.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897418780&partnerID=40&md5=ad06dbabd5c8773b59443282050f5ef9",Review,Scopus,2-s2.0-84897418780
"Anver, S., Roguev, A., Zofall, M., Krogan, N.J., Grewal, S.I.S., Harmer, S.L.","Yeast X-chromosome-associated protein 5 (Xap5) functions with H2A.Z to suppress aberrant transcripts",2014,"EMBO Reports","15","8",,"894","902",,2,10.15252/embr.201438902,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905398440&partnerID=40&md5=4455ff52e81df508e451606915e723c9",Article,Scopus,2-s2.0-84905398440
"Hsu, P.Y., Devisetty, U.K., Harmer, S.L.","Accurate timekeeping is controlled by a cycling activator in Arabidopsis",2013,"eLife","2013","2", e00473,"","",,23,10.7554/eLife.00473,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879065464&partnerID=40&md5=547df6ca4019849183f8a1044d78632c",Article,Scopus,2-s2.0-84879065464
"Zemach, A., Kim, M.Y., Hsieh, P.-H., Coleman-Derr, D., Eshed-Williams, L., Thao, K., Harmer, S.L., Zilberman, D.","The arabidopsis nucleosome remodeler DDM1 allows DNA methyltransferases to access H1-containing heterochromatin",2013,"Cell","153","1",,"193","205",,123,10.1016/j.cell.2013.02.033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875741680&partnerID=40&md5=bf3405928e126d2e22f9dd7108cee782",Article,Scopus,2-s2.0-84875741680
"Hu, W., Franklin, K.A., Sharrock, R.A., Jones, M.A., Harmer, S.L., Lagarias, J.C.","Unanticipated regulatory roles for Arabidopsis phytochromes revealed by null mutant analysis",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","4",,"1542","1547",,14,10.1073/pnas.1221738110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872840030&partnerID=40&md5=953ac4d8be3aea9d86a2a909951b23bf",Article,Scopus,2-s2.0-84872840030
