Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Haydon, M.J., Román, Á., Arshad, W.","Nutrient homeostasis within the plant circadian network",2015,"Frontiers in Plant Science","6","APR", 299,"","",6,,10.3389/fpls.2015.00299,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934873958&partnerID=40&md5=4c6357e639cbed879e4ee05f4b376c21",Review,Scopus,2-s2.0-84934873958
"Haydon, M.J.","Getting a sense for zinc in plants",2014,"New Phytologist","202","1",,"10","12",,1,10.1111/nph.12736,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894435326&partnerID=40&md5=9616873213da63d46a3e296c68bdc471",Editorial,Scopus,2-s2.0-84894435326
"Haydon, M.J., Mielczarek, O., Robertson, F.C., Hubbard, K.E., Webb, A.A.R.","Photosynthetic entrainment of the Arabidopsis thaliana circadian clock",2013,"Nature","502","7473",,"689","692",,41,10.1038/nature12603,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886953405&partnerID=40&md5=3cab0924c70a54d020dc31f267281453",Article,Scopus,2-s2.0-84886953405
"Haydon, M.J., Hearn, T.J., Bell, L.J., Hannah, M.A., Webb, A.A.R.","Metabolic regulation of circadian clocks",2013,"Seminars in Cell and Developmental Biology","24","5",,"414","421",,17,10.1016/j.semcdb.2013.03.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879129213&partnerID=40&md5=56ec27c090de94b8f04c2c89c4becf30",Review,Scopus,2-s2.0-84879129213
"Haydon, M.J., Kawachi, M., Wirtz, M., Hillmer, S., Hell, R., Krämer, U.","Vacuolar nicotianamine has critical and distinct roles under iron deficiency and for zinc sequestration in Arabidopsis",2012,"Plant Cell","24","2",,"724","737",,59,10.1105/tpc.111.095042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859047219&partnerID=40&md5=afa284597fa665b3365120213db5e900",Article,Scopus,2-s2.0-84859047219
"Haydon, M.J., Bell, L.J., Webb, A.A.R.","Interactions between plant circadian clocks and solute transport",2011,"Journal of Experimental Botany","62","7",,"2333","2348",,29,10.1093/jxb/err040,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955397431&partnerID=40&md5=f71309358fd10a63f5047fd590468f06",Article,Scopus,2-s2.0-79955397431
"Dalchau, N., Baek, S.J., Briggs, H.M., Robertson, F.C., Dodd, A.N., Gardner, M.J., Stancombe, M.A., Haydon, M.J., Stan, G.-B., Gonçalves, J.M., Webb, A.A.R.","The circadian oscillator gene GIGANTEA mediates a long-term response of the Arabidopsis thaliana circadian clock to sucrose",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","12",,"5104","5109",,65,10.1073/pnas.1015452108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953169515&partnerID=40&md5=bac5f93deba3cd7e529a2ef2be226ebf",Article,Scopus,2-s2.0-79953169515
"Hanikenne, M., Talke, I.N., Haydon, M.J., Lanz, C., Nolte, A., Motte, P., Kroymann, J., Weigel, D., Krämer, U.","Evolution of metal hyperaccumulation required cis-regulatory changes and triplication of HMA4",2008,"Nature","453","7193",,"391","395",,305,10.1038/nature06877,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43749100069&partnerID=40&md5=c3b0f2f24f889240581542193d9b0f1d",Article,Scopus,2-s2.0-43749100069
"Haydon, M.J., Cobbett, C.S.","Transporters of ligands for essential metal ions in plants: Research review",2007,"New Phytologist","174","3",,"499","506",,155,10.1111/j.1469-8137.2007.02051.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34247371015&partnerID=40&md5=b6437b50b085351988138042a6750f9b",Review,Scopus,2-s2.0-34247371015
"Haydon, M.J., Cobbett, C.S.","A novel major facilitator superfamily protein at the tonoplast influences zinc tolerance and accumulation in Arabidopsis",2007,"Plant Physiology","143","4",,"1705","1719",,88,10.1104/pp.106.092015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34248204401&partnerID=40&md5=ea73913a0f717c34174c5a521ea26962",Article,Scopus,2-s2.0-34248204401
"Hussain, D., Haydon, M.J., Wang, Y., Wong, E., Sherson, S.M., Young, J., Camakaris, J., Harper, J.F., Cobbett, C.S.","P-type ATPase heavy metal transporters with roles in essential zinc homeostasis in arabidopsis",2004,"Plant Cell","16","5",,"1327","1339",,260,10.1105/tpc.020487,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2442556067&partnerID=40&md5=80bde67c745a5f67e54d32e3c29ab1ae",Article,Scopus,2-s2.0-2442556067
"Cobbett, C.S., Hussain, D., Haydon, M.J.","Structural and functional relationships between type 1B heavy metal-transporting P-type ATPases in Arabidopsis",2003,"New Phytologist","159","2",,"315","321",,31,10.1046/j.1469-8137.2003.00785.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042964868&partnerID=40&md5=39ab87ad60acddf497648ec249fd642b",Review,Scopus,2-s2.0-0042964868
