Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Moguel, B., Moreno-Mendoza, N., Bobes, R.J., Carrero, J.C., Chimal-Monroy, J., Díaz-Hernández, M.E., Herrera-Estrella, L., Laclette, J.P.","Transient transgenesis of the tapeworm Taenia crassiceps",2015,"SpringerPlus","4","1", 496,"","",9,,10.1186/s40064-015-1278-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941992226&partnerID=40&md5=0a372f40aa67ae2eced5248fabc02301",Article,Scopus,2-s2.0-84941992226
"Ibarra-Laclette, E., Zamudio-Hernández, F., Pérez-Torres, C.A., Albert, V.A., Ramírez-Chávez, E., Molina-Torres, J., Fernández-Cortes, A., Calderón-Vázquez, C., Olivares-Romero, J.L., Herrera-Estrella, A., Herrera-Estrella, L.","De novo sequencing and analysis of Lophophora williamsii transcriptome, and searching for putative genes involved in mescaline biosynthesis",2015,"BMC Genomics","16","1", 657,"","",,,10.1186/s12864-015-1821-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940510969&partnerID=40&md5=6afcee24f3bbe3287cb2ebd6c8a8ab4d",Article,Scopus,2-s2.0-84940510969
"Kilaru, A., Cao, X., Dabbs, P.B., Sung, H.-J., Rahman, M.M., Thrower, N., Zynda, G., Podicheti, R., Ibarra-Laclette, E., Herrera-Estrella, L., Mockaitis, K., Ohlrogge, J.B.","Oil biosynthesis in a basal angiosperm: Transcriptome analysis of Persea Americana mesocarp",2015,"BMC Plant Biology","15","1", 203,"","",,1,10.1186/s12870-015-0586-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938858929&partnerID=40&md5=6fc286c86480dddfa505a5f75975e0fa",Article,Scopus,2-s2.0-84938858929
"Ibarra-Laclette, E., Méndez-Bravo, A., Pérez-Torres, C.A., Albert, V.A., Mockaitis, K., Kilaru, A., López-Gómez, R., Cervantes-Luevano, J.I., Herrera-Estrella, L.","Deep sequencing of the Mexican avocado transcriptome, an ancient angiosperm with a high content of fatty acids",2015,"BMC Genomics","16","1", 599,"","",,1,10.1186/s12864-015-1775-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938839380&partnerID=40&md5=3ad65e5f6d1bb7c386af27f1c9de297c",Article,Scopus,2-s2.0-84938839380
"Loera-Quezada, M.M., Leyva-González, M.A., López-Arredondo, D., Herrera-Estrella, L.","Phosphite cannot be used as a phosphorus source but is non-toxic for microalgae",2015,"Plant Science","231",,,"124","130",,1,10.1016/j.plantsci.2014.11.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919807794&partnerID=40&md5=c6041e341a7f7db85d3a91d30bebf270",Article,Scopus,2-s2.0-84919807794
"Carretero-Paulet, L., Chang, T.-H., Librado, P., Ibarra-Laclette, E., Herrera-Estrella, L., Rozas, J., Albert, V.A.","Genome-wide analysis of adaptive molecular evolution in the carnivorous plant utricularia gibba",2015,"Genome Biology and Evolution","7","2",,"444","456",,1,10.1093/gbe/evu288,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928255142&partnerID=40&md5=112ddb44c5d95b72debac4500cdee05c",Article,Scopus,2-s2.0-84928255142
"Carretero-Paulet, L., Librado, P., Chang, T.-H., Ibarra-Laclette, E., Herrera-Estrella, L., Rozas, J., Albert, V.A.","High gene family turnover rates and gene space adaptation in the compact genome of the carnivorous plant utricularia gibba",2015,"Molecular Biology and Evolution","32","5",,"1284","1295",,2,10.1093/molbev/msv020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929645881&partnerID=40&md5=ae9edb3d9bb1eb72cc9ebf0909fe380d",Article,Scopus,2-s2.0-84929645881
"Alatorre-Cobos, F., Calderón-Vázquez, C., Ibarra-Laclette, E., Yong-Villalobos, L., Pérez-Torres, C.-A., Oropeza-Aburto, A., Méndez-Bravo, A., González-Morales, S.-I., Gutiérrez-Alanís, D., Chacón-López, A., Peña-Ocaña, B.-A., Herrera-Estrella, L.","An improved, low-cost, hydroponic system for growing Arabidopsis and other plant species under aseptic conditions",2014,"BMC Plant Biology","14","1", 69,"","",,1,10.1186/1471-2229-14-69,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899151127&partnerID=40&md5=e2cbceb7adf655582e598b781847b706",Article,Scopus,2-s2.0-84899151127
"Ha, C.V., Leyva-Gonzalez, M.A., Osakabe, Y., Tran, U.T., Nishiyama, R., Watanabe, Y., Tanaka, M., Seki, M., Yamaguchi, S., Dong, N.V., Yamaguchi-Shinozaki, K., Shinozaki, K., Herrera-Estrella, L., Tran, L.-S.P.","Positive regulatory role of strigolactone in plant responses to drought and salt stress",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","2",,"851","856",,43,10.1073/pnas.1322135111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892589903&partnerID=40&md5=b28af5ad05f70a50836bf7bf9ea5710d",Article,Scopus,2-s2.0-84892589903
"Martínez-Trujillo, M., Méndez-Bravo, A., Ortiz-Castro, R., Hernández-Madrigal, F., Ibarra-Laclette, E., Ruiz-Herrera, L.F., Long, T.A., Cervantes, C., Herrera-Estrella, L., López-Bucio, J.","Chromate alters root system architecture and activates expression of genes involved in iron homeostasis and signaling in Arabidopsis thaliana",2014,"Plant Molecular Biology","86","1-2",,"35","50",,2,10.1007/s11103-014-0210-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906088354&partnerID=40&md5=18c4f1e89314b7e97a1da787c9e1dc5d",Article,Scopus,2-s2.0-84906088354
"Pennec, A., Legentil, L., Herrera-Estrella, L., Ferrières, V., Chauvin, A.-L., Nugier-Chauvin, C.","Environmentally benign glycosylation of aryl pyranosides and aryl/alkyl furanosides demonstrating the versatility of thermostable CGTase from Thermoanaerobacterium sp.",2014,"Green Chemistry","16","8",,"3803","3809",,1,10.1039/c4gc00631c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904906457&partnerID=40&md5=fc2ae4bdb0eb72724763868478ca80e7",Article,Scopus,2-s2.0-84904906457
"López-Arredondo, D.L., Leyva-González, M.A., González-Morales, S.I., López-Bucio, J., Herrera-Estrella, L.","Phosphate nutrition: Improving low-phosphate tolerance in crops",2014,"Annual Review of Plant Biology","65",,,"95","123",,21,10.1146/annurev-arplant-050213-035949,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899742353&partnerID=40&md5=cd631ac27eca75e48ecdd92cc8aa37c2",Review,Scopus,2-s2.0-84899742353
"Qin, C., Yu, C., Shen, Y., Fang, X., Chen, L., Min, J., Cheng, J., Zhao, S., Xu, M., Luo, Y., Yang, Y., Wu, Z., Mao, L., Wu, H., Changying, L.-H., Zhou, H., Lin, H., González-Morales, S., Trejo-Saavedra, D.L., Tian, H., Tang, X., Zhao, M., Huang, Z., Zhou, A., Yao, X., Cui, J., Li, W., Chen, Z., Feng, Y., Niu, Y., Bi, S., Yang, X., Li, W., Cai, H., Luo, X., Montes-Hernández, S., Leyva-González, M.A., Xiong, Z., He, X., Bai, L., Tan, S., Tang, X., Liu, D., Liu, J., Zhang, S., Chen, M., Zhang, L., Zhang, L., Zhang, Y., Liao, W., Zhang, Y., Wang, M., Lv, X., Wen, B., Liu, H., Luan, H., Zhang, Y., Yang, S., Wang, X., Xu, J., Li, X., Li, S., Wang, J., Palloix, A., Bosland, P.W., Li, Y., Krogh, A., Rivera-Bustamante, R.F., Herrera-Estrella, L., Yin, Y., Yu, J., Hu, K., Zhang, Z.","Whole-genome sequencing of cultivated and wild peppers provides insights into Capsicum domestication and specialization",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","14",,"5135","5140",,35,10.1073/pnas.1400975111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898022114&partnerID=40&md5=1b432d35bf3bd0e6ab2f5a1eb845406e",Article,Scopus,2-s2.0-84898022114
"Flores, C.R., Pennec, A., Nugier-Chauvin, C., Daniellou, R., Herrera-Estrella, L., Chauvin, A.-L.","Chemical composition and antibacterial activity of essential oils extracted from plants cultivated in Mexico",2014,"Journal of the Mexican Chemical Society","58","4",,"452","455",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923256341&partnerID=40&md5=e213abec32e4bf3c4f6ed6b0458dad3f",Article,Scopus,2-s2.0-84923256341
