Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Brandizzi, F., Frigerio, L., Howell, S.H., Schäfer, P.","Endoplasmic reticulum-shape and function in stress translation",2014,"Frontiers in Plant Science","5","SEP", 425,"","",,1,10.3389/fpls.2014.00425,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907321605&partnerID=40&md5=67c13f932f75a7c41b73747cc6d245a4",Editorial,Scopus,2-s2.0-84907321605
"Srivastava, R., Deng, Y., Howell, S.H.","Stress sensing in plants by an ER stress sensor/transducer, bZIP28",2014,"Frontiers in Plant Science","5","FEB", 59,"","",,5,10.3389/fpls.2014.00059,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901033236&partnerID=40&md5=05d0b842c658a91c50f49db0a3759061",Review,Scopus,2-s2.0-84901033236
"Deng, Y., Srivastava, R., Howell, S.H.","Protein kinase and ribonuclease domains of IRE1 confer stress tolerance, vegetative growth, and reproductive development in Arabidopsis",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","48",,"19633","19638",,10,10.1073/pnas.1314749110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888364235&partnerID=40&md5=e4214c9a8ac2e1be649890adc92c50dd",Article,Scopus,2-s2.0-84888364235
"Howell, S.H.","Endoplasmic reticulum stress responses in plants",2013,"Annual Review of Plant Biology","64",,,"477","499",,58,10.1146/annurev-arplant-050312-120053,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877341291&partnerID=40&md5=9098574221c2e32293fd816639ac463a",Review,Scopus,2-s2.0-84877341291
"Srivastava, R., Deng, Y., Shah, S., Rao, A.G., Howell, S.H.","Binding protein is a master regulator of the endoplasmic reticulum stress sensor/transducer bZIP28 in Arabidopsis",2013,"Plant Cell","25","4",,"1416","1429",,18,10.1105/tpc.113.110684,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878241444&partnerID=40&md5=a690738591617c25885bf665511d4418",Article,Scopus,2-s2.0-84878241444
"Deng, Y., Srivastava, R., Howell, S.H.","Endoplasmic reticulum (ER) stress response and its physiological roles in plants",2013,"International Journal of Molecular Sciences","14","4",,"8188","8212",,15,10.3390/ijms14048188,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877039003&partnerID=40&md5=6f39b10381528c4c92bf96ac1422d041",Review,Scopus,2-s2.0-84877039003
"Liu, Y., Burgos, J.S., Deng, Y., Srivastava, R., Howell, S.H., Bassham, D.C.","Degradation of the endoplasmic reticulum by autophagy during endoplasmic reticulum stress in Arabidopsisc w",2012,"Plant Cell","24","11",,"4635","4651",,41,10.1105/tpc.112.101535,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871899675&partnerID=40&md5=74d51054f203223d2e59fb6d52be6fef",Article,Scopus,2-s2.0-84871899675
"Humbert, S., Zhong, S., Deng, Y., Howell, S.H., Rothstein, S.J.","Alteration of the bZIP60/IRE1 pathway affects plant response to ER stress in Arabidopsis Thaliana",2012,"PLoS ONE","7","6", e39023,"","",,11,10.1371/journal.pone.0039023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862224647&partnerID=40&md5=8c2108c399664e911fcf2a0a4b39d74c",Article,Scopus,2-s2.0-84862224647
"Srivastava, R., Chen, Y., Deng, Y., Brandizzi, F., Howell, S.H.","Elements proximal to and within the transmembrane domain mediate the organelle-to-organelle movement of bZIP28 under ER stress conditions",2012,"Plant Journal","70","6",,"1033","1042",,15,10.1111/j.1365-313X.2012.04943.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862182568&partnerID=40&md5=4972652ff949e11ea4e0dd2a9dde7357",Article,Scopus,2-s2.0-84862182568
"Li, Y., Humbert, S., Howell, S.H.","ZmbZIP60 mRNA is spliced in maize in response to ER stress",2012,"BMC Research Notes","5",, 144,"","",,7,10.1186/1756-0500-5-144,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862808211&partnerID=40&md5=e8649875f62841b6061789ef37634f36",Article,Scopus,2-s2.0-84862808211
"Deng, Y., Humbert, S., Liu, J.-X., Srivastava, R., Rothstein, S.J., Howell, S.H.","Heat induces the splicing by IRE1 of a mRNA encoding a transcription factor involved in the unfolded protein response in Arabidopsis",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","17",,"7247","7252",,98,10.1073/pnas.1102117108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955556641&partnerID=40&md5=9dd654f5cf8fa2c7ea6e6d4aafb70edd",Article,Scopus,2-s2.0-79955556641
