Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"McGlynn, T.P., Graham, R., Wilson, J., Emerson, J., Jandt, J.M., Jahren, A.H.","Distinct types of foragers in the ant Ectatomma ruidum: Typical foragers and furtive thieves",2015,"Animal Behaviour","109",,,"243","247",,,10.1016/j.anbehav.2015.08.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942570178&partnerID=40&md5=bceb19e92355d44e85a84d466c84d9c1",Article,Scopus,2-s2.0-84942570178
"Schubert, B.A., Jahren, A.H.","Seasonal temperature and precipitation recorded in the intra-annual oxygen isotope pattern of meteoric water and tree-ring cellulose",2015,"Quaternary Science Reviews","125",,,"1","14",,,10.1016/j.quascirev.2015.07.024,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938303868&partnerID=40&md5=e6a6eafae436ce6bae9105f93272e8e3",Review,Scopus,2-s2.0-84938303868
"Bostic, J.N., Palafox, S.J., Rottmueller, M.E., Jahren, A.H.","Effect of baking and fermentation on the stable carbon and nitrogen isotope ratios of grain-based food",2015,"Rapid Communications in Mass Spectrometry","29","10",,"937","947",,,10.1002/rcm.7178,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938686515&partnerID=40&md5=87af017d43f3f18d999300938cca14a5",Article,Scopus,2-s2.0-84938686515
"Hagopian, W.M., Schubert, B.A., Jahren, A.H.","Large-scale plant growth chamber design for elevated pCO<inf>2</inf> and δ13C studies",2015,"Rapid Communications in Mass Spectrometry","29","5",,"440","446",,,10.1002/rcm.7121,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927601564&partnerID=40&md5=9aea5894cb3dd60051aa71c5967ada4b",Article,Scopus,2-s2.0-84927601564
"Arens, N.C., Jahren, A.H., Kendrick, D.C.","Carbon isotope stratigraphy and correlation of plant megafossil localities in the Hell Creek Formation of eastern Montana, USA",2014,"Special Paper of the Geological Society of America","503",,,"149","171",,1,10.1130/2014.2503(05),"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894266733&partnerID=40&md5=ec4e618acb1a7bfe565edb7006444577",Article,Scopus,2-s2.0-84894266733
"Arens, N.C., Thompson, A., Jahren, A.H.","A preliminary test of the press-pulse extinction hypothesis: Palynological indicators of vegetation change preceding the Cretaceous-Paleogene boundary, McCone County, Montana, USA",2014,"Special Paper of the Geological Society of America","503",,,"209","227",,3,10.1130/2014.2503(07),"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894224897&partnerID=40&md5=4f9f862397166518b9f3ce5cdc8c277c",Article,Scopus,2-s2.0-84894224897
"Jahren, A.H.","Gender: Why publish an offensive letter?",2014,"Nature","505","7485",,"618","",,,10.1038/505618b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893341603&partnerID=40&md5=2a37268bad57a5ca1a30a5efe15abe12",Letter,Scopus,2-s2.0-84893341603
"Fakhouri, T.H.I., Jahren, A.H., Appel, L.J., Chen, L., Alavi, R., Anderson, C.A.M.","Serum carbon isotope values change in adults in response to changes in sugar-sweetened beverage intake",2014,"Journal of Nutrition","144","6",,"902","905",,3,10.3945/jn.113.186213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901379597&partnerID=40&md5=1e074d6a5a0f654fb9c87e115cb183ea",Article,Scopus,2-s2.0-84901379597
"Jahren, A.H., Schubert, B.A., Marynowski, L., Wilson, J.P.","The carbon isotope organic geochemistry of early Ordovician rocks from the annascaul formation, county Kerry",2014,"Irish Journal of Earth Sciences","31",,,"1","12",,,10.3318/IJES.2013.31.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894089763&partnerID=40&md5=33f91caa3a160aad00a87b12046f2fb6",Article,Scopus,2-s2.0-84894089763
"Jahren, A.H., Bostic, J.N., Davy, B.M.","The potential for a carbon stable isotope biomarker of dietary sugar intake",2014,"Journal of Analytical Atomic Spectrometry","29","5",,"795","816",,3,10.1039/c3ja50339a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898622333&partnerID=40&md5=7fb4c23eb45ea40ff3600d59f0eb8cd5",Review,Scopus,2-s2.0-84898622333
