Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pieuchot, L., Lai, J., Loh, R.A., Leong, F.Y., Chiam, K.-H., Stajich, J., Jedd, G.","Cellular Subcompartments through Cytoplasmic Streaming",2015,"Developmental Cell","34","4", 3367,"410","420",,1,10.1016/j.devcel.2015.07.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939797928&partnerID=40&md5=a9993fc6b989dd06c434f3859e1aa09a",Article,Scopus,2-s2.0-84939797928
"Chen, Y., Pieuchot, L., Loh, R.A., Yang, J., Kari, T.M.A., Wong, J.Y., Jedd, G.","Hydrophobic handoff for direct delivery of peroxisome tail-anchored proteins",2014,"Nature Communications","5",, 5790,"","",,2,10.1038/ncomms6790,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922725205&partnerID=40&md5=dbaf0861272e9079d28cf47d5de8e514",Article,Scopus,2-s2.0-84922725205
"Jedd, G., Pieuchot, L.","Multiple modes for gatekeeping at fungal cell-to-cell channels",2012,"Molecular Microbiology","86","6",,"1291","1294",,6,10.1111/mmi.12074,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870976054&partnerID=40&md5=11d3bdd3f5eaaa50487d639f42bd4e1c",Note,Scopus,2-s2.0-84870976054
"Pieuchot, L., Jedd, G.","Peroxisome assembly and functional diversity in eukaryotic microorganisms",2012,"Annual Review of Microbiology","66",,,"237","263",,15,10.1146/annurev-micro-092611-150126,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872255359&partnerID=40&md5=49128f855dab09af9455ab66233f24fd",Review,Scopus,2-s2.0-84872255359
"Lai, J., Koh, C.H., Tjota, M., Pieuchot, L., Raman, V., Chandrababu, K.B., Yang, D., Wong, L., Jedd, G.","Intrinsically disordered proteins aggregate at fungal cell-to-cell channels and regulate intercellular connectivity",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","39",,"15781","15786",,17,10.1073/pnas.1207467109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866869780&partnerID=40&md5=a6643f4126a228348926a564e2fe7e99",Article,Scopus,2-s2.0-84866869780
"Calvert, M.E.K., Wright, G.D., Leong, F.Y., Chiam, K.-H., Chen, Y., Jedd, G., Balasubramanian, M.K.","Myosin concentration underlies cell size-dependent scalability of actomyosin ring constriction",2011,"Journal of Cell Biology","195","5",,"799","813",,19,10.1083/jcb.201101055,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862908118&partnerID=40&md5=d15987b62c9ae74a0eef2d6a4f846820",Article,Scopus,2-s2.0-84862908118
"Liu, F., Lu, Y., Pieuchot, L., Dhavale, T., Jedd, G.","Import oligomers induce positive feedback to promote peroxisome differentiation and control organelle abundance",2011,"Developmental Cell","21","3",,"457","468",,14,10.1016/j.devcel.2011.08.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052742250&partnerID=40&md5=4351cd63db2e99b36324202eea5d60fb",Article,Scopus,2-s2.0-80052742250
"Jedd, G.","Fungal evo-devo: Organelles and multicellular complexity",2011,"Trends in Cell Biology","21","1",,"12","19",,23,10.1016/j.tcb.2010.09.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650546900&partnerID=40&md5=532f6f62d30b1950910f01aafa7bf609",Short Survey,Scopus,2-s2.0-78650546900
"Lai, J., Ng, S.K., Liu, F.F., Patkar, R.N., Lu, Y., Chan, J.R., Suresh, A., Naqvi, N., Jedd, G.","Marker fusion tagging, a new method for production of chromosomally encoded fusion proteins",2010,"Eukaryotic Cell","9","5",,"827","830",,5,10.1128/EC.00386-09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953514772&partnerID=40&md5=549a45c839c14540fcbc3c143f2391e7",Note,Scopus,2-s2.0-77953514772
"Koh, C.H., Lin, S., Jedd, G., Wong, L.","Sirius PSB: A generic system for analysis of biological sequences",2009,"Journal of Bioinformatics and Computational Biology","7","6",,"973","990",,5,10.1142/S0219720009004436,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76349107385&partnerID=40&md5=9aab84fe819f63f3a93a2079447ab055",Article,Scopus,2-s2.0-76349107385
