Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Almoguera, C., Personat, J.-M., Prieto-Dapena, P., Jordano, J.","Heat shock transcription factors involved in seed desiccation tolerance and longevity retard vegetative senescence in transgenic tobacco",2015,"Planta","242","2",,"461","475",,1,10.1007/s00425-015-2336-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937518107&partnerID=40&md5=f6080d5e1bc8713e1174316271a2e2d4",Article,Scopus,2-s2.0-84937518107
"Personat, J.-M., Tejedor-Cano, J., Prieto-Dapena, P., Almoguera, C., Jordano, J.","Co-overexpression of two Heat Shock Factors results in enhanced seed longevity and in synergistic effects on seedling tolerance to severe dehydration and oxidative stress",2014,"BMC Plant Biology","14","1", 56,"","",,5,10.1186/1471-2229-14-56,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897424823&partnerID=40&md5=e2f1622a028cf8a80eeab174775709ba",Article,Scopus,2-s2.0-84897424823
"Tejedor-Cano, J., Carranco, R., Personat, J.-M., Prieto-Dapena, P., Almoguera, C., Espinosa, J.M., Jordano, J.","A passive repression mechanism that hinders synergic transcriptional activation by heat shock factors involved in sunflower seed longevity",2014,"Molecular Plant","7","1",,"256","259",,3,10.1093/mp/sst117,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891759882&partnerID=40&md5=e72a988be070386c8cd7abee01d4bad4",Letter,Scopus,2-s2.0-84891759882
"Almoguera, C., Prieto-Dapena, P., Personat, J.-M., Tejedor-Cano, J., Lindahl, M., Diaz-Espejo, A., Jordano, J.","Protection of the Photosynthetic Apparatus from Extreme Dehydration and Oxidative Stress in Seedlings of Transgenic Tobacco",2012,"PLoS ONE","7","12", e51443,"","",,3,10.1371/journal.pone.0051443,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870854053&partnerID=40&md5=9fe3f3cf3a48348526b67dd4cc69b50f",Article,Scopus,2-s2.0-84870854053
"Carranco, R., Espinosa, J.M., Prieto-Dapena, P., Almoguera, C., Jordano, J.","Repression by an auxin/indole acetic acid protein connects auxin signaling with heat shock factormediated seed longevity",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","50",,"21908","21913",,17,10.1073/pnas.1014856107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650727963&partnerID=40&md5=915bf2fd9ffcb9469dbbabd1d621776a",Article,Scopus,2-s2.0-78650727963
"Tejedor-Cano, J., Prieto-Dapena, P., Almoguera, C., Carranco, R., Hiratsu, K., Ohme-Takagi, M., Jordano, J.","Loss of function of the HSFA9 seed longevity program",2010,"Plant, Cell and Environment","33","8",,"1408","1417",,19,10.1111/j.1365-3040.2010.02159.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957726762&partnerID=40&md5=800b9688471571da9904183bc355a77b",Article,Scopus,2-s2.0-77957726762
"Prieto-Dapena, P., Castaño, R., Almoguera, C., Jordano, J.","The ectopic overexpression of a seed-specific transcription factor, HaHSFA9, confers tolerance to severe dehydration in vegetative organs",2008,"Plant Journal","54","6",,"1004","1014",,30,10.1111/j.1365-313X.2008.03465.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44849110890&partnerID=40&md5=2e784ae904ba0ad5f82baba4180e7c94",Article,Scopus,2-s2.0-44849110890
"Barcala, M., García, A., Cubas, P., Almoguera, C., Jordano, J., Fenoll, C., Escobar, C.","Distinct heat-shock element arrangements that mediate the heat shock, but not the late-embryogenesis induction of small heat-shock proteins, correlate with promoter activation in root-knot nematode feeding cells",2008,"Plant Molecular Biology","66","1-2",,"151","164",,13,10.1007/s11103-007-9259-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38549179968&partnerID=40&md5=0cc626dfe518bd36acd49389572203cd",Article,Scopus,2-s2.0-38549179968
"Prieto-Dapena, P., Castaño, R., Almoguera, C., Jordano, J.","Improved resistance to controlled deterioration in transgenic seeds",2006,"Plant Physiology","142","3",,"1102","1112",,50,10.1104/pp.106.087817,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33751114947&partnerID=40&md5=acbbbbe551c2d0aba6a3b95527fa6354",Article,Scopus,2-s2.0-33751114947
"Díaz-Martín, J., Almoguera, C., Prieto-Dapena, P., Espinosa, J.M., Jordano, J.","Functional interaction between two transcription factors involved in the developmental regulation of a small heat stress protein gene promoter",2005,"Plant Physiology","139","3",,"1483","1494",,37,10.1104/pp.105.069963,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644834880&partnerID=40&md5=afbef54f3cbe16aea1cb85e338545d53",Article,Scopus,2-s2.0-33644834880
