Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Burkart-Waco, D., Ngo, K., Dilkes, B., Josefsson, C., Comaia, L.","Early disruption of maternal-zygotic interaction and activation of defense-like responses in Arabidopsis interspecific crosses",2013,"Plant Cell","25","6",,"2037","2055",,6,10.1105/tpc.112.108258,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880943278&partnerID=40&md5=781b4e0c49da0f7c197194767fa881b8",Article,Scopus,2-s2.0-84880943278
"Burkart-Waco, D., Josefsson, C., Dilkes, B., Kozloff, N., Torjek, O., Meyer, R., Altmann, T., Comai, L.","Hybrid incompatibility in Arabidopsis is determined by a multiple-locus genetic network",2012,"Plant Physiology","158","2",,"801","812",,12,10.1104/pp.111.188706,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856569650&partnerID=40&md5=7c0607c7ed75c7976302736d680f9387",Article,Scopus,2-s2.0-84856569650
"Walia, H., Josefsson, C., Dilkes, B., Kirkbride, R., Harada, J., Comai, L.","Dosage-Dependent Deregulation of an AGAMOUS-LIKE Gene Cluster Contributes to Interspecific Incompatibility",2009,"Current Biology","19","13",,"1128","1132",,54,10.1016/j.cub.2009.05.068,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649884531&partnerID=40&md5=639d9928cf4f0c052aa2ab75331dfa53",Article,Scopus,2-s2.0-67649884531
"Josefsson, C., Dilkes, B., Comai, L.","Parent-Dependent Loss of Gene Silencing during Interspecies Hybridization",2006,"Current Biology","16","13",,"1322","1328",,143,10.1016/j.cub.2006.05.045,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745668459&partnerID=40&md5=e894a28c22f0ac7a99613b096eb8de66",Article,Scopus,2-s2.0-33745668459
"Ng, J.C.K., Josefsson, C., Clark, A.J., Franz, A.W.E., Perry, K.L.","Virion stability and aphid vector transmissibility of Cucumber mosaic virus mutants",2005,"Virology","332","1",,"397","405",,19,10.1016/j.virol.2004.11.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-12344334262&partnerID=40&md5=4b919bb2d9e0d6442b90a6b9fb779a84",Article,Scopus,2-s2.0-12344334262
"Chen, Z.J., Wang, J., Tian, L., Lee, H.-S., Wang, J.J., Chen, M., Lee, J.J., Josefsson, C., Madlung, A., Watson, B., Lippman, Z., Vaughn, M., Pires, J.C., Colot, V., Doerge, R.W., Martienssen, R.A., Comai, L., Osborn, T.C.","The development of an Arabidopsis model system for genome-wide analysis of polyploidy effects",2004,"Biological Journal of the Linnean Society","82","4",,"689","700",,55,10.1111/j.1095-8312.2004.00351.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0347982606&partnerID=40&md5=5c354123fed32fd0aa0be16546332297",Conference Paper,Scopus,2-s2.0-0347982606
"Comai, L., Madlung, A., Josefsson, C., Tyagi, A., Chen, Z.J.","Do the different parental 'heteromes' cause genomic shock in newly formed allopolyploids?",2003,"Philosophical Transactions of the Royal Society B: Biological Sciences","358","1434",,"1149","1155",,68,10.1098/rstb.2003.1305,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037967247&partnerID=40&md5=95933d8a5eb298036ef609bc98394ca7",Conference Paper,Scopus,2-s2.0-0037967247
"Desbrosses, G., Josefsson, C., Rigas, S., Hatzopoulos, P., Dolan, L.","AKT1 and TRH1 are required during root hair elongation in Arabidopsis",2003,"Journal of Experimental Botany","54","383",,"781","788",,31,10.1093/jxb/erg066,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037318892&partnerID=40&md5=cce3e929c6d1851b29594f7d491ba321",Article,Scopus,2-s2.0-0037318892
"Liu, S., He, X., Park, G., Josefsson, C., Perry, K.L.","A conserved capsid protein surface domain of Cucumber mosaic virus is essential for efficient aphid vector transmission",2002,"Journal of Virology","76","19",,"9756","9762",,51,10.1128/JVI.76.19.9756-9762.2002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036776323&partnerID=40&md5=dd3200bb69f858a280d04bf060fc8972",Article,Scopus,2-s2.0-0036776323
"Watson, C.J.W., Froehlich, J.E., Josefsson, C.A., Chapple, C., Durst, F., Benveniste, I., Coolbaugh, R.C.","Localization of CYP86B1 in the outer envelope of chloroplasts",2001,"Plant and Cell Physiology","42","8",,"873","878",,25,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034836395&partnerID=40&md5=762e9aa2b6c1d7412d1595b390722513",Article,Scopus,2-s2.0-0034836395
