Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Bar-Eyal, L., Eisenberg, I., Faust, A., Raanan, H., Nevo, R., Rappaport, F., Krieger-Liszkay, A., Sétif, P., Thurotte, A., Reich, Z., Kaplan, A., Ohad, I., Paltiel, Y., Keren, N.","An easily reversible structural change underlies mechanisms enabling desert crust cyanobacteria to survive desiccation",2015,"Biochimica et Biophysica Acta - Bioenergetics","1847","10", 47505,"1267","1273",,,10.1016/j.bbabio.2015.07.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937952624&partnerID=40&md5=08a518f8d0a988e9314a2a87be771929",Article,Scopus,2-s2.0-84937952624
"Hadas, O., Kaplan, A., Sukenik, A.","Long-term changes in cyanobacteria populations in lake kinneret (Sea of galilee), israel: An eco-physiological outlook",2015,"Life","5","1",,"418","431",,1,10.3390/life5010418,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922789213&partnerID=40&md5=63665a4ec47072415753a4726c3afce0",Review,Scopus,2-s2.0-84922789213
"Burnap, R.L., Hagemann, M., Kaplan, A.","Regulation of CO2concentrating mechanism in cyanobacteria",2015,"Life","5","1",,"348","371",,3,10.3390/life5010348,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922042144&partnerID=40&md5=4b5bd8798155c2765e60a2d18874b9d3",Review,Scopus,2-s2.0-84922042144
"Raanan, H., Oren, N., Treves, H., Berkowicz, S.M., Hagemann, M., Pade, N., Keren, N., Kaplan, A.","Simulated soil crust conditions in a chamber system provide new insights on cyanobacterial acclimation to desiccation",2015,"Environmental Microbiology",,,,"","",,,10.1111/1462-2920.12998,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940495103&partnerID=40&md5=54e48b7e1fe92ff9b135014a2e169807",Article in Press,Scopus,2-s2.0-84940495103
"Haimovich-Dayan, M., Lieman-Hurwitz, J., Orf, I., Hagemann, M., Kaplan, A.","Does 2-phosphoglycolate serve as an internal signal molecule of inorganic carbon deprivation in the cyanobacterium Synechocystis sp. PCC 6803?",2015,"Environmental Microbiology","17","5",,"1794","1804",,2,10.1111/1462-2920.12638,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928298049&partnerID=40&md5=ba99868d9227a8c2ceab9d0decf20a9f",Article,Scopus,2-s2.0-84928298049
"Kaplan, A., Weiss, G., Sukenik, A.","Cyanobacterial secondary metabolites mediate interspecies-intraspecies communication in the water body",2015,"Environmental Microbiology",,,,"","",,,10.1111/1462-2920.12922,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937809329&partnerID=40&md5=bad3acea7f3b15874ad3ded96b129419",Article in Press,Scopus,2-s2.0-84937809329
"Raanan, H., Felde, V.J.M.N.L., Peth, S., Drahorad, S., Ionescu, D., Eshkol, G., Treves, H., Felix-Henningsen, P., Berkowicz, S.M., Keren, N., Horn, R., Hagemann, M., Kaplan, A.","Three-dimensional structure and cyanobacterial activity within a desert biological soil crust",2015,"Environmental Microbiology",,,,"","",,,10.1111/1462-2920.12859,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928526108&partnerID=40&md5=f5a0a09ff5b327e278319535662d61fa",Article in Press,Scopus,2-s2.0-84928526108
"Hagemann, M., Henneberg, M., Felde, V.J.M.N.L., Drahorad, S.L., Berkowicz, S.M., Felix-Henningsen, P., Kaplan, A.","Cyanobacterial Diversity in Biological Soil Crusts along a Precipitation Gradient, Northwest Negev Desert, Israel",2014,"Microbial Ecology","70","1",,"219","230",,,10.1007/s00248-014-0533-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938196691&partnerID=40&md5=3db391d434b68c9adbc4926b29b254d5",Article,Scopus,2-s2.0-84938196691
"Murik, O., Elboher, A., Kaplan, A.","Dehydroascorbate: A possible surveillance molecule of oxidative stress and programmed cell death in the green alga Chlamydomonas reinhardtii",2014,"New Phytologist","202","2",,"471","484",,3,10.1111/nph.12649,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896545736&partnerID=40&md5=bf24c3484acf78fddf6080bf8d5916d4",Article,Scopus,2-s2.0-84896545736
"Treves, H., Raanan, H., Finkel, O.M., Berkowicz, S.M., Keren, N., Shotland, Y., Kaplan, A.","A newly isolated Chlorella sp. from desert sand crusts exhibits a unique resistance to excess light intensity",2013,"FEMS Microbiology Ecology","86","3",,"373","380",,2,10.1111/1574-6941.12162,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887614188&partnerID=40&md5=76cb986954fffb3e659ec9fc26ddbe61",Article,Scopus,2-s2.0-84887614188
