Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kim, S.-J., Zemelis, S., Keegstra, K., Brandizzi, F.","The cytoplasmic localization of the catalytic site of CSLF6 supports a channeling model for the biosynthesis of mixed-linkage glucan",2015,"Plant Journal","81","4",,"537","547",,,10.1111/tpj.12748,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922654383&partnerID=40&md5=1b9200542bfa132cfeae68c0524f8e29",Article,Scopus,2-s2.0-84922654383
"Tryfona, T., Theys, T.E., Wagner, T., Stott, K., Keegstra, K., Dupree, P.","Characterisation of FUT4 and FUT6 α-(1→2)-fucosyltransferases reveals that absence of root arabinogalactan fucosylation increases arabidopsis root growth salt sensitivity",2014,"PLoS ONE","9","3", e93291,"","",,3,10.1371/journal.pone.0093291,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899732746&partnerID=40&md5=35bce956337c5eb111850cdc5d03f098",Article,Scopus,2-s2.0-84899732746
"Kim, W.-C., Reca, I.-B., Kim, Y.S., Park, S., Thomashow, M.F., Keegstra, K., Han, K.-H.","Transcription factors that directly regulate the expression of CSLA9 encoding mannan synthase in Arabidopsis thaliana",2014,"Plant Molecular Biology","84","4-5",,"577","587",,3,10.1007/s11103-013-0154-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893717684&partnerID=40&md5=7eacdf82a00fcb5cb03f26be54606679",Article,Scopus,2-s2.0-84893717684
"Keegstra, K.","Interview with professor Kenneth Keegstra",2013,"Biofuels","4","2",,"147","150",,,10.4155/bfs.12.87,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874609192&partnerID=40&md5=4516b86f91ff26d8caafae5d3bc6962a",Note,Scopus,2-s2.0-84874609192
"Wang, Y., Mortimer, J.C., Davis, J., Dupree, P., Keegstra, K.","Identification of an additional protein involved in mannan biosynthesis",2013,"Plant Journal","73","1",,"105","117",,6,10.1111/tpj.12019,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871957587&partnerID=40&md5=a8ede5036787af3688b665788309c92e",Article,Scopus,2-s2.0-84871957587
"Jensen, J.K., Schultink, A., Keegstra, K., Wilkerson, C.G., Pauly, M.","RNA-seq analysis of developing nasturtium seeds (Tropaeolum majus): Identification and characterization of an additional galactosyltransferase involved in xyloglucan biosynthesis",2012,"Molecular Plant","5","5",,"984","992",,21,10.1093/mp/sss032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864709312&partnerID=40&md5=dac7fbfba3cad183a5866e7ab41cb415",Article,Scopus,2-s2.0-84864709312
"Zabotina, O.A., Avci, U., Cavalier, D., Pattathil, S., Chou, Y.-H., Eberhard, S., Danhof, L., Keegstra, K., Hahn, M.G.","Mutations in multiple XXT genes of arabidopsis reveal the complexity of xyloglucan biosynthesis",2012,"Plant Physiology","159","4",,"1367","1384",,24,10.1104/pp.112.198119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864713995&partnerID=40&md5=03223d8ead481770c838ffd785a6c792",Article,Scopus,2-s2.0-84864713995
"Wang, Y., Alonso, A.P., Wilkerson, C.G., Keegstra, K.","Deep EST profiling of developing fenugreek endosperm to investigate galactomannan biosynthesis and its regulation",2012,"Plant Molecular Biology","79","3",,"243","258",,11,10.1007/s11103-012-9909-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860835450&partnerID=40&md5=c34b8a66735df0a904e47c4109c8c152",Article,Scopus,2-s2.0-84860835450
"Froehlich, J.E., Keegstra, K.","The role of the transmembrane domain in determining the targeting of membrane proteins to either the inner envelope or thylakoid membrane",2011,"Plant Journal","68","5",,"844","856",,6,10.1111/j.1365-313X.2011.04735.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82355175299&partnerID=40&md5=2695183ef6954195def054f23e73947f",Article,Scopus,2-s2.0-82355175299
"Davis, J., Brandizzi, F., Liepman, A.H., Keegstra, K.","Arabidopsis mannan synthase CSLA9 and glucan synthase CSLC4 have opposite orientations in the Golgi membrane",2010,"Plant Journal","64","6",,"1028","1037",,34,10.1111/j.1365-313X.2010.04392.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650135638&partnerID=40&md5=4b4d42c64320791328fb74903c922038",Article,Scopus,2-s2.0-78650135638
"Keegstra, K., Cavalier, D.","Glycosyltransferases of the GT34 and GT37 Families",2010,"Annual Plant Reviews","41",,,"235","249",,5,10.1002/9781444391015.ch8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864683457&partnerID=40&md5=679a2da0eed52a4250733a889423bfc5",Book Chapter,Scopus,2-s2.0-84864683457
"Keegstra, K.","Plant cell walls",2010,"Plant Physiology","154","2",,"483","486",,69,10.1104/pp.110.161240,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957740755&partnerID=40&md5=902248ab6a18293221d40355177a1048",Article,Scopus,2-s2.0-77957740755
"Pauly, M., Keegstra, K.","Plant cell wall polymers as precursors for biofuels",2010,"Current Opinion in Plant Biology","13","3",,"305","312",,92,10.1016/j.pbi.2009.12.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950337763&partnerID=40&md5=498b85fdefb4bcba6fd251fa6e23a7a6",Review,Scopus,2-s2.0-77950337763
"Slater, S., Keegstra, K., Donohue, T.J.","The US department of energy great lakes bioenergy research center: Midwestern Biomass as a resource for renewable fuels",2010,"Bioenergy Research","3","1",,"3","5",,4,10.1007/s12155-009-9075-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76649140087&partnerID=40&md5=6bbc32754f6a60d28148fe6070630780",Article,Scopus,2-s2.0-76649140087
"Zabotina, O.A., Van De Ven, W.T.G., Freshour, G., Drakakaki, G., Cavalier, D., Mouille, G., Hahn, M.G., Keegstra, K., Raikhel, N.V.","Arabidopsis XXT5 gene encodes a putative α-1,6-xylosyltransferase that is involved in xyloglucan biosynthesis (Plant Journal (2008) 56 (101-115))",2009,"Plant Journal","57","2",,"386","",,,10.1111/j.1365-313X.2008.03713.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58349085353&partnerID=40&md5=9fc080e0e6fb3aeeb0039cd9296f91de",Erratum,Scopus,2-s2.0-58349085353
"Zeng, W., Keegstra, K.","AtCSLD2 is an integral Golgi membrane protein with its N-terminus facing the cytosol",2008,"Planta","228","5",,"823","838",,16,10.1007/s00425-008-0785-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51349151998&partnerID=40&md5=37522b53cdc06d8d1104332385d0e8a4",Article,Scopus,2-s2.0-51349151998
"Zabotina, O.A., Van De Ven, W.T.G., Freshour, G., Drakakaki, G., Cavalier, D., Mouille, G., Hahn, M.G., Keegstra, K., Raikhel, N.V.","Arabidopsis XXT5 gene encodes a putative α-1,6-xylosyltransferase that is involved in xyloglucan biosynthesis",2008,"Plant Journal","56","1",,"101","115",,65,10.1111/j.1365-313X.2008.03580.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-52649170901&partnerID=40&md5=4bc76bf775ffde8c08d2584b6b3f642a",Article,Scopus,2-s2.0-52649170901
"Wen, F., Celoy, R.M., Nguyen, T., Zeng, W., Keegstra, K., Immerzeel, P., Pauly, M., Hawes, M.C.","Inducible expression of Pisum sativum xyloglucan fucosyltransferase in the pea root cap meristem, and effects of antisense mRNA expression on root cap cell wall structural integrity",2008,"Plant Cell Reports","27","7",,"1125","1135",,4,10.1007/s00299-008-0530-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44949236167&partnerID=40&md5=503c5023dee20639159e222e28c95b8f",Article,Scopus,2-s2.0-44949236167
"Pauly, M., Keegstra, K.","Physiology and metabolism 'Tear down this wall'",2008,"Current Opinion in Plant Biology","11","3",,"233","235",,11,10.1016/j.pbi.2008.04.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43849101446&partnerID=40&md5=f2020281d714482be0fd0ec985d8e34e",Editorial,Scopus,2-s2.0-43849101446
"Cavalier, D.M., Lerouxel, O., Neumetzler, L., Yamauchi, K., Reinecke, A., Freshour, G., Zabotina, O.A., Hahn, M.G., Burgert, I., Pauly, M., Raikhel, N.V., Keegstra, K.","Disrupting two Arabidopsis thaliana xylosyltransferase genes results in plants deficient in xyloglucan, a major primary cell wall component",2008,"Plant Cell","20","6",,"1519","1537",,162,10.1105/tpc.108.059873,"http://www.scopus.com/inward/record.url?eid=2-s2.0-52649158139&partnerID=40&md5=fdcc93cfa4314309010591d815feb23b",Article,Scopus,2-s2.0-52649158139
"Pauly, M., Keegstra, K.","Cell-wall carbohydrates and their modification as a resource for biofuels",2008,"Plant Journal","54","4",,"559","568",,248,10.1111/j.1365-313X.2008.03463.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43549097333&partnerID=40&md5=b43ac6ebba2fe946cd8ce7f9b46119ee",Review,Scopus,2-s2.0-43549097333
"Tripp, J., Inoue, K., Keegstra, K., Froehlich, J.E.","A novel serine/proline-rich domain in combination with a transmembrane domain is required for the insertion of AtTic40 into the inner envelope membrane of chloroplasts",2007,"Plant Journal","52","5",,"824","838",,36,10.1111/j.1365-313X.2007.03279.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36349010952&partnerID=40&md5=1bad97304567d50d41bf4586e8cf1e31",Article,Scopus,2-s2.0-36349010952
"Fauré, R., Cavalier, D., Keegstra, K., Cottaz, S., Driguez, H.","Glycosynthase-assisted synthesis of xylo-gluco-oligosaccharide probes for α-xylosyltransferases",2007,"European Journal of Organic Chemistry",,"26",,"4313","4319",,13,10.1002/ejoc.200700395,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34548774033&partnerID=40&md5=62623cc5f5dd1d95c196321c097211f7",Article,Scopus,2-s2.0-34548774033
"Cocuron, J.-C., Lerouxel, O., Drakakaki, G., Alonso, A.P., Liepman, A.H., Keegstra, K., Raikhel, N., Wilkerson, C.G.","A gene from the cellulose synthase-like C family encodes a β-1,4 glucan synthase",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","20",,"8550","8555",,136,10.1073/pnas.0703133104,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34347254637&partnerID=40&md5=7db36c828e64c51c00e64a022579a043",Article,Scopus,2-s2.0-34347254637
"Liepman, A.H., Nairn, C.J., Willats, W.G.T., Sørensen, I., Roberts, A.W., Keegstra, K.","Functional genomic analysis supports conservation of function among cellulose synthase-like a gene family members and suggests diverse roles of mannans in plants",2007,"Plant Physiology","143","4",,"1881","1893",,101,10.1104/pp.106.093989,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249811782&partnerID=40&md5=7c7ec20d0bc3782a34c303cd3c298e12",Article,Scopus,2-s2.0-34249811782
"Lerouxel, O., Cavalier, D.M., Liepman, A.H., Keegstra, K.","Biosynthesis of plant cell wall polysaccharides - a complex process",2006,"Current Opinion in Plant Biology","9","6",,"621","630",,173,10.1016/j.pbi.2006.09.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749581033&partnerID=40&md5=3f43f40adb08b61fb0e48bb81e320b84",Review,Scopus,2-s2.0-33749581033
"Drakakaki, G., Zabotina, O., Delgado, I., Robert, S., Keegstra, K., Raikhel, N.","Arabidopsis reversibly glycosylated polypeptides 1 and 2 are essential for pollen development",2006,"Plant Physiology","142","4",,"1480","1492",,52,10.1104/pp.106.086363,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845645054&partnerID=40&md5=507dc21c38e6f4e8f110386eecfd6b33",Article,Scopus,2-s2.0-33845645054
"Cavalier, D.M., Keegstra, K.","Two xyloglucan xylosyltransferases catalyze the addition of multiple xylosyl residues to cellohexaose",2006,"Journal of Biological Chemistry","281","45",,"34197","34207",,50,10.1074/jbc.M606379200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845948751&partnerID=40&md5=1c0e7817a9fe042cf50c4d5415c415f3",Article,Scopus,2-s2.0-33845948751
"Keegstra, K., Walton, J.","β-glucans - Brewer's bane, dietician's delight",2006,"Science","311","5769",,"1872","1873",,22,10.1126/science.1125938,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33645467947&partnerID=40&md5=4b0f2893661115cfe3480d971c744f86",Review,Scopus,2-s2.0-33645467947
"Liepman, A.H., Wilkerson, C.G., Keegstra, K.","Expression of cellulose synthase-like (Csl) genes in insect cells reveals that CslA family members encode mannan synthases",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","6",,"2221","2226",,171,10.1073/pnas.0409179102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-13844306333&partnerID=40&md5=3df9e767baf34f1e9ec2b87b29a42fad",Article,Scopus,2-s2.0-13844306333
