Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kniss, A.R., Coburn, C.W.","Quantitative evaluation of the Environmental Impact Quotient (EIQ) for comparing herbicides",2015,"PLoS ONE","10","6", e0131200,"","",,,10.1371/journal.pone.0131200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938613244&partnerID=40&md5=7206365298f6f0bc70553707bf90de40",Article,Scopus,2-s2.0-84938613244
"Hergert, H.J., Mealor, B.A., Kniss, A.R.","Inter-and intraspecific variation in native restoration plants for herbicide tolerance",2015,"Ecological Restoration","33","1",,"74","81",,,10.3368/er.33.1.74,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940747259&partnerID=40&md5=8dae119b3211ec9ddb270c3320215779",Article,Scopus,2-s2.0-84940747259
"Ritz, C., Kniss, A.R., Streibig, J.C.","Research methods in weed science: Statistics",2015,"Weed Science","63",,,"166","187",,2,10.1614/WS-D-13-00159.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923229441&partnerID=40&md5=aff2b49c15b69043060d64a469cb5b93",Article,Scopus,2-s2.0-84923229441
"Omondi, E.C., Kniss, A.R.","Interplanting annual ryegrass, wheat, oat, and corn to mitigate iron deficiency in dry beans",2014,"PLoS ONE","9","12", e115673,"","",,,10.1371/journal.pone.0115673,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919800924&partnerID=40&md5=ec87b2605021fd1dd69179ba019f17c2",Article,Scopus,2-s2.0-84919800924
"Reddy, K.J., Whitman, A.J., Kniss, A.R.","Potential beneficial uses of coalbed natural gas (CBNG) water",2014,"Environmental Sciences: Processes and Impacts","16","1",,"148","158",,1,10.1039/c3em00255a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890944765&partnerID=40&md5=2e467b1b60c2a26dff494511227c1d82",Article,Scopus,2-s2.0-84890944765
"Kniss, A.R., Odero, D.C.","Interaction between preemergence ethofumesate and postemergence glyphosate",2013,"Weed Technology","27","1",,"47","53",,,10.1614/WT-D-12-00050.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875017442&partnerID=40&md5=ca77a4ce970433e8c431afec2d486eba",Article,Scopus,2-s2.0-84875017442
"Kniss, A.R., Sbatella, G.M., Wilson, R.G.","Volunteer glyphosate-resistant corn interference and control in glyphosate-resistant sugarbeet",2012,"Weed Technology","26","2",,"348","355",,1,10.1614/WT-D-11-00125.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863435823&partnerID=40&md5=5c72123b3fd645a33d6f1690ecabdd8c",Article,Scopus,2-s2.0-84863435823
"Kniss, A.R., Vassios, J.D., Nissen, S.J., Ritz, C.","Nonlinear regression analysis of herbicide absorption studies",2011,"Weed Science","59","4",,"601","610",,10,10.1614/WS-D-11-00034.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053981474&partnerID=40&md5=9358e9839d2871b8adac1ebf5422eb78",Review,Scopus,2-s2.0-80053981474
"Odero, D.C., Mesbah, A.O., Miller, S.D., Kniss, A.R.","Interference of redstem filaree (Erodium cicutarium) in sugarbeet",2011,"Weed Science","59","3",,"310","313",,3,10.1614/WS-D-10-00082.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960159558&partnerID=40&md5=97e8e4ee9232835b37e9e319748f972c",Article,Scopus,2-s2.0-79960159558
"Kniss, A.R., Lyon, D.J., Vassios, J.D., Nissen, S.J.","MCPA Synergizes Imazamox Control of Feral Rye (Secale cereale)",2011,"Weed Technology","25","3",,"303","309",,2,10.1614/WT-D-10-00146.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051923281&partnerID=40&md5=2ebec4629b5cbf2ba854219c1c8bdb02",Article,Scopus,2-s2.0-80051923281
