Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rawat, V., Abdelsamad, A., Pietzenuk, B., Seymour, D.K., Koenig, D., Weigel, D., Pecinka, A., Schneeberger, K.","Improving the annotation of Arabidopsis Lyrata using RNA-Seq data",2015,"PLoS ONE","10","9", e0137391,"","",,,10.1371/journal.pone.0137391,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946573313&partnerID=40&md5=ef2a88f1b4620e7fbdbd95f13cd301b8",Article,Scopus,2-s2.0-84946573313
"Steige, K.A., Reimegard, J., Koenig, D., Scofield, D.G., Slotte, T.","Cis-regulatory changes associated with a recent mating system shift and floral adaptation in capsella",2015,"Molecular Biology and Evolution","32","10",,"2501","2514",,,10.1093/molbev/msv169,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943406348&partnerID=40&md5=138a5c5c74f06030fb1092cc5cc0c5bd",Article,Scopus,2-s2.0-84943406348
"Koenig, D., Weigel, D.","Beyond the thale: Comparative genomics and genetics of Arabidopsis relatives",2015,"Nature Reviews Genetics","16","5",,"285","298",,1,10.1038/nrg3883,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928212856&partnerID=40&md5=90858b8139d888f346926dc1fba0b23c",Review,Scopus,2-s2.0-84928212856
"Bolger, A., Scossa, F., Bolger, M.E., Lanz, C., Maumus, F., Tohge, T., Quesneville, H., Alseekh, S., Sørensen, I., Lichtenstein, G., Fich, E.A., Conte, M., Keller, H., Schneeberger, K., Schwacke, R., Ofner, I., Vrebalov, J., Xu, Y., Osorio, S., Aflitos, S.A., Schijlen, E., Jiménez-Goméz, J.M., Ryngajllo, M., Kimura, S., Kumar, R., Koenig, D., Headland, L.R., Maloof, J.N., Sinha, N., van Ham, R.C.H.J., Lankhorst, R.K., Mao, L., Vogel, A., Arsova, B., Panstruga, R., Fei, Z., Rose, J.K.C., Zamir, D., Carrari, F., Giovannoni, J.J., Weigel, D., Usadel, B., Fernie, A.R.","The genome of the stress-tolerant wild tomato species Solanum pennellii",2014,"Nature Genetics",,,,"","",,16,10.1038/ng.3046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904534870&partnerID=40&md5=e8964dd713e3d543332f05bb9b5ffb04",Article in Press,Scopus,2-s2.0-84904534870
"Ågren, J.A., Wang, W., Koenig, D., Neuffer, B., Weigel, D., Wright, S.I.","Mating system shifts and transposable element evolution in the plant genus Capsella",2014,"BMC Genomics","15","1", 602,"","",,5,10.1186/1471-2164-15-602,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904275522&partnerID=40&md5=457cfd4364c49b3b0bd417ee31f7ddfe",Article,Scopus,2-s2.0-84904275522
"Bolger, A., Scossa, F., Bolger, M.E., Lanz, C., Maumus, F., Tohge, T., Quesneville, H., Alseekh, S., Sørensen, I., Lichtenstein, G., Fich, E.A., Conte, M., Keller, H., Schneeberger, K., Schwacke, R., Ofner, I., Vrebalov, J., Xu, Y., Osorio, S., Aflitos, S.A., Schijlen, E., Jiménez-Goméz, J.M., Ryngajllo, M., Kimura, S., Kumar, R., Koenig, D., Headland, L.R., Maloof, J.N., Sinha, N., Van Ham, R.C.H.J., Lankhorst, R.K., Mao, L., Vogel, A., Arsova, B., Panstruga, R., Fei, Z., Rose, J.K.C., Zamir, D., Carrari, F., Giovannoni, J.J., Weigel, D., Usadel, B., Fernie, A.R.","The genome of the stress-tolerant wild tomato species Solanum pennellii",2014,"Nature Genetics","46","9",,"1034","1038",,1,10.1038/ng.3046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922395331&partnerID=40&md5=d819311a8b1eef18b5b44c65a1249da3",Article,Scopus,2-s2.0-84922395331
"Seymour, D.K., Koenig, D., Hagmann, J., Becker, C., Weigel, D.","Evolution of DNA Methylation Patterns in the Brassicaceae is Driven by Differences in Genome Organization",2014,"PLoS Genetics","10","11",,"","",18,13,10.1371/journal.pgen.1004785,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912120604&partnerID=40&md5=76f89ff84af6f21c78585e4f64f73690",Article,Scopus,2-s2.0-84912120604
"Garcês, H.M.P., Koenig, D., Townsley, B.T., Kim, M., Sinha, N.R.","Truncation of LEAFY COTYLEDON1 protein is required for asexual reproduction in Kalanchoë daigremontiana",2014,"Plant Physiology","165","1",,"196","206",,3,10.1104/pp.114.237222,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899833065&partnerID=40&md5=c1525c74342ab63d0a501ec542c24e13",Article,Scopus,2-s2.0-84899833065
"Koenig, D., Jiménez-Gómez, J.M., Kimura, S., Fulop, D., Chitwood, D.H., Headland, L.R., Kumar, R., Covington, M.F., Devisetty, U.K., Tat, A.V., Tohge, T., Bolger, A., Schneeberger, K., Ossowski, S., Lanz, C., Xiong, G., Taylor-Teeples, M., Brady, S.M., Pauly, M., Weigel, D., Usadel, B., Fernie, A.R., Peng, J., Sinha, N.R., Maloof, J.N.","Comparative transcriptomics reveals patterns of selection in domesticated and wild tomato",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","28",,"E2655","E2662",,59,10.1073/pnas.1309606110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879984347&partnerID=40&md5=e73329f5973c0fb24dd6740b32936676",Article,Scopus,2-s2.0-84879984347
"Slotte, T., Hazzouri, K.M., Ågren, J.A., Koenig, D., Maumus, F., Guo, Y.-L., Steige, K., Platts, A.E., Escobar, J.S., Newman, L.K., Wang, W., Mandáková, T., Vello, E., Smith, L.M., Henz, S.R., Steffen, J., Takuno, S., Brandvain, Y., Coop, G., Andolfatto, P., Hu, T.T., Blanchette, M., Clark, R.M., Quesneville, H., Nordborg, M., Gaut, B.S., Lysak, M.A., Jenkins, J., Grimwood, J., Chapman, J., Prochnik, S., Shu, S., Rokhsar, D., Schmutz, J., Weigel, D., Wright, S.I.","The Capsella rubella genome and the genomic consequences of rapid mating system evolution",2013,"Nature Genetics","45","7",,"831","835",,62,10.1038/ng.2669,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879686532&partnerID=40&md5=81b1f927ec0be5a3a52398d1cd7a7979",Article,Scopus,2-s2.0-84879686532
