Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Phuangrat, B., Phironrit, N., Son-ong, A., Puangchon, P., Meechai, A., Wasee, S., Kositratana, W., Burns, P.","Histological and Morphological Studies of Pollen Grains from Elongata, Reduced Elongata and Staminate Flowers in Carica papaya L",2013,"Tropical Plant Biology","6","4",,"210","216",,,10.1007/s12042-013-9118-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889099024&partnerID=40&md5=5b6234737693f8781fe0f2a20521e200",Article,Scopus,2-s2.0-84889099024
"Himananto, O., Thummabenjapone, P., Luxananil, P., Kumpoosiri, M., Hongprayoon, R., Kositratana, W., Gajanandana, O.","Novel and highly specific monoclonal antibody to Acidovorax citrulli and development of ELISA-based detection in cucurbit leaves and seed",2011,"Plant Disease","95","9",,"1172","1178",,6,10.1094/PDIS-12-10-0889,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051750463&partnerID=40&md5=6465975893cae8240763cb510325a881",Article,Scopus,2-s2.0-80051750463
"Kositcharoenkul, N., Chatchawankanphanich, O., Bhunchoth, A., Kositratana, W.","Detection of Xanthomonas citri subsp. citri from field samples using single-tube nested PCR",2011,"Plant Pathology","60","3",,"436","442",,2,10.1111/j.1365-3059.2010.02390.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955531016&partnerID=40&md5=14b1a67443c26764d46fdeb43a9569bb",Article,Scopus,2-s2.0-79955531016
"Koohapitagtam, M., Rungpragayphan, S., Hongprayoon, R., Kositratana, W., Sirinarumitr, T.","Efficient amplification of light and heavy chain variable regions and construction of a non-immune phage scFv library",2010,"Molecular Biology Reports","37","4",,"1677","1683",,1,10.1007/s11033-009-9583-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953171888&partnerID=40&md5=52ebaa843343611188cb58aae05dabc1",Article,Scopus,2-s2.0-77953171888
"Chomdej, O., Whankaew, S., Chatchawankanpanich, O., Kositratana, W., Chunwongse, J.","Resistance to tomato yellow leaf curl Thailand virus, TYLCTHV-[2] from Solanum habrochaites accession 'L06112' in F1 and BC 1F1 generations",2008,"Songklanakarin Journal of Science and Technology","30","4",,"441","446",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55349131341&partnerID=40&md5=84aeadcc08a09ea4a17c2b34092a9bf3",Article,Scopus,2-s2.0-55349131341
"Chomdej, O., Chatchawankanpanich, O., Kositratana, W., Chunwongse, J.","Response of resistant breeding lines of tomato germplasm and their progenies with Seedathip3 to Tomato Yellow Leaf Curl Virus, Thailand isolate (TYLCTHV-[2])",2007,"Songklanakarin Journal of Science and Technology","29","6",,"1469","1477",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39049091136&partnerID=40&md5=855dff14800bc266cd292ae72aba0383",Article,Scopus,2-s2.0-39049091136
"Kanjanasopa, D., Chowpongpang, S., Chatchawankanphanich, O., Kositratana, W., Thaveechai, N.","A deletion mutant generating by replacement construct in sorbitol dehydrogenase of Ralstonia solanacearum bacterial wilt strain",2006,"Kasetsart Journal - Natural Science","40","4",,"902","913",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34047137031&partnerID=40&md5=4c202f161a5792fbc766953c0d12708a",Article,Scopus,2-s2.0-34047137031
"Kanjanasopa, D., Chatchawankanphanich, O., Chowpongpang, S., Kositratana, W., Thaveechai, N.","Characterization of the sugar utilization gene polS from Ralstonia solanacearum",2006,"Kasetsart Journal - Natural Science","40","3",,"738","747",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847216951&partnerID=40&md5=1f7c3b4c4344731b1bac0c575b3a8a46",Article,Scopus,2-s2.0-33847216951
"Thammakijjawat, P., Thaveechai, N., Kositratana, W., Chunwongse, J., Frederick, R.D., Schaad, N.W.","Detection of Ralstonia solanacearum in ginger rhizomes by real-time PCR",2006,"Canadian Journal of Plant Pathology","28","3",,"391","400",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846846583&partnerID=40&md5=cc22ed4d0cc689a933f8755ae30eb441",Article,Scopus,2-s2.0-33846846583
"Mekwatanakarn, P., Kositratana, W., Levy, M., Zeigler, R.S.","Pathotype and avirulence gene diversity of Pyricularia grisea in Thailand as determined by rice lines near-isogenic for major resistance genes",2000,"Plant Disease","84","1",,"60","70",,27,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033970853&partnerID=40&md5=be1d8fc85a36e857e1724a6118ca8d91",Article,Scopus,2-s2.0-0033970853
"Mekwatanakarn, P., Kositratana, W., Phromraksa, T., Zeigler, R.S.","Sexually fertile Magnaporthe grisea rice pathogens in Thailand",1999,"Plant Disease","83","10",,"939","943",,19,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032844313&partnerID=40&md5=97a021f53fd436035cd7f7daa22fcf8e",Article,Scopus,2-s2.0-0032844313
"Upadhyaya, N.M., Li, Z., Ramm, K., Gaudron, J., Waterhouse, P.M., Wang, M.-B., Kositratana, W., Gong, Z.-X.","Production of transgenic rice with rice ragged stunt virus synthetic resistance genes",1998,"Acta Horticulturae","461",,,"393","400",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0005732078&partnerID=40&md5=abe51f739915dd6611d553802817c323",Conference Paper,Scopus,2-s2.0-0005732078
"Upadhyaya, N.M., Ramm, K., Gellatly, J.A., Li, Z., Kositratana, W., Waterhouse, P.M.","Rice ragged stunt oryzavirus genome segment S4 could encode an RNA dependent RNA polymerase and a second protein of unknown function",1998,"Archives of Virology","143","9",,"1815","1822",,15,10.1007/s007050050419,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031690232&partnerID=40&md5=6f01593f3d4568ee11e37ad9b8d4b447",Article,Scopus,2-s2.0-0031690232
"Upadhyaya, N.M., Ramm, K., Gellatly, J.A., Li, Z., Kositratana, W., Waterhouse, P.M.","Rice ragged stunt oryzavirus genome segments S7 and S10 encode non-structural proteins of M(r) 68 025 (Pns7) and M(r) 32364 (Pns10): Brief report",1997,"Archives of Virology","142","8",,"1719","1726",,19,10.1007/s007050050193,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030787939&partnerID=40&md5=8152f7923fa568155de61bab03d0a07e",Article,Scopus,2-s2.0-0030787939
