Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Babbitt, S.E., Sutherland, M.C., Francisco, B.S., Mendez, D.L., Kranz, R.G.","Mitochondrial cytochrome c biogenesis: No longer an enigma",2015,"Trends in Biochemical Sciences","40","8",,"446","455",,,10.1016/j.tibs.2015.05.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937519396&partnerID=40&md5=ef868ea08fd031dd53cee226557482e2",Review,Scopus,2-s2.0-84937519396
"Babbitt, S.E., Francisco, B.S., Mendez, D.L., Lukat-Rodgers, G.S., Rodgers, K.R., Bretsnyder, E.C., Kranz, R.G.","Mechanisms of mitochondrial holocytochrome c synthase and the key roles played by cysteines and histidine of the heme attachment site, Cys-XX-Cys-His",2014,"Journal of Biological Chemistry","289","42",,"28795","28807",,1,10.1074/jbc.M114.593509,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908032075&partnerID=40&md5=6b464deeef472f9d7be8acb099a0db9d",Article,Scopus,2-s2.0-84908032075
"Babbitt, S.E., San Francisco, B., Bretsnyder, E.C., Kranz, R.G.","Conserved residues of the human mitochondrial holocytochrome c synthase mediate interactions with heme",2014,"Biochemistry","53","32",,"5261","5271",,1,10.1021/bi500704p,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906275081&partnerID=40&md5=fbdd545d1a175df421208a5c1cf72487",Article,Scopus,2-s2.0-84906275081
"San Francisco, B., Sutherland, M.C., Kranz, R.G.","The CcmFH complex is the system I holocytochrome c synthetase: Engineering cytochrome c maturation independent of CcmABCDE",2014,"Molecular Microbiology","91","5",,"996","1008",,3,10.1111/mmi.12510,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896733085&partnerID=40&md5=4548e394871feda999c095b934816fbe",Article,Scopus,2-s2.0-84896733085
"San Francisco, B., Kranz, R.G.","Interaction of HoloCcmE with CcmF in heme trafficking and cytochrome c biosynthesis",2014,"Journal of Molecular Biology","426","3",,"570","585",,7,10.1016/j.jmb.2013.10.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892552986&partnerID=40&md5=532d49d8f4922b8ffee5beb6179d8ada",Article,Scopus,2-s2.0-84892552986
"Francisco, B.S., Bretsnyder, E.C., Kranz, R.G.","Human mitochondrial holocytochrome c synthase's heme binding, maturation determinants, and complex formation with cytochrome c",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","9",,"E788","E797",,10,10.1073/pnas.1213897109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874480835&partnerID=40&md5=df529a7800e5daf09879f197b89c53a9",Article,Scopus,2-s2.0-84874480835
"Zhu, H., Kranz, R.G.","A nitrogen-regulated glutamine amidotransferase (GAT1_2.1) represses shoot branching in Arabidopsis",2012,"Plant Physiology","160","4",,"1770","1780",,6,10.1104/pp.112.199364,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870796319&partnerID=40&md5=2614acad53d54cc8fb75affba134a7da",Article,Scopus,2-s2.0-84870796319
"Richard-Fogal, C.L., San Francisco, B., Frawley, E.R., Kranz, R.G.","Thiol redox requirements and substrate specificities of recombinant cytochrome c assembly systems II and III",2012,"Biochimica et Biophysica Acta - Bioenergetics","1817","6",,"911","919",,4,10.1016/j.bbabio.2011.09.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860668307&partnerID=40&md5=ab0979a76263a2fbece37d4240bafe46",Article,Scopus,2-s2.0-84860668307
"San Francisco, B., Bretsnyder, E.C., Rodgers, K.R., Kranz, R.G.","Heme ligand identification and redox properties of the cytochrome c synthetase, CcmF",2011,"Biochemistry","50","50",,"10974","10985",,15,10.1021/bi201508t,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83455221648&partnerID=40&md5=5e9a4408040ccda96457b6728f85c9fe",Article,Scopus,2-s2.0-83455221648
"Kern, M., Scheithauer, J., Kranz, R.G., Simon, J.","Essential histidine pairs indicate conserved haem binding in epsilonproteobacterial cytochrome c haem lyases",2010,"Microbiology","156","12",,"3773","3781",,9,10.1099/mic.0.042838-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650036448&partnerID=40&md5=396f76dac7ecd5a2e3704992fbb9bb05",Article,Scopus,2-s2.0-78650036448
"Richard-Fogal, C., Kranz, R.G.","The CcmC:Heme:CcmE complex in heme trafficking and cytochrome c biosynthesis",2010,"Journal of Molecular Biology","401","3",,"350","362",,23,10.1016/j.jmb.2010.06.041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955281987&partnerID=40&md5=c578c2d0bdfa461e8b717ddfc6a14d21",Article,Scopus,2-s2.0-77955281987
"Kern, M., Eisel, F., Scheithauer, J., Kranz, R.G., Simon, J.","Substrate specificity of three cytochrome c haem lyase isoenzymes from Wolinella succinogenes: Unconventional haem c binding motifs are not sufficient for haem c attachment by NrfI and CcsA1",2010,"Molecular Microbiology","75","1",,"122","137",,23,10.1111/j.1365-2958.2009.06965.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72949085747&partnerID=40&md5=ee19f72d117554bc408b7f216ebb06f7",Article,Scopus,2-s2.0-72949085747
"Kranz, R.G., Richard-Fogal, C., Taylor, J.-S., Frawley, E.R.","Cytochrome c biogenesis: Mechanisms for covalent modifications and trafficking of heme and for heme-iron redox control",2009,"Microbiology and Molecular Biology Reviews","73","3",,"510","528",,95,10.1128/MMBR.00001-09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349309436&partnerID=40&md5=1e43633d75783c3d6a8c2fb66051646f",Review,Scopus,2-s2.0-70349309436
"Richard-Fogal, C.L., Frawley, E.R., Bonner, E.R., Zhu, H., San Francisco, B., Kranz, R.G.","A conserved haem redox and trafficking pathway for cofactor attachment",2009,"EMBO Journal","28","16",,"2349","2359",,36,10.1038/emboj.2009.189,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69249205419&partnerID=40&md5=38d3b0f30f78f296a06915e160640f0f",Article,Scopus,2-s2.0-69249205419
