Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Aryal, U.K., Ross, A.R.S., Krochko, J.E.","Enrichment and analysis of intact phosphoproteins in arabidopsis seedlings",2015,"PLoS ONE","10","7", e0130763,"","",,1,10.1371/journal.pone.0130763,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941341710&partnerID=40&md5=a2d74baf5f6c564839ea2e81f6b83e10",Article,Scopus,2-s2.0-84941341710
"Soriano, M., Li, H., Jacquard, C., Angenent, G.C., Krochko, J., Offringa, R., Boutilier, K.","Plasticity in cell division patterns and auxin transport dependency during in vitro embryogenesis in Brassica napus",2014,"Plant Cell","26","6",,"2568","2581",,3,10.1105/tpc.114.126300,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905002806&partnerID=40&md5=c40d4426459705e5f233fd12c261c417",Article,Scopus,2-s2.0-84905002806
"Aryal, U.K., Krochko, J.E., Ross, A.R.S.","Identification of phosphoproteins in arabidopsis thaliana leaves using polyethylene glycol fractionation, immobilized metal-ion affinity chromatography, two-dimensional gel electrophoresis and mass spectrometry",2012,"Journal of Proteome Research","11","1",,"425","437",,17,10.1021/pr200917t,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855544323&partnerID=40&md5=d77c82bcd3f7239e79bc1c5342f70799",Article,Scopus,2-s2.0-84855544323
"Krochko, J.E., Cutler, A.J.","In vitro assay for ABA 8′-hydroxylase: Implications for improved assays for cytochrome P450 enzymes",2011,"Methods in Molecular Biology","773",,,"113","134",,,10.1007/978-1-61779-231-1_8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054760135&partnerID=40&md5=187d5b9c550054c058741c530f5123af",Article,Scopus,2-s2.0-80054760135
"Whittle, C.A., Malik, M.R., Li, R., Krochko, J.E.","Comparative transcript analyses of the ovule, microspore, and mature pollen in Brassica napus",2010,"Plant Molecular Biology","72","3",,"279","299",,14,10.1007/s11103-009-9567-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-75949083441&partnerID=40&md5=dbc20feb589e3f21a8cb7d203bb5347d",Article,Scopus,2-s2.0-75949083441
"Whittle, C.A., Krochko, J.E.","Transcript profiling provides evidence of functional divergence and expression networks among ribosomal protein gene paralogs in brassica napus",2009,"Plant Cell","21","8",,"2203","2219",,34,10.1105/tpc.109.068411,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349669222&partnerID=40&md5=0697a2ed0803edff7ee8f4b105d6a970",Article,Scopus,2-s2.0-70349669222
"Whittle, C.A., Otto, S.P., Johnston, M.O., Krochko, J.E.","Adaptive epigenetic memory of ancestral temperature regime in Arabidopsis thaliana",2009,"Botany","87","6",,"650","657",,73,10.1139/B09-030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68149092368&partnerID=40&md5=bdd6cdecd147393707bb083ee2db451d",Article,Scopus,2-s2.0-68149092368
"Malik, M.R., Wang, F., Dirpaul, J.M., Zhou, N., Hammerlindl, J., Keller, W., Abrams, S.R., Ferrie, A.M.R., Krochko, J.E.","Isolation of an embryogenic line from non-embryogenic Brassica napus cv. Westar through microspore embryogenesis",2008,"Journal of Experimental Botany","59","10",,"2857","2873",,23,10.1093/jxb/ern149,"http://www.scopus.com/inward/record.url?eid=2-s2.0-46849108719&partnerID=40&md5=599150a9c788dad89273c91f3b72b085",Article,Scopus,2-s2.0-46849108719
"Xiang, D., Datla, R., Li, F., Cutler, A., Malik, M.R., Krochko, J.E., Sharma, N., Fobert, P., Georges, F., Selvaraj, G., Tsang, E., Klassen, D., Koh, C., Deneault, J.-S., Nantel, A., Nowak, J., Keller, W., Bekkaoui, F.","Development of a Brassica seed cDNA microarray",2008,"Genome","51","3",,"236","242",,16,10.1139/G07-115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42449128264&partnerID=40&md5=021a4eed0bd29b767f7385fbb3ccf8e8",Article,Scopus,2-s2.0-42449128264
"Whittle, C.-A., Malik, M.R., Krochko, J.E.","Gender-specific selection on codon usage in plant genomes",2007,"BMC Genomics","8",, 169,"","",,12,10.1186/1471-2164-8-169,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447498666&partnerID=40&md5=ba1115bf380bc21ed0d937fa3276f367",Article,Scopus,2-s2.0-34447498666
