Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Newell, M.T., Hayes, R.C., Virgona, J.M., Larkin, P.J.","Summer dormancy in Elymus scaber and its hybridity with wheat",2014,"Euphytica","204","3",,"535","556",,,10.1007/s10681-014-1328-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933180790&partnerID=40&md5=12ec89963d77aa9fb119f049818cea25",Article,Scopus,2-s2.0-84933180790
"Vanhercke, T., El Tahchy, A., Liu, Q., Zhou, X.-R., Shrestha, P., Divi, U.K., Ral, J.-P., Mansour, M.P., Nichols, P.D., James, C.N., Horn, P.J., Chapman, K.D., Beaudoin, F., Ruiz-López, N., Larkin, P.J., de Feyter, R.C., Singh, S.P., Petrie, J.R.","Metabolic engineering of biomass for high energy density: Oilseed-like triacylglycerol yields from plant leaves",2014,"Plant Biotechnology Journal","12","2",,"231","239",,28,10.1111/pbi.12131,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892863403&partnerID=40&md5=97b34b9849429427d65a717189efe142",Article,Scopus,2-s2.0-84892863403
"Richardson, K., Miller, A.D., Hoffmann, A.A., Larkin, P.","Potential new sources of wheat curl mite resistance in wheat to prevent the spread of yield-reducing pathogens",2014,"Experimental and Applied Acarology","64","1",,"1","19",,,10.1007/s10493-014-9808-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905390164&partnerID=40&md5=3bda9b4e99d8af25d439b4e094566d41",Article,Scopus,2-s2.0-84905390164
"Larkin, P.J., Newell, M.T., Hayes, R.C., Aktar, J., Norton, M.R., Moroni, S.J., Wade, L.J.","Progress in developing perennial wheats for grain and grazing",2014,"Crop and Pasture Science","65","11",,"1147","1164",,1,10.1071/CP13330,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908696590&partnerID=40&md5=ff37309bf55566d51ea0f3cf3303b1bb",Conference Paper,Scopus,2-s2.0-84908696590
"Ayala-Navarrete, L.I., Mechanicos, A.A., Gibson, J.M., Singh, D., Bariana, H.S., Fletcher, J., Shorter, S., Larkin, P.J.","The Pontin series of recombinant alien translocations in bread wheat: single translocations integrating combinations of Bdv2, Lr19 and Sr25 disease-resistance genes from Thinopyrum intermedium and Th. ponticum.",2013,"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","126","10",,"2467","2475",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898704183&partnerID=40&md5=3fb580dd079d46722ace805cf9bcf5cc",Article,Scopus,2-s2.0-84898704183
"Ayala-Navarrete, L.I., Mechanicos, A.A., Gibson, J.M., Singh, D., Bariana, H.S., Fletcher, J., Shorter, S., Larkin, P.J.","The Pontin series of recombinant alien translocations in bread wheat: single translocations integrating combinations of Bdv2, Lr19 and Sr25 disease-resistance genes from Thinopyrum intermedium and Th. ponticum",2013,"Theoretical and Applied Genetics",,,,"1","9",,2,10.1007/s00122-013-2147-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879263453&partnerID=40&md5=a608c2fc34375cd5084e283af0722db3",Article in Press,Scopus,2-s2.0-84879263453
"Fahim, M., Larkin, P.J.","Designing effective amiRNA and multimeric amiRNA against plant viruses.",2013,"Methods in molecular biology (Clifton, N.J.)","942",,,"357","377",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874123337&partnerID=40&md5=0e7acb47533c15c067de4ec370d08e32",Article,Scopus,2-s2.0-84874123337
"Fahim, M., Larkin, P.J.","Designing effective amiRNA and multimeric amiRNA against plant viruses",2013,"Methods in Molecular Biology","942",,,"357","377",,,10.1007/978-1-62703-119-6_19,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934441699&partnerID=40&md5=e450b503425d431858b98991efbfeb1f",Article,Scopus,2-s2.0-84934441699
"Hayes, R.C., Newell, M.T., DeHaan, L.R., Murphy, K.M., Crane, S., Norton, M.R., Wade, L.J., Newberry, M., Fahim, M., Jones, S.S., Cox, T.S., Larkin, P.J.","Perennial cereal crops: An initial evaluation of wheat derivatives",2012,"Field Crops Research","133",,,"68","89",,14,10.1016/j.fcr.2012.03.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861463048&partnerID=40&md5=af315695d2e0f766a05b95d1e3deaf60",Article,Scopus,2-s2.0-84861463048
"Fahim, M., Mechanicos, A., Ayala-Navarrete, L., Haber, S., Larkin, P.J.","Resistance to Wheat streak mosaic virus- a survey of resources and development of molecular markers",2012,"Plant Pathology","61","3",,"425","440",,8,10.1111/j.1365-3059.2011.02542.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860736915&partnerID=40&md5=f675670d5dc70cf94ae242de48159995",Article,Scopus,2-s2.0-84860736915
"Fahim, M., Larkin, P.J., Haber, S., Shorter, S., Lonergan, P.F., Rosewarne, G.M.","Effectiveness of three potential sources of resistance in wheat against Wheat streak mosaic virus under field conditions",2012,"Australasian Plant Pathology","41","3",,"301","309",,3,10.1007/s13313-012-0125-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863192293&partnerID=40&md5=f6689e0d6fa5ed2ae3e9d41cbc8fff22",Article,Scopus,2-s2.0-84863192293
"Fahim, M., Millar, A.A., Wood, C.C., Larkin, P.J.","Resistance to Wheat streak mosaic virus generated by expression of an artificial polycistronic microRNA in wheat",2012,"Plant Biotechnology Journal","10","2",,"150","163",,21,10.1111/j.1467-7652.2011.00647.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855257296&partnerID=40&md5=626a1c3843b8c177589949f2b0b25ca3",Article,Scopus,2-s2.0-84855257296
