Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yang, L.-E., Huang, X.-Q., Lu, Q.-Q., Zhu, J.-Y., Lu, S.","Cloning and characterization of the geranylgeranyl diphosphate synthase (GGPS) responsible for carotenoid biosynthesis in Pyropia umbilicalis",2015,"Journal of Applied Phycology",,,,"","",8,,10.1007/s10811-015-0593-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929441583&partnerID=40&md5=135fd3c0ae9ba730e7b3a154ac7495c0",Article in Press,Scopus,2-s2.0-84929441583
"Zhou, F., Sun, T.-H., Zhao, L., Pan, X.-W., Lu, S.","The bZIP transcription factor HY5 interacts with the promoter of the monoterpene synthase gene QH6 in modulating its rhythmic expression",2015,"Frontiers in Plant Science","6","APR", 304,"","",9,,10.3389/fpls.2015.00304,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934873369&partnerID=40&md5=95e2d819e4d340649c5870daf519c6c7",Article,Scopus,2-s2.0-84934873369
"Zhang, W., Zhang, P., Sun, H., Chen, M., Lu, S., Li, P.","Effects of various organic carbon sources on the growth and biochemical composition of Chlorella pyrenoidosa",2014,"Bioresource Technology","173",,,"52","58",,3,10.1016/j.biortech.2014.09.084,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907960491&partnerID=40&md5=a2bb68b091e1622e514d582e6cf52657",Article,Scopus,2-s2.0-84907960491
"Wang, A., Chen, X., Zhang, L., Zhang, G., Zhou, L., Lu, S., Zhou, J., Wei, S.","Effects of pH on aggregation and photodynamic activities of cationic zinc phthalocyanines substituted with amides",2014,"Journal of Photochemistry and Photobiology A: Chemistry","288",,,"1","12",,4,10.1016/j.jphotochem.2014.05.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901393957&partnerID=40&md5=aca886f737c576e0b9f5481609808a54",Article,Scopus,2-s2.0-84901393957
"Xie, X., Gu, W., Gao, S., Lu, S., Li, J., Pan, G., Wang, G., Shen, S.","Correction: Alternative electron transports participate in the maintenance of violaxanthin de-epoxidase activity of Ulva sp. under low irradiance (PLoS ONE)",2014,"PLoS ONE","9","1",,"","",,,10.1371/annotation/851cec52-b3d4-40bb-a857-e59b1a7a6c88,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896441103&partnerID=40&md5=6e714c783932a5382b18988f02a2a103",Erratum,Scopus,2-s2.0-84896441103
"Wang, A., Ma, Y., Wang, Y., Lu, S., Lin, Y., Zhou, J., Zhou, L., Wei, S.","Effects of protonation degree on photodynamic activity of zinc phthalocyanine substituted with 1,2-diethylamino",2014,"Inorganic Chemistry Communications","48",,,"107","110",,,10.1016/j.inoche.2014.08.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906960401&partnerID=40&md5=7363e84caa2c43bc2b66083c68ca19f8",Article,Scopus,2-s2.0-84906960401
"Yang, L.-E., Huang, X.-Q., Hang, Y., Deng, Y.-Y., Lu, Q.-Q., Lu, S.","The P450-type carotene hydroxylase PuCHY1 from Porphyra suggests the evolution of carotenoid metabolism in red algae",2014,"Journal of Integrative Plant Biology","56","9",,"902","915",,5,10.1111/jipb.12229,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907898682&partnerID=40&md5=55f29cdc4817ac63cf589f3665e92d55",Article,Scopus,2-s2.0-84907898682
"Wang, A., Li, Y., Zhou, L., Yuan, L., Lu, S., Lin, Y., Zhou, J., Wei, S.","Charge dependent photodynamic activity of alanine based zinc phthalocyanines",2014,"Journal of Photochemistry and Photobiology B: Biology","141",,,"10","19",,1,10.1016/j.jphotobiol.2014.09.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907930670&partnerID=40&md5=90876e0f9f2216ee1ffb54a1d9c27b0f",Article,Scopus,2-s2.0-84907930670
"Zhang, W., Liu, M., Zhang, P., Yu, F., Lu, S., Li, P., Zhou, J.","Effects of paraquat on photosynthetic pigments, antioxidant enzymes, and gene expression in Chlorella pyrenoidosa under mixotrophic compared with autotrophic conditions",2014,"Archives of Environmental Contamination and Toxicology","67","4",,"593","600",,1,10.1007/s00244-014-0067-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919837166&partnerID=40&md5=18d89f0e9194a74675c27adf22fd483d",Article,Scopus,2-s2.0-84919837166
"Xie, X., Gu, W., Gao, S., Lu, S., Li, J., Pan, G., Wang, G., Shen, S.","Alternative electron transports participate in the maintenance of violaxanthin de-epoxidase activity of Ulva sp. under low irradiance",2013,"PLoS ONE","8","11", e78211,"","",,,10.1371/journal.pone.0078211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892637026&partnerID=40&md5=870bc1243b9e5718afbbd9ff454bdb33",Article,Scopus,2-s2.0-84892637026
