Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mach, J.","Domesticated versus wild rice? Bring it awn!",2015,"Plant Cell","27","7",,"1818","",,,10.1105/tpc.15.00504,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938893013&partnerID=40&md5=4d047fdedbbd6675b8a089ac21731ba8",Article,Scopus,2-s2.0-84938893013
"Mach, J.","Production of the non-protein amino acid b-tyrosine in rice",2015,"Plant Cell","27","4",,"","",,,10.1105/tpc.15.00312,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928966761&partnerID=40&md5=a8cc614c24b93d8de361a66ac249f948",Note,Scopus,2-s2.0-84928966761
"Mach, J.","Sick as a...Grass? viral infection causes massive changes in alternative splicing in Brachypodium distachyon",2015,"Plant Cell","27","1",,"1","2",,,10.1105/tpc.115.00039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923002154&partnerID=40&md5=9f11ff540f7105c6ac5d59478dc8c7a8",Article,Scopus,2-s2.0-84923002154
"Mach, J.","Metabolic crosstalk: Interactions between the phenylpropanoid and glucosinolate pathways in arabidopsis",2015,"Plant Cell","27","5",,"1367","",,,10.1105/tpc.15.00360,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930721276&partnerID=40&md5=362f4fc840194d0ccf7e866f7f189884",Note,Scopus,2-s2.0-84930721276
"Mach, J.","Rice mules transpose in yeast",2015,"Plant Cell","27","1",,"5","6",,,doi/10.1105/tpc.114.136143,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923065036&partnerID=40&md5=557d5a8964616d0a9c0d63974ec86803",Article,Scopus,2-s2.0-84923065036
"Mach, J.","A sleep like death: Identification of genes related to seed longevity in Medicago truncatula and arabidopsis",2015,"Plant Cell","27","10",,"2671","",,,10.1105/tpc.15.00833,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946716977&partnerID=40&md5=45cf56cb394ab150412cdd57d5cb3099",Note,Scopus,2-s2.0-84946716977
"Mach, J.","Twice as ncc: Two octotricopeptide repeat proteins and the regulation of chloroplast gene expression",2015,"Plant Cell","27","4",,"","",,,10.1105/tpc.15.00211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928975432&partnerID=40&md5=e729bafeb7055c5097bc14b5ef08d134",Note,Scopus,2-s2.0-84928975432
"Mach, J.","Arabidopsis QTLs associated with reduction of fertility in response to heat stress",2015,"Plant Cell","27","7",,"1817","",,,10.1105/tpc.15.00561,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938854683&partnerID=40&md5=ff6287c482b2a57ab35f3d08d0700d14",Article,Scopus,2-s2.0-84938854683
"Mach, J.","Clarifying the opaque: Identification of direct targets of maize opaque2",2015,"Plant Cell","27","3",,"","",484,,10.1105/tpc.15.00156,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927720812&partnerID=40&md5=f8dce807977e7b3b8416388ad50c5c7b",Editorial,Scopus,2-s2.0-84927720812
"Mach, J.","Modeling sugar metabolism in tomato fruit",2014,"Plant Cell","26","8",,"3222","3223",,,10.1105/tpc.114.131177,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907450506&partnerID=40&md5=86d2b01adc852588b24bac1e74b2dd7d",Note,Scopus,2-s2.0-84907450506
