Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chong, S.-L., Koutaniemi, S., Juvonen, M., Derba-Maceluch, M., Mellerowicz, E.J., Tenkanen, M.","Glucuronic acid in Arabidopsis thaliana xylans carries a novel pentose substituent",2015,"International Journal of Biological Macromolecules","79",,,"807","812",,,10.1016/j.ijbiomac.2015.05.056,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931275621&partnerID=40&md5=cefcec98ee2d3e57c0efb7ecbb97dd6d",Article,Scopus,2-s2.0-84931275621
"Rabęda, I., Bilski, H., Mellerowicz, E.J., Napieralska, A., Suski, S., Woźny, A., Krzesłowska, M.","Colocalization of low-methylesterified pectins and Pb deposits in the apoplast of aspen roots exposed to lead",2015,"Environmental Pollution","205",,,"315","326",,,10.1016/j.envpol.2015.05.048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933565977&partnerID=40&md5=a616b4ae502f9a3a9399e87f9398ce94",Article,Scopus,2-s2.0-84933565977
"Chong, S.-L., Derba-Maceluch, M., Koutaniemi, S., Gómez, L.D., McQueen-Mason, S.J., Tenkanen, M., Mellerowicz, E.J.","Active fungal GH115 a-glucuronidase produced in Arabidopsis thaliana affects only the UX1-reactive glucuronate decorations on native glucuronoxylans",2015,"BMC Biotechnology",,,,"","",,,10.1186/s12896-015-0154-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931052947&partnerID=40&md5=5fca2edb179493eb78eacdecd85f0d1f",Article in Press,Scopus,2-s2.0-84931052947
"Chong, S.-L., Derba-Maceluch, M., Koutaniemi, S., Gómez, L.D., McQueen-Mason, S.J., Tenkanen, M., Mellerowicz, E.J.","Active fungal GH115 aα-glucuronidase produced in Arabidopsis thaliana affects only the UX1-reactive glucuronate decorations on native glucuronoxylans",2015,"BMC Biotechnology","15","1", 56,"","",,,10.1186/s12896-015-0154-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935912894&partnerID=40&md5=a0f9cf890bfdebf459d15af789510f64",Article,Scopus,2-s2.0-84935912894
"Pawar, P.M.-A., Derba-Maceluch, M., Chong, S.-L., Gómez, L.D., Miedes, E., Banasiak, A., Ratke, C., Gaertner, C., Mouille, G., Mcqueen-Mason, S.J., Molina, A., Sellstedt, A., Tenkanen, M., Mellerowicz, E.J.","Expression of fungal acetyl xylan esterase in Arabidopsis thaliana improves saccharification of stem lignocellulose",2015,"Plant Biotechnology Journal",,,,"","",,,10.1111/pbi.12393,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929191289&partnerID=40&md5=7d847ff7c770e75a592e3ad1babb20db",Article in Press,Scopus,2-s2.0-84929191289
"Gorshkova, T., Mokshina, N., Chernova, T., Ibragimova, N., Salnikov, V., Mikshina, P., Tryfona, T., Banasiak, A., Immerzee, P., Dupree, P., Mellerowicz, E.J.","Aspen tension wood fibers contain β-(1→4)-galactans and acidic arabinogalactans retained by cellulose microfibrils in gelatinous walls",2015,"Plant Physiology","169","3",,"2048","2063",,,10.1104/pp.15.00690,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946225010&partnerID=40&md5=8fefdd52cd22cac6913b28894a89a6f8",Article,Scopus,2-s2.0-84946225010
"Ratke, C., Pawar, P.M..-A., Balasubramanian, V.K., Naumann, M., Duncranz, M.L., Derba-Maceluch, M., Gorzsás, A., Endo, S., Ezcurra, I., Mellerowicz, E.J.","Populus GT43 family members group into distinct sets required for primary and secondary wall xylan biosynthesis and include useful promoters for wood modification",2015,"Plant Biotechnology Journal","13","1",,"26","37",,2,10.1111/pbi.12232,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919847910&partnerID=40&md5=e763843520b3e066234ab3532a329d6b",Article,Scopus,2-s2.0-84919847910
"Derba-Maceluch, M., Awano, T., Takahashi, J., Lucenius, J., Ratke, C., Kontro, I., Busse-Wicher, M., Kosik, O., Tanaka, R., Winzéll, A., Kallas, A., Leśniewska, J., Berthold, F., Immerzeel, P., Teeri, T.T., Ezcurra, I., Dupree, P., Serimaa, R., Mellerowicz, E.J.","Suppression of xylan endotransglycosylase PtxtXyn10A affects cellulose microfibril angle in secondary wall in aspen wood",2015,"New Phytologist","205","2",,"666","681",,5,10.1111/nph.13099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919632563&partnerID=40&md5=83ee91b4b3a42d41b04f2b7dd7ef7c5d",Article,Scopus,2-s2.0-84919632563
"Gandla, M.L., Derba-Maceluch, M., Liu, X., Gerber, L., Master, E.R., Mellerowicz, E.J., Jönsson, L.J.","Expression of a fungal glucuronoyl esterase in populus: Effects on wood properties and saccharification efficiency",2015,"Phytochemistry","112","1",,"210","220",,2,10.1016/j.phytochem.2014.06.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935897099&partnerID=40&md5=e56ac21e04e882a8ad45c0c5f6e925cd",Article,Scopus,2-s2.0-84935897099
"Latha Gandla, M., Derba-Maceluch, M., Liu, X., Gerber, L., Master, E.R., Mellerowicz, E.J., Jönsson, L.J.","Expression of a fungal glucuronoyl esterase in Populus: Effects on wood properties and saccharification efficiency",2014,"Phytochemistry",,,,"","",,1,10.1016/j.phytochem.2014.06.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903420130&partnerID=40&md5=e84a8ed49d624e4f86131b0da22ebdf2",Article in Press,Scopus,2-s2.0-84903420130
