Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nelissen, H., Eeckhout, D., Demuynck, K., Persiau, G., Walton, A., van Bel, M., Vervoort, M., Candaele, J., De Block, J., Aesaert, S., Van Lijsebettens, M., Goormachtig, S., Vandepoele, K., Van Leene, J., Muszynski, M., Gevaert, K., Inzé, D., De Jaeger, G.","Dynamic changes in ANGUSTIFOLIA3 complex composition reveal a growth regulatory mechanism in the maize leaf",2015,"Plant Cell","27","6",,"1605","1619",,,10.1105/tpc.15.00269,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936976519&partnerID=40&md5=ac240e4707e4b146bb73fea4d094e4d9",Article,Scopus,2-s2.0-84936976519
"Chatterjee, M., Tabi, Z., Galli, M., Malcomber, S., Buck, A., Muszynski, M., Gallavotti, A.","The boron efflux transporter ROTTEN EAR is required for maize inflorescence development and fertility",2014,"Plant Cell","26","7",,"2962","2977",,7,10.1105/tpc.114.125963,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907360173&partnerID=40&md5=e16f5e70746c37080a9e2aac553a760a",Article,Scopus,2-s2.0-84907360173
"Danilevskaya, O.N., Meng, X., McGonigle, B., Muszynski, M.G.","Beyond flowering time: Pleiotropic function of the maize flowering hormone Florigen",2011,"Plant Signaling and Behavior","6","9",,"1267","1270",,13,10.4161/psb.6.9.16423,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052605620&partnerID=40&md5=a86c65ae4e83820263c7f5bc4f337345",Article,Scopus,2-s2.0-80052605620
"Meng, X., Muszynski, M.G., Danilevskaya, O.N.","The FT-like ZCN8 gene functions as a floral activator and is involved in photoperiod sensitivity in maize",2011,"Plant Cell","23","3",,"942","960",,62,10.1105/tpc.110.081406,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955609230&partnerID=40&md5=f5640977f48b794f7073ef2f0a6fe2c0",Article,Scopus,2-s2.0-79955609230
"Vollbrecht, E., Duvick, J., Schares, J.P., Ahern, K.R., Deewatthanawong, P., Xu, L., Conrad, L.J., Kikuchi, K., Kubinec, T.A., Hall, B.D., Weeks, R., Unger-Wallace, E., Muszynski, M., Brendel, V.P., Brutnell, T.P.","Genome-wide distribution of transposed Dissociation elements in maize",2010,"Plant Cell","22","6",,"1667","1685",,42,10.1105/tpc.109.073452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955884311&partnerID=40&md5=b0df3a406f6fe2a67135266fbb36f202",Article,Scopus,2-s2.0-77955884311
"Goldman, S.L., Rudrabhatla, S., Muszynski, M.G., Scott, P., Al-Abed, D., Potlakayala, S.D.","Understanding and manipulation of the flowering network and the perfection of seed quality",2010,"Transgenic Crop Plants","2",,,"167","198",,1,10.1007/978-3-642-04812-8_4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856566965&partnerID=40&md5=fb5272234893e08c40cb91614b0e74ba",Book Chapter,Scopus,2-s2.0-84856566965
"Ahern, K.R., Deewatthanawong, P., Schares, J., Muszynski, M., Weeks, R., Vollbrecht, E., Duvick, J., Brendel, V.P., Brutnell, T.P.","Regional mutagenesis using Dissociation in maize",2009,"Methods","49","3",,"248","254",,21,10.1016/j.ymeth.2009.04.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349758341&partnerID=40&md5=21ba1b49b4b00d44df34d0d305422907",Article,Scopus,2-s2.0-70349758341
"Borrás, L., Zinselmeier, C., Senior, M.L., Westgate, M.E., Muszynski, M.G.","Characterization of grain-filling patterns in diverse maize germplasm",2009,"Crop Science","49","3",,"999","1009",,27,10.2135/cropsci2008.08.0475,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952302320&partnerID=40&md5=86e3926b572361478e2b23f38d51a1e1",Article,Scopus,2-s2.0-77952302320
"Danilevskaya, O.N., Meng, X., Selinger, D.A., Deschamps, S., Hermon, P., Vansant, G., Gupta, R., Ananiev, E.V., Muszynski, M.G.","Involvement of the MADS-box gene ZMM4 in floral induction and inflorescence development in maize",2008,"Plant Physiology","147","4",,"2054","2069",,35,10.1104/pp.107.115261,"http://www.scopus.com/inward/record.url?eid=2-s2.0-53749085134&partnerID=40&md5=238064237a082a7f2141cc360d8dd239",Article,Scopus,2-s2.0-53749085134
"Braun, D.M., Ma, Y., Inada, N., Muszynski, M.G., Baker, R.F.","tie-dyed1 regulates carbohydrate accumulation in maize leaves",2006,"Plant Physiology","142","4",,"1511","1522",,34,10.1104/pp.106.090381,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845611577&partnerID=40&md5=5991cc4a1c9e7502a2b95e2df73efbe9",Article,Scopus,2-s2.0-33845611577
"Muszynski, M.G., Dam, T., Li, B., Shirbroun, D.M., Hou, Z., Bruggemann, E., Archibald, R., Ananiev, E.V., Danilevskaya, O.N.","delayed flowering1 encodes a basic leucine zipper protein that mediates floral inductive signals at the shoot apex in maize",2006,"Plant Physiology","142","4",,"1523","1536",,63,10.1104/pp.106.088815,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845661508&partnerID=40&md5=659aef66e0300157ab270cd119844564",Article,Scopus,2-s2.0-33845661508
"Ristic, Z., Wilson, K., Nelsen, C., Momcilovic, I., Kobayashi, S., Meeley, R., Muszynski, M., Habben, J.","A maize mutant with decreased capacity to accumulate chloroplast protein synthesis elongation factor (EF-Tu) displays reduced tolerance to heat stress",2004,"Plant Science","167","6",,"1367","1374",,13,10.1016/j.plantsci.2004.07.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4544266397&partnerID=40&md5=eb1bd6a1790237832530d9eebc96256a",Article,Scopus,2-s2.0-4544266397
"Danilevskaya, O.N., Hermon, P., Hantke, S., Muszynski, M.G., Kollipara, K., Ananiev, E.V.","Duplicated fie genes in maize: Expression pattern and imprinting suggest distinct functions",2003,"Plant Cell","15","2",,"425","438",,113,10.1105/tpc.006759,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037326955&partnerID=40&md5=5dd4de3757629a2c17e4db8d8e4f72ae",Article,Scopus,2-s2.0-0037326955
"Chuck, G., Muszynski, M., Kellogg, E., Hake, S., Schmidt, R.J.","The control of spikelet meristem identity by the branched silkless1 gene in maize",2002,"Science","298","5596",,"1238","1241",,120,10.1126/science.1076920,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037044816&partnerID=40&md5=9ebbbe1b9444ff43f2d927c21f040d4b",Article,Scopus,2-s2.0-0037044816
"Lawrence, C.J., Malmberg, R.L., Muszynski, M.G., Dawe, R.K.","Maximum likelihood methods reveal conservation of function among closely related kinesin families",2002,"Journal of Molecular Evolution","54","1",,"42","53",,53,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036133183&partnerID=40&md5=532ec04a3ee67d33843fff0610ef5623",Article,Scopus,2-s2.0-0036133183
"Papa, C.M., Springer, N.M., Muszynski, M.G., Meeley, R., Kaeppler, S.M.","Maize chromomethylase Zea methyltransferase2 is required for CpNpG methylation",2001,"Plant Cell","13","8",,"1919","1928",,83,10.1105/tpc.13.8.1919,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034872980&partnerID=40&md5=0b73391de07c35d8288d62f96843682e",Article,Scopus,2-s2.0-0034872980
