Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nick, P.","Turn of the screw—helicases everywhere",2015,"Protoplasma","252","6",,"1407","1408",,,10.1007/s00709-015-0890-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946483069&partnerID=40&md5=a2875b590eba67259cc76e9a57239f4e",Editorial,Scopus,2-s2.0-84946483069
"Nick, P.","Enlightenment by the invisible",2015,"Protoplasma","252","5",,"1187","1188",,,10.1007/s00709-015-0879-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941254751&partnerID=40&md5=a563285383b5893b4b63d8f5112ce764",Editorial,Scopus,2-s2.0-84941254751
"Gao, N., Wadhwani, P., Mühlhäuser, P., Liu, Q., Riemann, M., Ulrich, A.S., Nick, P.","An antifungal protein from Ginkgo biloba binds actin and can trigger cell death",2015,"Protoplasma",,,,"","",16,,10.1007/s00709-015-0876-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940068850&partnerID=40&md5=a918265833826a298a156799510835a7",Article in Press,Scopus,2-s2.0-84940068850
"Ismail, A., Seo, M., Takebayashi, Y., Kamiya, Y., Nick, P.","A balanced JA/ABA status may correlate with adaptation to osmotic stress in Vitis cells",2015,"Journal of Plant Physiology","185",,,"57","64",,1,10.1016/j.jplph.2015.06.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939540953&partnerID=40&md5=8a935279806a05f0f7f3838c30166e2b",Article,Scopus,2-s2.0-84939540953
"Nick, P.","Perfumes of survival",2015,"Protoplasma","252","4", A020,"933","934",,,10.1007/s00709-015-0839-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943426113&partnerID=40&md5=0bf3d4a91d26d24431f64f9bdbda96dc",Editorial,Scopus,2-s2.0-84943426113
"Tan, S., Guan, X., Grün, C., Zhou, Z., Schepers, U., Nick, P.","Gallic acid induces mitotic catastrophe and inhibits centrosomal clustering in HeLa cells",2015,"Toxicology in Vitro",,,,"","",,,10.1016/j.tiv.2015.09.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945529160&partnerID=40&md5=4e83f838de2608388c354e9f6075faeb",Article in Press,Scopus,2-s2.0-84945529160
"Nick, P.","Hypothesis-driven research for hypothesis-driven application",2015,"Protoplasma","252","3",,"715","716",,,10.1007/s00709-015-0806-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939950876&partnerID=40&md5=d1514bc0ae61722358d7a085076b2bbd",Editorial,Scopus,2-s2.0-84939950876
"Chang, X., Riemann, M., Liu, Q., Nick, P.","Actin as deathly switch? How auxin can suppress cell-death related defence",2015,"PLoS ONE","10","5", e0125498,"","",,,10.1371/journal.pone.0125498,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928808586&partnerID=40&md5=61f232fa289d60d505528f82783878c8",Article,Scopus,2-s2.0-84928808586
"Guan, X., Buchholz, G., Nick, P.","Tubulin marker line of grapevine suspension cells as a tool to follow early stress responses",2015,"Journal of Plant Physiology","176",,,"118","128",,,10.1016/j.jplph.2014.10.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920915422&partnerID=40&md5=3471a110c2c4038b4b753294acb5e622",Article,Scopus,2-s2.0-84920915422
"Schröder, S., Kortekamp, A., Heene, E., Daumann, J., Valea, L., Nick, P.","Crop wild relatives as genetic resources - the case of the European wild grape [Les espèces sauvages apparentées aux cultures en tant que ressource génétique - cas du raisin sauvage Europeén]",2015,"Canadian Journal of Plant Science","95","5",,"905","912",,,10.4141/CJPS-2015-033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941367871&partnerID=40&md5=5a3af7b9343a428568427558ae056d5c",Article,Scopus,2-s2.0-84941367871
"Nick, P.","The secret masters of the planet reveal their secrets",2015,"Protoplasma","252","2",,"383","384",,,10.1007/s00709-015-0773-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925487859&partnerID=40&md5=87e98e6ddfddb544423b759f2f829be6",Editorial,Scopus,2-s2.0-84925487859
