Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Caplan, J.L., Kumar, A.S., Park, E., Padmanabhan, M.S., Hoban, K., Modla, S., Czymmek, K., Dinesh-Kumar, S.P.","Chloroplast Stromules Function during Innate Immunity",2015,"Developmental Cell","34","1",,"45","57",,4,10.1016/j.devcel.2015.05.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938947444&partnerID=40&md5=9241cbbbd2f421f7ebd1d7bac439f886",Article,Scopus,2-s2.0-84938947444
"Padmanabhan, M.S., Dinesh-Kumar, S.P.","The conformational and subcellular compartmental dance of plant NLRs during viral recognition and defense signaling",2014,"Current Opinion in Microbiology","20",,,"55","61",,4,10.1016/j.mib.2014.05.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901767766&partnerID=40&md5=0dfc0304258a3d9cf64244bd35477018",Review,Scopus,2-s2.0-84901767766
"Padmanabhan, M.S., Ma, S., Burch-Smith, T.M., Czymmek, K., Huijser, P., Dinesh-Kumar, S.P.","Novel Positive Regulatory Role for the SPL6 Transcription Factor in the N TIR-NB-LRR Receptor-Mediated Plant Innate Immunity",2013,"PLoS Pathogens","9","3", e1003235,"","",,29,10.1371/journal.ppat.1003235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875993687&partnerID=40&md5=621e8368e7a93a6310f17ed294764e66",Article,Scopus,2-s2.0-84875993687
"Hayward, A., Padmanabhan, M., Dinesh-Kumar, S.P.","Virus-induced gene silencing in nicotiana benthamiana and other plant species.",2011,"Methods in molecular biology (Clifton, N.J.)","678",,,"55","63",,16,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952199602&partnerID=40&md5=d2879c44c646c91bdeeb73a66bd8cbf8",Article,Scopus,2-s2.0-79952199602
"Padmanabhan, M.S., Dinesh-Kumar, S.P.","All hands on deck-the role of chloroplasts, endoplasmic reticulum, and the nucleus in driving plant innate immunity",2010,"Molecular Plant-Microbe Interactions","23","11",,"1368","1380",,34,10.1094/MPMI-05-10-0113,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78149332806&partnerID=40&md5=b14632b4aab815c6fcdbda393b454749",Review,Scopus,2-s2.0-78149332806
"Padmanabhan, M., Dinesh-Kumar, S.P.","Virus-induced gene silencing as a tool for delivery of dsRNA into plants",2009,"Cold Spring Harbor Protocols","4","2",,"","",,6,10.1101/pdb.prot5139,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65749114440&partnerID=40&md5=35d76d2da85eb592a7f764ea7f53852e",Article,Scopus,2-s2.0-65749114440
"Padmanabhan, M., Cournoyer, P., Dinesh-Kumar, S.P.","The leucine-rich repeat domain in plant innate immunity: A wealth of possibilities",2009,"Cellular Microbiology","11","2",,"191","198",,36,10.1111/j.1462-5822.2008.01260.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58349093535&partnerID=40&md5=38971555f6b9aadd3eb7986c15e43001",Short Survey,Scopus,2-s2.0-58349093535
"Culver, J.N., Padmanabhan, M.S.","Virus-induced disease: Altering host physiology one interaction at a time",2008,"Annual Review of Phytopathology","45",,,"221","243",,60,10.1146/annurev.phyto.45.062806.094422,"http://www.scopus.com/inward/record.url?eid=2-s2.0-35148834683&partnerID=40&md5=d184595b90edbbbe0285bc45e4e49079",Review,Scopus,2-s2.0-35148834683
"Caplan, J., Padmanabhan, M., Dinesh-Kumar, S.P.","Plant NB-LRR Immune Receptors: From Recognition to Transcriptional Reprogramming",2008,"Cell Host and Microbe","3","3",,"126","135",,94,10.1016/j.chom.2008.02.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40149104095&partnerID=40&md5=84baca72b9a05afb79e39a9acb4cc37c",Review,Scopus,2-s2.0-40149104095
"Padmanabhan, M.S., Kramer, S.R., Wang, X., Culver, J.N.","Tobacco mosaic virus replicase-auxin/indole acetic acid protein interactions: Reprogramming the auxin response pathway to enhance virus infection",2008,"Journal of Virology","82","5",,"2477","2485",,28,10.1128/JVI.01865-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39749169734&partnerID=40&md5=6745473c7bd13941a224e8909a04d4ec",Article,Scopus,2-s2.0-39749169734
"Padmanabhan, M.S., Shiferaw, H., Culver, J.N.","The Tobacco mosaic virus replicase protein disrupts the localization and function of interacting Aux/IAA proteins",2006,"Molecular Plant-Microbe Interactions","19","8",,"864","873",,39,10.1094/MPMI-19-0864,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746264835&partnerID=40&md5=4ce89686f94c852e67fa06a0c6ad0e0b",Article,Scopus,2-s2.0-33746264835
"Padmanabhan, M.S., Goregaoker, S.P., Golem, S., Shiferaw, H., Culver, J.N.","Interaction of the tobacco mosaic virus replicase protein with the Aux/IAA protein PAP1/IAA26 is associated with disease development",2005,"Journal of Virology","79","4",,"2549","2558",,57,10.1128/JVI.79.4.2549-2558.2005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-13444259748&partnerID=40&md5=91934cf691889401f73cc824d1b8b850",Article,Scopus,2-s2.0-13444259748
