Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Cha, J.-Y., Kim, W.-Y., Kang, S.B., Kim, J.I., Baek, D., Jung, I.J., Kim, M.R., Li, N., Kim, H.-J., Nakajima, M., Asami, T., Sabir, J.S.M., Park, H.C., Lee, S.Y., Bohnert, H.J., Bressan, R.A., Pardo, J.M., Yun, D.-J.","A novel thiol-reductase activity of Arabidopsis YUC6 confers drought tolerance independently of auxin biosynthesis",2015,"Nature Communications","6",, 8041,"","",,,10.1038/ncomms9041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940571251&partnerID=40&md5=5beb698dea2935c752bb28efdaf40f06",Article,Scopus,2-s2.0-84940571251
"Chaves-Sanjuan, A., Sanchez-Barrena, M.J., Gonzalez-Rubio, J.M., Moreno, M., Ragel, P., Jimenez, M., Pardo, J.M., Martinez-Ripoll, M., Quintero, F.J., Albert, A.","Structural basis of the regulatory mechanism of the plant CIPK family of protein kinases controlling ion homeostasis and abiotic stress",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","42",,"E4532","E4541",,3,10.1073/pnas.1407610111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908070141&partnerID=40&md5=1894bbf46ea990ada67139d473f1216a",Article,Scopus,2-s2.0-84908070141
"Andrés, Z., Pérez-Hormaeche, J., Leidi, E.O., Schlücking, K., Steinhorst, L., McLachlan, D.H., Schumacher, K., Hetherington, A.M., Kudla, J., Cubero, B., Pardo, J.M.","Control of vacuolar dynamics and regulation of stomatal aperture by tonoplast potassium uptake",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","17",,"E1806","E1814",,10,10.1073/pnas.1320421111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899628572&partnerID=40&md5=e83155eeace4d6bdd8fd7454679df433",Article,Scopus,2-s2.0-84899628572
"Coego, A., Brizuela, E., Castillejo, P., Ruíz, S., Koncz, C., Del Pozo, J.C., Piñeiro, M., Jarillo, J.A., León, J., Paz-Ares, J., Puga, M., Rajulu, C., Alonso, C., Ausín, I., Castresana, C., Cascón, T., Cubas, P., Nicolas, M., Leyva, A., Olsson, S., Castrillo, G., Del Llano, B., Del Puerto, Y.L., Prat, S., Rodriguez, M., Rojo, E., Delgadillo, M.O., Simón, C., Ochoa, J., Piqueras, R., Solano, R., Boter, M., Diéz-Díaz, M., Fernández, G.M., Gutierrez, C., Desvoyes, B., Pagés, M., Riera, M., Legnaioli, T., Alabadí, D., Blázquez, M.A., Sotillo, B., Locascio, A., Minguet, E.G., Felipo, A., Alvarez-Mahecha, J.C., Madueño, F., Ferrándiz, C., Berbel, A., Domenech, M.J., Vera, P., Codes, C., Arocas, L., Salinas, J., Resa, C.P., Lopez, C.C., Pardo, J.M., Cubero, B., Hormaeche, J.P., De Luca, A., Romero, L.C., Gotor, C., García, I., Romero, J.M., Valverde, F., Barrera, F., Luque, N., Micol, J.L., Ponce, M.R., Jover-Gil, S., Botella, M.A., Esteban, A., García, A., Carbonero, P., Oñate, L., Jarillo, J.A., Del Olmo, I., Castro, R., Narro, L., López, L., Del Pozo, J.C., Navarro, S., Manzano, C., Carbajosa, J.V., Gómez, M., González, M., Fenoll, C., Mena, M., Rapp, A., Ballesteros, I., Peñarrubia, L., Andrés, N., Carrió, A., Lorenzo, O., Quintero, L.A., Curto, M., Rígó, G., Zsigmond, L., Papdi, C., Székely, G., Cséplo, Á., Szabados, L., Abraham, E., Koncz, Z.","The TRANSPLANTA collection of Arabidopsis lines: A resource for functional analysis of transcription factors based on their conditional overexpression",2014,"Plant Journal","77","6",,"944","953",,7,10.1111/tpj.12443,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895926810&partnerID=40&md5=dff51c102b07a7987eeb722451183d4a",Article,Scopus,2-s2.0-84895926810
"Feki, K., Quintero, F.J., Khoudi, H., Leidi, E.O., Masmoudi, K., Pardo, J.M., Brini, F.","A constitutively active form of a durum wheat Na+/H+ antiporter SOS1 confers high salt tolerance to transgenic Arabidopsis",2014,"Plant Cell Reports","33","2",,"277","288",,8,10.1007/s00299-013-1528-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895069493&partnerID=40&md5=ae89d234e71e1737fa35994942ffd809",Article,Scopus,2-s2.0-84895069493
"Kim, W.-Y., Ali, Z., Park, H.J., Park, S.J., Cha, J.-Y., Perez-Hormaeche, J., Quintero, F.J., Shin, G., Kim, M.R., Qiang, Z., Ning, L., Park, H.C., Lee, S.Y., Bressan, R.A., Pardo, J.M., Bohnert, H.J., Yun, D.-J.","Release of SOS2 kinase from sequestration with GIGANTEA determines salt tolerance in Arabidopsis",2013,"Nature Communications","4",, 1352,"","",,30,10.1038/ncomms2357,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875581613&partnerID=40&md5=1a5ef8a96bcabdeee5f47b97102b1ddc",Article,Scopus,2-s2.0-84875581613
"Kim, W.-Y., Ali, Z., Park, H.J., Park, S.J., Cha, J.-Y., Perez-Hormaeche, J., Quintero, F.J., Shin, G., Kim, M.R., Qiang, Z., Ning, L., Park, H.C., Lee, S.Y., Bressan, R.A., Pardo, J.M., Bohnert, H.J., Yun, D.-J.","Erratum: Release of SOS2 kinase from sequestration with GIGANTEA determines salt tolerance in Arabidopsis (Nature Communications (2013) 4 (1352) DOI:10.1038/ncomms2357)",2013,"Nature Communications","4",, 1820,"","",,1,10.1038/ncomms2846,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878589421&partnerID=40&md5=97b718017c0c543d6f299daf6d896e2a",Erratum,Scopus,2-s2.0-84878589421
"Aouida, M., Kim, K., Shaikh, A.R., Pardo, J.M., Eppinger, J., Yun, D.-J., Bressan, R.A., Narasimhan, M.L.","A Saccharomyces cerevisiae Assay System to Investigate Ligand/AdipoR1 Interactions That Lead to Cellular Signaling",2013,"PLoS ONE","8","6", e65454,"","",,,10.1371/journal.pone.0065454,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878756149&partnerID=40&md5=8452582a071cab4f04e6377c4ba4544d",Article,Scopus,2-s2.0-84878756149
"Ji, H., Pardo, J.M., Batelli, G., Van Oosten, M.J., Bressan, R.A., Li, X.","The salt overly sensitive (SOS) pathway: Established and emerging roles",2013,"Molecular Plant","6","2",,"275","286",,37,10.1093/mp/sst017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875580656&partnerID=40&md5=1a35280fd2df9823fe0cc868ebd7b6a5",Review,Scopus,2-s2.0-84875580656
"Núñez-Ramírez, R., Sánchez-Barrena, M.J.O., Villalta, I., Vega, J.F., Pardo, J.M., Quintero, F.J., Martinez-Salazar, J., Albert, A.","Structural insights on the plant salt-overly-sensitive 1 (SOS1) Na +/H+ antiporter",2012,"Journal of Molecular Biology","424","5",,"283","294",,7,10.1016/j.jmb.2012.09.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869218776&partnerID=40&md5=cdf465f7377c230f2c8d81fc930190e2",Article,Scopus,2-s2.0-84869218776
