Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Puthoff, D.P., Holzer, F.M., Perring, T.M., Walling, L.L.","Tomato pathogenesis-related protein genes are expressed in response to trialeurodes vaporariorum and bemisia tabaci biotype B feeding",2010,"Journal of Chemical Ecology","36","11",,"1271","1285",,26,10.1007/s10886-010-9868-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78449274623&partnerID=40&md5=d8c830b50684cbffdace778c6460cb33",Article,Scopus,2-s2.0-78449274623
"Smigocki, A.C., Puthoff, D.P., Zuzga, S., Ivic-Haymes, S.D.","Low efficiency processing of an insecticidal Nicotiana proteinase inhibitor precursor in Beta vulgaris hairy roots",2009,"Plant Cell, Tissue and Organ Culture","97","2",,"167","174",,4,10.1007/s11240-009-9512-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-63949083700&partnerID=40&md5=078878af15a8645c987c80f083f2d220",Article,Scopus,2-s2.0-63949083700
"Puthoff, D.P., Neelam, A., Ehrenfried, M.L., Scheffler, B.E., Ballard, L., Song, Q., Campbell, K.B., Cooper, B., Tucker, M.L.","Analysis of expressed sequence tags from Uromyces appendiculatus hyphae and haustoria and their comparison to sequences from other rust fungi",2008,"Phytopathology","98","10",,"1126","1135",,19,10.1094/PHYTO-98-10-1126,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54249087202&partnerID=40&md5=8e4e351e88183b0dfa6994f0879e68cc",Article,Scopus,2-s2.0-54249087202
"Smigocki, A.C., Ivic-Haymes, S.D., Puthoff, D.P., Zuzga, S.","Recent advances in functional genomics for sugar beet (Beta vulgaris L.) improvement: Progress in determining the role of BvSTI in pest resistance in roots",2008,"Sugar Tech","10","1",,"91","98",,4,10.1007/s12355-008-0016-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67149115281&partnerID=40&md5=91c1a0c117e01d2ab17769c3e8f599ed",Article,Scopus,2-s2.0-67149115281
"Puthoff, D.P., Ehrenfried, M.L., Vinyard, B.T., Tucker, M.L.","GeneChip profiling of transcriptional responses to soybean cyst nematode, Heterodera glycines, colonization of soybean roots",2007,"Journal of Experimental Botany","58","12",,"3407","3418",,26,10.1093/jxb/erm211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-35848952287&partnerID=40&md5=2b2f764f46b61450fe936bbd0497c332",Article,Scopus,2-s2.0-35848952287
"Mazarei, M., Elling, A.A., Maier, T.R., Puthoff, D.P., Baum, T.J.","GmEREBP1 is a transcription factor activating defense genes in soybean and Arabidopsis",2007,"Molecular Plant-Microbe Interactions","20","2",,"107","119",,32,10.1094/MPMI-20-2-0107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846463774&partnerID=40&md5=af1cf75d12b869f6199a4ab96ee679db",Article,Scopus,2-s2.0-33846463774
"Giovanini, M.P., Saltzmann, K.D., Puthoff, D.P., Gonzalo, M., Ohm, H.W., Williams, C.E.","A novel wheat gene encoding a putative chitin-binding lectin is associated with resistance against Hessian fly",2007,"Molecular Plant Pathology","8","1",,"69","82",,43,10.1111/j.1364-3703.2006.00371.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846085537&partnerID=40&md5=a06e92b26e1423dd740cab95a37ac427",Article,Scopus,2-s2.0-33846085537
"Puthoff, D.P., Smigocki, A.C.","Insect feeding-induced differential expression of Beta vulgaris root genes and their regulation by defense-associated signals",2007,"Plant Cell Reports","26","1",,"71","84",,24,10.1007/s00299-006-0201-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845670891&partnerID=40&md5=72937e5483bd03a1c663406c5314a4f9",Article,Scopus,2-s2.0-33845670891
"Giovanini, M.P., Puthoff, D.P., Nemacheck, J.A., Mittapalli, O., Saltzmann, K.D., Ohm, H.W., Shukle, R.H., Williams, C.E.","Gene-for-gene defense of wheat against the Hessian fly lacks a classical oxidative burst",2006,"Molecular Plant-Microbe Interactions","19","9",,"1023","1033",,39,10.1094/MPMI-19-1023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747502819&partnerID=40&md5=7214e601b007501715d85c5e1de9781f",Article,Scopus,2-s2.0-33747502819
"Subramanyam, S., Sardesai, N., Puthoff, D.P., Meyer, J.M., Nemacheck, J.A., Gonzalo, M., Williams, C.E.","Expression of two wheat defense-response genes, Hfr-1 and Wci-1, under biotic and abiotic stresses",2006,"Plant Science","170","1",,"90","103",,43,10.1016/j.plantsci.2005.08.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27144512729&partnerID=40&md5=fd75026d5450f5e27fe296018c9e4691",Article,Scopus,2-s2.0-27144512729
