Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Martínez-García, J.F., Gallemí, M., Molina-Contreras, M.J., Llorente, B., Bevilaqua, M.R.R., Quail, P.H.","The shade avoidance syndrome in Arabidopsis: The antagonistic role of phytochrome A and B differentiates vegetation proximity and canopy shade",2014,"PLoS ONE","9","10", e109275,"","",,1,10.1371/journal.pone.0109275,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908191915&partnerID=40&md5=ff5504bbb639b919c990e861ac169e32",Article,Scopus,2-s2.0-84908191915
"Pfeiffer, A., Shi, H., Tepperman, J.M., Zhang, Y., Quail, P.H.","Combinatorial complexity in a transcriptionally centered signaling hub in arabidopsis",2014,"Molecular Plant","7","11",,"1598","1618",,6,10.1093/mp/ssu087,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929315761&partnerID=40&md5=86297367cee32117015c0505e97198b9",Article,Scopus,2-s2.0-84929315761
"Ni, W., Xu, S.-L., Tepperman, J.M., Stanley, D.J., Maltby, D.A., Gross, J.D., Burlingame, A.L., Wang, Z.-Y., Quail, P.H.","A mutually assured destruction mechanism attenuates light signaling in Arabidopsis",2014,"Science","344","6188",,"1160","1164",,21,10.1126/science.1250778,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901849656&partnerID=40&md5=454cfbd6f2760a7067698813490634db",Article,Scopus,2-s2.0-84901849656
"Ni, W., Xu, S.-L., Chalkley, R.J., Pham, T.N.D., Guan, S., Maltby, D.A., Burlingame, A.L., Wang, Z.-Y., Quail, P.H.","Multisite light-induced phosphorylation of the transcription factor PIF3 Is necessary for both its rapid degradation and concomitant negative feedback modulation of photoreceptor phyB levels in Arabidopsis",2013,"Plant Cell","25","7",,"2679","2698",,17,10.1105/tpc.113.112342,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883175765&partnerID=40&md5=84c43e3678afe9a0965b1ab5e698348a",Article,Scopus,2-s2.0-84883175765
"Zhang, Y., Mayba, O., Pfeiffer, A., Shi, H., Tepperman, J.M., Speed, T.P., Quail, P.H.","A Quartet of PIF bHLH Factors Provides a Transcriptionally Centered Signaling Hub That Regulates Seedling Morphogenesis through Differential Expression-Patterning of Shared Target Genes in Arabidopsis",2013,"PLoS Genetics","9","1", e1003244,"","",,61,10.1371/journal.pgen.1003244,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873497636&partnerID=40&md5=1871606cc595436c9ccf076afe4f4434",Article,Scopus,2-s2.0-84873497636
"Zhong, S., Shi, H., Xue, C., Wang, L., Xi, Y., Li, J., Quail, P.H., Deng, X.W., Guo, H.","A molecular framework of light-controlled phytohormone action in arabidopsis",2012,"Current Biology","22","16",,"1530","1535",,46,10.1016/j.cub.2012.06.039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865259903&partnerID=40&md5=95de30e65fc632516a1fee17970b81a9",Article,Scopus,2-s2.0-84865259903
"Soy, J., Leivar, P., González-Schain, N., Sentandreu, M., Prat, S., Quail, P.H., Monte, E.","Phytochrome-imposed oscillations in PIF3 protein abundance regulate hypocotyl growth under diurnal light/dark conditions in Arabidopsis",2012,"Plant Journal","71","3",,"390","401",,33,10.1111/j.1365-313X.2012.04992.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864439477&partnerID=40&md5=4e4babba74a41dd678f356d5ddc22da0",Article,Scopus,2-s2.0-84864439477
"Leivar, P., Monte, E., Cohn, M.M., Quail, P.H.","Phytochrome signaling in green Arabidopsis seedlings: Impact assessment of a mutually negative phyB-PIF feedback loop",2012,"Molecular Plant","5","3",,"734","749",,23,10.1093/mp/sss031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861361461&partnerID=40&md5=7f0756812cac18951a5a0ae8a0c6dc7b",Article,Scopus,2-s2.0-84861361461
"Leivar, P., Tepperman, J.M., Cohn, M.M., Monte, E., Al-Sady, B., Erickson, E., Quail, P.H.","Dynamic antagonism between phytochromes and PIF family basic helix-loop-helix factors induces selective reciprocal responses to light and shade in a rapidly responsive transcriptional network in Arabidopsis",2012,"Plant Cell","24","4",,"1398","1419",,56,10.1105/tpc.112.095711,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861403941&partnerID=40&md5=722b01d9f65af7e4c38feeb027e55c7b",Article,Scopus,2-s2.0-84861403941
"Sentandreu, M., Martín, G., González-Schain, N., Leivar, P., Soy, J., Tepperman, J.M., Quail, P.H., Monte, E.","Functional profiling identifies genes involved in organ-specific branches of the PIF3 regulatory network in Arabidopsis",2011,"Plant Cell","23","11",,"3974","3991",,13,10.1105/tpc.111.088161,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855222513&partnerID=40&md5=887069b35e212bcd4358cf5f964de11d",Article,Scopus,2-s2.0-84855222513
"Wang, X., Roig-Villanova, I., Khan, S., Shanahan, H., Quail, P.H., Martinez-Garcia, J.F., Devlin, P.F.","A novel high-throughput in vivo molecular screen for shade avoidance mutants identifies a novel phyA mutation",2011,"Journal of Experimental Botany","62","8",,"2973","2987",,7,10.1093/jxb/err062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957491211&partnerID=40&md5=a7b6fe1cb7caa27276c00c5f3e8989ed",Article,Scopus,2-s2.0-79957491211
"Leivar, P., Quail, P.H.","PIFs: Pivotal components in a cellular signaling hub",2011,"Trends in Plant Science","16","1",,"19","28",,218,10.1016/j.tplants.2010.08.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650496948&partnerID=40&md5=9008cc67c77381103677f7595aebb3b9",Review,Scopus,2-s2.0-78650496948
"Quail, P.H.","Phytochromes",2010,"Current Biology","20","12",,"R504","R507",,24,10.1016/j.cub.2010.04.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955702648&partnerID=40&md5=9dd4398bd065c155a9aab32489d39aef",Article,Scopus,2-s2.0-77955702648
