Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Broz, A.K., Tovar-Méndez, A., Mooney, B.P., Johnston, M.L., Miernyk, J.A., Randall, D.D.","A novel regulatory mechanism based upon a dynamic core structure for the mitochondrial pyruvate dehydrogenase complex?",2014,"Mitochondrion","19","PB",,"144","153",,1,10.1016/j.mito.2014.05.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914157438&partnerID=40&md5=09466952fdba6a547b1fbe97fdfbf377",Article,Scopus,2-s2.0-84914157438
"Tovar-Mendez, A., Miernyk, J.A., Hoyos, E., Randall, D.D.","A functional genomic analysis of Arabidopsis thaliana PP2C clade D",2014,"Protoplasma","251","1",,"265","271",,3,10.1007/s00709-013-0526-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892509969&partnerID=40&md5=27fe442a5bdb53e348ddccb3682a24fc",Article,Scopus,2-s2.0-84892509969
"Hirani, T.A., Tovar-Méndez, A., Miernyk, J.A., Randall, D.D.","Asp295 stabilizes the active-site loop structure of pyruvate dehydrogenase, facilitating phosphorylation of Ser292 by pyruvate dehydrogenase-kinase",2011,"Enzyme Research","2011","1", 939068,"","",,2,10.4061/2011/939068,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864375914&partnerID=40&md5=9ebc71cdb63f5c0986921ce043036984",Article,Scopus,2-s2.0-84864375914
"Miernyk, J.A., Johnston, M.L., Huber, S.C., Tovar-Méndez, A., Hoyos, E., Randall, D.D.","Oxidation of an adjacent methionine residue inhibits regulatory seryl-phosphorylation of pyruvate dehydrogenase",2009,"Proteomics Insights","2","1",,"15","22",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952746177&partnerID=40&md5=7d225a013b28914dff9d09730f72e788",Article,Scopus,2-s2.0-77952746177
"Miernyk, J.A., Szurmak, B., Tovar-Mendez, A., Randall, D.D., Muszynska, G.","Is there a signal transduction pathway that links events at the plasma membrane to the phosphorylation state of the mitochondrial pyruvate dehydrogenase complex?",2007,"Physiologia Plantarum","129","1",,"104","113",,4,10.1111/j.1399-3054.2006.00755.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845644651&partnerID=40&md5=29d92bb2d13fbf9f31c04a0139704106",Conference Paper,Scopus,2-s2.0-33845644651
"Tovar-Méndez, A., Hirani, T.A., Miernyk, J.A., Randall, D.D.","Analysis of the catalytic mechanism of pyruvate dehydrogenase kinase",2005,"Archives of Biochemistry and Biophysics","434","1 SPEC. ISS.",,"159","168",,7,10.1016/j.abb.2004.10.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-11144256939&partnerID=40&md5=c75c5a9109470f09108e92829aa16878",Article,Scopus,2-s2.0-11144256939
"Randall, D.D.","Enhanced PHA production in plants",2004,"Industrial Bioprocessing","26","9",,"4","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4644222049&partnerID=40&md5=79f77ada7367e3c2f02d25a1105f0471",Article,Scopus,2-s2.0-4644222049
"Szurmak, B., Strokovskaya, L., Mooney, B.P., Randall, D.D., Miernyk, J.A.","Expression and assembly of Arabidopsis thaliana pyruvate dehydrogenase in insect cell cytoplasm",2003,"Protein Expression and Purification","28","2",,"357","361",,5,10.1016/S1046-5928(02)00712-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038733885&partnerID=40&md5=f93373ecafa36ef6e17ee7968dafde7e",Article,Scopus,2-s2.0-0038733885
"Tovar-Méndez, A., Miernyk, J.A., Randall, D.D.","Regulation of pyruvate dehydrogenase complex activity in plant cells",2003,"European Journal of Biochemistry","270","6",,"1043","1049",,122,10.1046/j.1432-1033.2003.03469.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0345074089&partnerID=40&md5=9e73426fb90a54075e10701433b3ba52",Short Survey,Scopus,2-s2.0-0345074089
"Mooney, B.P., Miernyk, J.A., Randall, D.D.","The complex fate of α-ketoacids",2002,"Annual Review of Plant Biology","53",,,"357","375",,88,10.1146/annurev.arplant.53.100301.135251,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037002327&partnerID=40&md5=758eb0d6c934713c3c3dab10068bc4d9",Review,Scopus,2-s2.0-0037002327
"Tovar-Mendez, A., Miernyk, J.A., Randall, D.D.","Histidine mutagenesis of Arabidopsis thaliana pyruvate dehydrogenase kinase",2002,"European Journal of Biochemistry","269","10",,"2601","2606",,11,10.1046/j.1432-1033.2002.02933.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036098840&partnerID=40&md5=3526d76f3c02ea8443003fb13437d00a",Article,Scopus,2-s2.0-0036098840
"Broz, A.K., Thelen, J.J., Muszynski, M.G., Miernyk, J.A., Randall, D.D.","ZMPP2, a novel type-2C protein phosphatase from maize",2001,"Journal of Experimental Botany","52","361",,"1739","1740",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034891039&partnerID=40&md5=39d54001eb1208265ef0bc71127e0609",Article,Scopus,2-s2.0-0034891039
"Luethy, M.H., Gemel, J., Johnston, M.L., Mooney, B.P., Miernyk, J.A., Randall, D.D.","Developmental expression of the mitochondrial pyruvate dehydrogenase complex in pea (Pisum sativum) seedlings",2001,"Physiologia Plantarum","112","4",,"559","566",,17,10.1034/j.1399-3054.2001.1120414.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034919355&partnerID=40&md5=d7142c15879f00d91b9e18138c154643",Article,Scopus,2-s2.0-0034919355
"Mooney, B.P., Henzl, M.T., Miernyk, J.A., Randall, D.D.","The dihydrolipoyl acyltransferase (BCE2) subunit of the plant branched- chain α-ketoacid dehydrogenase complex forms a 24-mer core with octagonal symmetry",2000,"Protein Science","9","7",,"1334","1339",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033868183&partnerID=40&md5=2ccc8133831b529672a82c5e5a3c80ea",Article,Scopus,2-s2.0-0033868183
"Moreno, J.I., David, N.R., Miernyk, J.A., Randall, D.D.","Pisum sativum mitochondrial pyruvate dehydrogenase can be assembled as a functional α2β2 heterotetramer in the cytoplasm of Pichia pastoris",2000,"Protein Expression and Purification","19","2",,"276","283",,5,10.1006/prep.2000.1247,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033948711&partnerID=40&md5=5f3b86cc735a4e7579b5dc21877edc42",Article,Scopus,2-s2.0-0033948711
"Thelen, J.J., Miernyk, J.A., Randall, D.D.","Pyruvate dehydrogenase kinase from Arabidopsis thaliana: A protein histidine kinase that phosphorylates serine residues",2000,"Biochemical Journal","349","1",,"195","201",,45,10.1042/0264-6021:3490195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034234737&partnerID=40&md5=3b969d9b32e13e98c05bc194fe2b03a2",Article,Scopus,2-s2.0-0034234737
"Johnston, M.L., Miernyk, J.A., Randall, D.D.","Import, processing, and assembly of the α- and β-subunits of chloroplast pyruvate dehydrogenase",2000,"Planta","211","1",,"72","76",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033948019&partnerID=40&md5=51eda71adf145ba10274c71fc94e9283",Article,Scopus,2-s2.0-0033948019
"Johnston, M.L., Miernyk, J.A., Randall, D.D.","Use of sulfhydryl-directed inhibitors in vitro to distinguish activities of the mitochondrial and plastidic forms of pyruvate dehydrogenase",2000,"Archives of Biochemistry and Biophysics","378","1",,"192","193",,1,10.1006/abbi.2000.1840,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034213172&partnerID=40&md5=0a20dc8579252e84eb58ec28a1d02101",Article,Scopus,2-s2.0-0034213172
"Moreno, J.I., Miernyk, J.A., Randall, D.D.","Staphylococcal protein A as a fusion partner directs secretion of the E1α and E1β subunits of pea mitochondrial pyruvate dehydrogenase by Bacillus subtilis",2000,"Protein Expression and Purification","18","2",,"242","248",,5,10.1006/prep.1999.1175,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034067488&partnerID=40&md5=93dcce2f4dc7f5e751a6ae799664b691",Article,Scopus,2-s2.0-0034067488
"Mooney, B.P., David, N.R., Thelen, J.J., Miernyk, J.A., Randall, D.D.","Histidine modifying agents abolish pyruvate dehydrogenase kinase activity",2000,"Biochemical and Biophysical Research Communications","267","2",,"500","503",,14,10.1006/bbrc.1999.1994,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034684962&partnerID=40&md5=1c2724e07dce1755e84c6cb7d093c2f4",Article,Scopus,2-s2.0-0034684962
"Thelen, J.J., Muszynski, M.G., David, N.R., Luethy, M.H., Elthon, T.E., Miernyk, J.A., Randall, D.D.","The dihydrolipoamide S-acetyltransferase subunit of the mitochondrial pyruvate dehydrogenase complex from maize contains a single lipoyl domain",1999,"Journal of Biological Chemistry","274","31",,"21769","21775",,26,10.1074/jbc.274.31.21769,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033618390&partnerID=40&md5=0e6e9110fefe95896d1dd8b058ff9f26",Article,Scopus,2-s2.0-0033618390
"Mooney, B.P., Miernyk, J.A., Randall, D.D.","Cloning and characterization of the dihydrolipoamide S-acetyltransferase subunit of the plastid pyruvate dehydrogenase complex (E2) from arabidopsis",1999,"Plant Physiology","120","2",,"443","451",,26,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033150518&partnerID=40&md5=50ddb111bd9277c13d02b794a044beb3",Article,Scopus,2-s2.0-0033150518
"Thelen, J.J., Miernyk, J.A., Randall, D.D.","Molecular cloning and expression analysis of the mitochondrial pyruvate dehydrogenase from maize",1999,"Plant Physiology","119","2",,"635","643",,24,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033080473&partnerID=40&md5=c75110f88e783093a4d6b908b51ee155",Article,Scopus,2-s2.0-0033080473
"Thelen, J.J., Miernyk, J.A., Randall, D.D.","Partial Purification and Characterization of the Maize Mitochondrial Pyruvate Dehydrogenase Complex",1998,"Plant Physiology","116","4",,"1443","1450",,27,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001218473&partnerID=40&md5=498c263909a72047ac1b9a78abb9ea31",Article,Scopus,2-s2.0-0001218473
