Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rasmussen, C.G., Wright, A.J., Müller, S.","The role of the cytoskeleton and associated proteins in determination of the plant cell division plane",2013,"Plant Journal","75","2",,"258","269",,22,10.1111/tpj.12177,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879991330&partnerID=40&md5=9f47c6cc15f8691e1ca3db1525739d85",Article,Scopus,2-s2.0-84879991330
"Rasmussen, C.G., Humphries, J.A., Smith, L.G.","Determination of symmetric and asymmetric division planes in plant cells",2011,"Annual Review of Plant Biology","62",,,"387","409",,43,10.1146/annurev-arplant-042110-103802,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955603762&partnerID=40&md5=30dbc8892795cd2be3f2089d40750dc6",Article,Scopus,2-s2.0-79955603762
"Riquelme, M., Yarden, O., Bartnicki-Garcia, S., Bowman, B., Castro-Longoria, E., Free, S.J., Fleißner, A., Freitag, M., Lew, R.R., Mouriño-Pérez, R., Plamann, M., Rasmussen, C., Richthammer, C., Roberson, R.W., Sanchez-Leon, E., Seiler, S., Watters, M.K.","Architecture and development of the Neurospora crassa hypha - a model cell for polarized growth",2011,"Fungal Biology","115","6",,"446","474",,54,10.1016/j.funbio.2011.02.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957860549&partnerID=40&md5=f8b66059b42014468efd21cc9178c28a",Article,Scopus,2-s2.0-79957860549
"Rasmussen, C.G., Sun, B., Smith, L.G.","Tangled localization at the cortical division site of plant cells occurs by several mechanisms",2011,"Journal of Cell Science","124","2",,"270","279",,20,10.1242/jcs.073676,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251584012&partnerID=40&md5=a568db02d786cd4dd8ca7b8673070990",Article,Scopus,2-s2.0-79251584012
"Simonin, A.R., Rasmussen, C.G., Yang, M., Glass, N.L.","Genes encoding a striatin-like protein (ham-3) and a forkhead associated protein (ham-4) are required for hyphal fusion in Neurospora crassa",2010,"Fungal Genetics and Biology","47","10",,"855","868",,29,10.1016/j.fgb.2010.06.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956340808&partnerID=40&md5=62fccfc10714ee8f94a817446eef6959",Article,Scopus,2-s2.0-77956340808
"Rasmussen, C.G., Morgenstein, R.M., Peck, S., Glass, N.L.","Lack of the GTPase RHO-4 in Neurospora crassa causes a reduction in numbers and aberrant stabilization of microtubules at hyphal tips",2008,"Fungal Genetics and Biology","45","6",,"1027","1039",,9,10.1016/j.fgb.2008.02.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43049176642&partnerID=40&md5=f6d99330a60e0c6ea1f900d68e6ec7d3",Article,Scopus,2-s2.0-43049176642
"Rasmussen, C.G., Glass, N.L.","Localization of RHO-4 indicates differential regulation of conidial versus vegetative septation in the filamentous fungus Neurospora crassa",2007,"Eukaryotic Cell","6","7",,"1097","1107",,20,10.1128/EC.00050-07,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34447555985&partnerID=40&md5=23bccc1f9b0beaf589545750237e560a",Article,Scopus,2-s2.0-34447555985
"Rasmussen, C.G., Glass, N.L.","A Rho-type GTPase, rho-4, is required for septation in Neurospora crassa",2005,"Eukaryotic Cell","4","11",,"1913","1925",,46,10.1128/EC.4.11.1913-1925.2005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27744581027&partnerID=40&md5=17a1979c4b2d3332aeb1513acdbffc33",Article,Scopus,2-s2.0-27744581027
"Glass, N.L., Rasmussen, C., Roca, M.G., Read, N.D.","Hyphal homing, fusion and mycelial interconnectedness",2004,"Trends in Microbiology","12","3",,"135","141",,96,10.1016/j.tim.2004.01.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1542316380&partnerID=40&md5=f6b3ffbbf936e7bf425637fd4da1d842",Review,Scopus,2-s2.0-1542316380
"Galagan, J.E., Calvo, S.E., Borkovich, K.A., Selker, E.U., Read, N.O., Jaffe, D., FitzHugh, W., Ma, L.-J., Smirnov, S., Purcell, S., Rehman, B., Elkins, T., Engels, R., Wang, S., Nielsen, C.B., Butler, J., Endrizzi, M., Qui, D., Ianakiev, P., Bell-Pedersen, D., Nelson, M.A., Werner-Washburne, M., Selitrennikoff, C.P., Kinsey, J.A., Braun, E.L., Zelter, A., Schulte, U., Kothe, G.O., Jedd, G., Mewes, W., Staben, C., Marcotte, E., Greenberg, D., Roy, A., Foley, K., Naylor, J., Stange-Thomann, N., Barrett, R., Gnerre, S., Kamal, M., Kamvysselis, M., Mauceli, E., Bielke, C., Rudd, S., Frishman, D., Krystofova, S., Rasmussen, C., Metzenberg, R.L., Perkins, D.D., Kroken, S., Cogoni, C., Macino, G., Catcheside, D., Li, W., Pratt, R.J., Osmani, S.A., DeSouza, C.P.C., Glass, L., Orbach, M.J., Berglund, J.A., Voelker, R., Yarden, O., Plamann, M., Seiler, S., Dunlap, J., Radford, A., Aramayo, R., Natvig, D.O., Alex, L.A., Mannhaupt, G., Ebbole, D.J., Freitag, M., Paulsen, I., Sachs, M.S., Lander, E.S., Nusbaum, C., Birren, B.","The genome sequence of the filamentous fungus Neurospora crassa",2003,"Nature","422","6934",,"859","868",,850,10.1038/nature01554,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037464589&partnerID=40&md5=d002169c5a25ee0d344bab5524b9b623",Article,Scopus,2-s2.0-0037464589
"Xiang, Q., Rasmussen, C., Louise Glass, N.","The ham-2 locus, encoding a putative transmembrane protein, is required for hyphal fusion in Neurospora crassa",2002,"Genetics","160","1",,"169","180",,55,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036160639&partnerID=40&md5=e7578b4e7d5acfc105db50e6389f60fc",Article,Scopus,2-s2.0-0036160639
