Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Brune, P.D., Culler, A.H., Ridley, W.P., Walker, K.","Safety of GM crops: Compositional analysis",2013,"Journal of Agricultural and Food Chemistry","61","35",,"8243","8247",,2,10.1021/jf401097q,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883713294&partnerID=40&md5=1cfce16ae7c66470ebdac5f6ad86946e",Conference Paper,Scopus,2-s2.0-84883713294
"Ridley, W.P., Shillito, R.D., Coats, I., Steiner, H.-Y., Shawgo, M., Phillips, A., Dussold, P., Kurtyka, L.","Erratum to ""Development of the International Life Sciences Institute Crop Composition Database"" [J. Food Compos. Anal. 17 (3-4) (2004) 423-438]",2012,"Journal of Food Composition and Analysis","26","1-2",,"189","",,,10.1016/j.jfca.2012.02.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862025903&partnerID=40&md5=674fff777ecf6dbda290eddaeaa802b1",Erratum,Scopus,2-s2.0-84862025903
"Ridley, W.P., Harrigan, G.G., Breeze, M.L., Nemeth, M.A., Sidhu, R.S., Glenn, K.C.","Evaluation of compositional equivalence for multitrait biotechnology crops",2011,"Journal of Agricultural and Food Chemistry","59","11",,"5865","5876",,13,10.1021/jf103874t,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958016501&partnerID=40&md5=83385912a492375d769466c4b4affd49",Article,Scopus,2-s2.0-79958016501
"Harrigan, G.G., Glenn, K.C., Ridley, W.P.","Assessing the natural variability in crop composition",2010,"Regulatory Toxicology and Pharmacology","58","3",,"S13","S20",,14,10.1016/j.yrtph.2010.08.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78349308185&partnerID=40&md5=410570635b67333c92cf7229944afd9a",Article,Scopus,2-s2.0-78349308185
"Alba, R., Phillips, A., Mackie, S., Gillikin, N., Maxwell, C., Brune, P., Ridley, W., Fitzpatrick, J., Levine, M., Harris, S.","Improvements to the international life sciences institute crop composition database",2010,"Journal of Food Composition and Analysis","23","7",,"741","748",,11,10.1016/j.jfca.2010.03.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649945630&partnerID=40&md5=c6fd2de8d8dfefdbee6b2059b70e94e9",Article,Scopus,2-s2.0-78649945630
"Berman, K.H., Harrigan, G.G., Riordan, S.G., Nemeth, M.A., Hanson, C., Smith, M., Sorbet, R., Zhu, E., Ridley, W.P.","Compositions of forage and seed from second-generation glyphosate-tolerant soybean MON 89788 and insect-protected soybean MON 87701 from Brazil are equivalent to those of conventional soybean (glycine max)",2010,"Journal of Agricultural and Food Chemistry","58","10",,"6270","6276",,20,10.1021/jf1003978,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952615142&partnerID=40&md5=32d451a9c3b6b67d8a0bf4471d5bb919",Article,Scopus,2-s2.0-77952615142
"Harrigan, G.G., Lundry, D., Drury, S., Berman, K., Riordan, S.G., Nemeth, M.A., Ridley, W.P., Glenn, K.C.","Natural variation in crop composition and the impact of transgenesis",2010,"Nature Biotechnology","28","5",,"402","404",,39,10.1038/nbt0510-402,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952129680&partnerID=40&md5=6d17310c41290f52d968139438e2bfdc",Letter,Scopus,2-s2.0-77952129680
"Berman, K.H., Harrigan, G.G., Riordan, S.G., Nemeth, M.A., Hanson, C., Smith, M., Sorbet, R., Zhu, E., Ridley, W.P.","Compositions of seed, forage, and processed fractions from insect-protected soybean MON 87701 are equivalent to those of conventional soybean",2009,"Journal of Agricultural and Food Chemistry","57","23",,"11360","11369",,18,10.1021/jf902955r,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72449202183&partnerID=40&md5=2eaf8f997d3d6f3776aeb6b1746ff116",Article,Scopus,2-s2.0-72449202183
"Harrigan, G.G., Ridley, W.P., Miller, K.D., Sorbet, R., Riordan, S.G., Nemeth, M.A., Reeves, W., Pester, T.A.","The forage and grain of MON 87460, a drought-tolerant corn hybrid, are compositionally equivalent to that of conventional corn",2009,"Journal of Agricultural and Food Chemistry","57","20",,"9754","9763",,16,10.1021/jf9021515,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350291945&partnerID=40&md5=2d097c7671ae210376e25d62d0a62ab0",Article,Scopus,2-s2.0-70350291945
"Lundry, D.R., Ridley, W.P., Meyer, J.J., Riordan, S.G., Nemeth, M.A., Trujillo, W.A., Breeze, M.L., Sorbet, R.","Composition of grain, forage, and processed fractions from second-generation glyphosate-tolerant soybean, MON 89788, is equivalent to that of conventional soybean (Glycine max L.)",2008,"Journal of Agricultural and Food Chemistry","56","12",,"4611","4622",,33,10.1021/jf073087h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47349098358&partnerID=40&md5=902b4a1382e53a5d0ba89566739630da",Article,Scopus,2-s2.0-47349098358
