Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ron, M., Kajala, K., Pauluzzi, G., Wang, D., Reynoso, M.A., Zumstein, K., Garcha, J., Winte, S., Masson, H., Inagaki, S., Federici, F., Sinh, N., Deal, R.B., Bailey-Serres, J., Brady, S.M.","Hairy root transformation using Agrobacterium rhizogenes as a tool for exploring cell type-specific gene expression and function using tomato as a model",2014,"Plant Physiology","166","2",,"455","469",,10,10.1104/pp.114.239392,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907731269&partnerID=40&md5=c93f297edae843b0c66539ab2812f5d5",Article,Scopus,2-s2.0-84907731269
"Ron, M., Dorrity, M.W., de Lucas, M., Toal, T., Ivan Hernandez, R., Little, S.A., Maloof, J.N., Kliebenstein, D.J., Brady, S.M.","Identification of novel loci regulating interspecific variation in root morphology and cellular development in tomato",2013,"Plant Physiology","162","2",,"755","768",,11,10.1104/pp.113.217802,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878449387&partnerID=40&md5=2ad71e0b269f6197b847ccc45f487cce",Article,Scopus,2-s2.0-84878449387
"Alandete-Saez, M., Ron, M., Leiboff, S., McCormick, S.","Arabidopsis thaliana GEX1 has dual functions in gametophyte development and early embryogenesis",2011,"Plant Journal","68","4",,"620","632",,5,10.1111/j.1365-313X.2011.04713.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80855132815&partnerID=40&md5=1d6fc001c85bd6f1370df822913369ae",Article,Scopus,2-s2.0-80855132815
"Taylor-Teeples, M., Ron, M., Brady, S.M.","Novel biological insights revealed from cell type-specific expression profiling",2011,"Current Opinion in Plant Biology","14","5",,"601","607",,11,10.1016/j.pbi.2011.05.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053896121&partnerID=40&md5=e5424576621b0d1e50fb4328e6cf510e",Review,Scopus,2-s2.0-80053896121
"Bar, M., Sharfman, M., Ron, M., Avni, A.","BAK1 is required for the attenuation of ethylene-inducing xylanase (Eix)-induced defense responses by the decoy receptor LeEix1",2010,"Plant Journal","63","5",,"791","800",,47,10.1111/j.1365-313X.2010.04282.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956065701&partnerID=40&md5=2b9f7f1c2db462fcb35f5f27b12ee9b3",Article,Scopus,2-s2.0-77956065701
"Ron, M., Saez, M.A., Williams, L.E., Fletcher, J.C., McCormick, S.","Proper regulation of a sperm-specific cis-nat-siRNA is essential for double fertilization in Arabidopsis",2010,"Genes and Development","24","10",,"1010","1021",,70,10.1101/gad.1882810,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952415941&partnerID=40&md5=81318ee0c84d7430d4fe1a62d20c965e",Article,Scopus,2-s2.0-77952415941
"Wang, H., Boavida, L.C., Ron, M., McCormick, S.","Truncation of a protein disulfide isomerase, PDIL2-1, delays embryo sac maturation and disrupts pollen tube guidance in Arabidopsis thaliana",2008,"Plant Cell","20","12",,"3300","3311",,32,10.1105/tpc.108.062919,"http://www.scopus.com/inward/record.url?eid=2-s2.0-62549099551&partnerID=40&md5=e71fcd5d76a848992f610533ff80d727",Article,Scopus,2-s2.0-62549099551
"Alandete-Saez, M., Ron, M., McCormick, S.","GEX3, expressed in the male gametophyte and in the egg cell of Arabidopsis thaliana, is essential for micropylar pollen tube guidance and plays a role during early embryogenesis",2008,"Molecular Plant","1","4",,"586","598",,34,10.1093/mp/ssn015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-57749096624&partnerID=40&md5=0cbf5b379ae68f694db99ea5e65657ee",Article,Scopus,2-s2.0-57749096624
"Ron, M., Avni, A.","The receptor for the fungal elicitor ethylene-inducing xylanase is a member of a resistance-like gene family in tomato",2004,"Plant Cell","16","6",,"1604","1615",,242,10.1105/tpc.022475,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2942683505&partnerID=40&md5=9b2219d99a45acea0b51ff930b56a361",Article,Scopus,2-s2.0-2942683505
"Ron, M., Kantety, R., Martin, G.B., Avidan, N., Eshed, Y., Zamir, D., Avni, A.","High-resolution linkage analysis and physical characterization of the EIX-responding locus in tomato",2000,"Theoretical and Applied Genetics","100","2",,"184","189",,20,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033955641&partnerID=40&md5=f3cbae072b7525e61fbede12aedbbc06",Article,Scopus,2-s2.0-0033955641
"Hanania, U., Furman-Matarasso, N., Ron, M., Avni, A.","Isolation of a novel SUMO protein from tomato that suppresses EIX-induced cell death",1999,"Plant Journal","19","5",,"533","541",,59,10.1046/j.1365-313X.1999.00547.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033199037&partnerID=40&md5=683cdcec4d1a479db67c3235a544169f",Article,Scopus,2-s2.0-0033199037
