Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sosso, D., Luo, D., Li, Q.-B., Sasse, J., Yang, J., Gendrot, G., Suzuki, M., Koch, K.E., McCarty, D.R., Chourey, P.S., Rogowsky, P.M., Ross-Ibarra, J., Yang, B., Frommer, W.B.","Seed filling in domesticated maize and rice depends on SWEET-mediated hexose transport",2015,"Nature Genetics",,,,"","",,,10.1038/ng.3422,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946127765&partnerID=40&md5=76c0abb134d5d1f2b861c3bfc00cf453",Article in Press,Scopus,2-s2.0-84946127765
"Hake, S., Ross-Ibarra, J.","Genetic, evolutionary and plant breeding insights from the domestication of maize",2015,"eLife","2015","4", e05861,"","",8,1,10.7554/eLife.05861.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925864333&partnerID=40&md5=33fcfb0b6ef2ba9e31d1d17ba361ec85",Article,Scopus,2-s2.0-84925864333
"Da Fonseca, R.R., Smith, B.D., Wales, N., Cappellini, E., Skoglund, P., Fumagalli, M., Samaniego, J.A., Carøe, C., Ávila-Arcos, M.C., Hufnagel, D.E., Korneliussen, T.S., Vieira, F.G., Jakobsson, M., Arriaza, B., Willerslev, E., Nielsen, R., Hufford, M.B., Albrechtsen, A., Ross-Ibarra, J., Gilbert, M.T.P.","The origin and evolution of maize in the Southwestern United States",2015,"Nature Plants","1",, 14003,"","",,2,10.1038/nplants.2014.3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925407129&partnerID=40&md5=6e28b3f1cfa0ded988988b7856f1653c",Article,Scopus,2-s2.0-84925407129
"Dyer, G.A., López-Feldman, A., Yúnez-Naude, A., Taylor, J.E., Ross-Ibarra, J.","Reply to Brush et al.: Wake-up call for crop conservation science",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","1",,"E2","",,,10.1073/pnas.1422645112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920378787&partnerID=40&md5=ecaca6247c9305ea3b87ebfbfb3a19fc",Letter,Scopus,2-s2.0-84920378787
"Bilinski, P., Distor, K., Gutierrez-Lopez, J., Mendoza, G.M., Shi, J., Dawe, R.K., Ross-Ibarra, J.","Diversity and evolution of centromere repeats in the maize genome",2015,"Chromosoma","124","1",,"57","65",,1,10.1007/s00412-014-0483-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923653711&partnerID=40&md5=c5a1d14ba031bcf49e4a63eb02470c4b",Article,Scopus,2-s2.0-84923653711
"Takuno, S., Ralph, P., Swart, K., Elshire, R.J., Glaubitz, J.C., Buckler, E.S., Hufford, M.B., Ross-Ibarra, J.","Independent molecular basis of convergent highland adaptation in maize",2015,"Genetics","200","4",,"1297","1312",,,10.1534/genetics.115.178327,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939451333&partnerID=40&md5=207540a7bbe799582c63445264522918",Article,Scopus,2-s2.0-84939451333
"Makarevitch, I., Waters, A.J., West, P.T., Stitzer, M., Hirsch, C.N., Ross-Ibarra, J., Springer, N.M.","Transposable Elements Contribute to Activation of Maize Genes in Response to Abiotic Stress",2015,"PLoS Genetics","11","1", e1004915,"","",12,7,10.1371/journal.pgen.1004915,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924405848&partnerID=40&md5=c0e012b75e57fa88d90fcbb64374caea",Article,Scopus,2-s2.0-84924405848
"Mezmouk, S., Ross-Ibarra, J.","The pattern and distribution of deleterious mutations in maize",2014,"G3: Genes, Genomes, Genetics","4","1",,"163","171",,1,10.1534/g3.113.008870,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892716897&partnerID=40&md5=d85e2f725cd4e9e98731bbca82456d15",Article,Scopus,2-s2.0-84892716897
"Tiffin, P., Ross-Ibarra, J.","Advances and limits of using population genetics to understand local adaptation",2014,"Trends in Ecology and Evolution","29","12",,"673","680",,10,10.1016/j.tree.2014.10.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912125056&partnerID=40&md5=83ff7c0b9b2bf0088d42b5375534eae1",Review,Scopus,2-s2.0-84912125056
"Pyhäjärvi, T., Hufford, M.B., Mezmouk, S., Ross-Ibarra, J.","Complex patterns of local adaptation in teosinte",2013,"Genome Biology and Evolution","5","9",,"1594","1609",,13,10.1093/gbe/evt109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892540397&partnerID=40&md5=00e061c3f85698b2c3df378ce20c06e5",Article,Scopus,2-s2.0-84892540397
"Waters, A.J., Bilinski, P., Eichten, S.R., Vaughn, M.W., Ross-Ibarra, J., Gehring, M., Springer, N.M.","Comprehensive analysis of imprinted genes in maize reveals allelic variation for imprinting and limited conservation with other species",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","48",,"19639","19644",,9,10.1073/pnas.1309182110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888377186&partnerID=40&md5=71bc5e463f7a0fdb34553228818f5f6d",Article,Scopus,2-s2.0-84888377186
"Provance, M.C., García-Ruiz, I., Thommes, C., Ross-Ibarra, J.","Population genetics and ethnobotany of cultivated Diospyros riojae Gómez Pompa (Ebenaceae), an endangered fruit crop from Mexico",2013,"Genetic Resources and Crop Evolution","60","7",,"2171","2182",,1,10.1007/s10722-013-0015-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885846132&partnerID=40&md5=28e1da34f581cc9de1050d69a1682c1a",Article,Scopus,2-s2.0-84885846132
"Wills, D.M., Whipple, C.J., Takuno, S., Kursel, L.E., Shannon, L.M., Ross-Ibarra, J., Doebley, J.F.","From Many, One: Genetic Control of Prolificacy during Maize Domestication",2013,"PLoS Genetics","9","6", e1003604,"","",,10,10.1371/journal.pgen.1003604,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879672172&partnerID=40&md5=db6d1fee00b9d81726b9479f966a96fd",Article,Scopus,2-s2.0-84879672172
"Kanizay, L.B., Pyhäjärvi, T., Lowry, E.G., Hufford, M.B., Peterson, D.G., Ross-Ibarra, J., Dawe, R.K.","Diversity and abundance of the abnormal chromosome 10 meiotic drive complex in Zea mays",2013,"Heredity","110","6",,"570","577",,3,10.1038/hdy.2013.2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878557201&partnerID=40&md5=2d45156f5f1395b7f4947855c5524bc9",Article,Scopus,2-s2.0-84878557201
"Hufford, M.B., Lubinksy, P., Pyhäjärvi, T., Devengenzo, M.T., Ellstrand, N.C., Ross-Ibarra, J.","The Genomic Signature of Crop-Wild Introgression in Maize",2013,"PLoS Genetics","9","5", e1003477,"","",,31,10.1371/journal.pgen.1003477,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878500021&partnerID=40&md5=42af494962e6d9334b7767e76a3c6d5f",Article,Scopus,2-s2.0-84878500021
"Melters, D.P., Bradnam, K.R., Young, H.A., Telis, N., May, M.R., Ruby, J.G., Sebra, R., Peluso, P., Eid, J., Rank, D., Fernando Garcia, J., DeRisi, J.L., Smith, T., Tobias, C., Ross-Ibarra, J., Korf, I., Chan, S.W.L.","Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution",2013,"Genome Biology",,,,"","",,33,10.1186/gb-2013-14-1-r10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873032132&partnerID=40&md5=217e6cf2c74f7a6b683aa6a45b881ac8",Article in Press,Scopus,2-s2.0-84873032132
"Hufford, M.B., Bilinski, P., Pyhäjärvi, T., Ross-Ibarra, J.","Teosinte as a model system for population and ecological genomics",2012,"Trends in Genetics","28","12",,"606","615",,4,10.1016/j.tig.2012.08.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869085030&partnerID=40&md5=2bd490e3f0a86bff403538918b345360",Review,Scopus,2-s2.0-84869085030
"Muñoz-Diez, C., Vitte, C., Ross-Ibarra, J., Gaut, B.S., Tenaillon, M.I.","Using nextgen sequencing to investigate genome size variation and transposable element content",2012,"Topics in Current Genetics","24",,,"41","58",,2,10.1007/978-3-642-31842-9-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875460675&partnerID=40&md5=7cc625d408b3b3cf2fb63c7d484faf45",Review,Scopus,2-s2.0-84875460675
"Van Heerwaarden, J., Hufford, M.B., Ross-Ibarra, J.","Historical genomics of North American maize",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","31",,"12420","12425",,27,10.1073/pnas.1209275109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864526930&partnerID=40&md5=2c0f7c7be3d7851b6a075ecdb00425b1",Article,Scopus,2-s2.0-84864526930
"Swanson-Wagner, R., Briskine, R., Schaefer, R., Hufford, M.B., Ross-Ibarra, J., Myers, C.L., Tiffin, P., Springer, N.M.","Reshaping of the maize transcriptome by domestication",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","29",,"11878","11883",,30,10.1073/pnas.1201961109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863932365&partnerID=40&md5=a5a6c53f171f9a10fcd72e9e95d80025",Article,Scopus,2-s2.0-84863932365
"Fang, Z., Pyhäjärvi, T., Weber, A.L., Dawe, R.K., Glaubitz, J.C., Sánchez González, J.J., Ross-Ibarra, C., Doebley, J., Morrell, P.L., Ross-Ibarra, J.","Megabase-scale inversion polymorphism in the wild ancestor of maize",2012,"Genetics","191","3",,"883","894",,17,10.1534/genetics.112.138578,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862992432&partnerID=40&md5=f603fae123dc46846c632536beb128a5",Article,Scopus,2-s2.0-84862992432
"Hufford, M.B., Xu, X., Van Heerwaarden, J., Pyhäjärvi, T., Chia, J.-M., Cartwright, R.A., Elshire, R.J., Glaubitz, J.C., Guill, K.E., Kaeppler, S.M., Lai, J., Morrell, P.L., Shannon, L.M., Song, C., Springer, N.M., Swanson-Wagner, R.A., Tiffin, P., Wang, J., Zhang, G., Doebley, J., McMullen, M.D., Ware, D., Buckler, E.S., Yang, S., Ross-Ibarra, J.","Comparative population genomics of maize domestication and improvement",2012,"Nature Genetics","44","7",,"808","811",,152,10.1038/ng.2309,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862993359&partnerID=40&md5=14fc6837e9d36fd7350527fd51ea5194",Article,Scopus,2-s2.0-84862993359
"Chia, J.-M., Song, C., Bradbury, P.J., Costich, D., De Leon, N., Doebley, J., Elshire, R.J., Gaut, B., Geller, L., Glaubitz, J.C., Gore, M., Guill, K.E., Holland, J., Hufford, M.B., Lai, J., Li, M., Liu, X., Lu, Y., McCombie, R., Nelson, R., Poland, J., Prasanna, B.M., Pyhäjärvi, T., Rong, T., Sekhon, R.S., Sun, Q., Tenaillon, M.I., Tian, F., Wang, J., Xu, X., Zhang, Z., Kaeppler, S.M., Ross-Ibarra, J., McMullen, M.D., Buckler, E.S., Zhang, G., Xu, Y., Ware, D.","Maize HapMap2 identifies extant variation from a genome in flux",2012,"Nature Genetics","44","7",,"803","807",,141,10.1038/ng.2313,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863007735&partnerID=40&md5=1f9ac90ee8cb82debe801e019bd4b647",Article,Scopus,2-s2.0-84863007735
"Cook, J.P., McMullen, M.D., Holland, J.B., Tian, F., Bradbury, P., Ross-Ibarra, J., Buckler, E.S., Flint-Garcia, S.A.","Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels",2012,"Plant Physiology","158","2",,"824","834",,77,10.1104/pp.111.185033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856582669&partnerID=40&md5=93ea78aca419cc0dd9aa4a986973e2b4",Article,Scopus,2-s2.0-84856582669
"Morrell, P.L., Buckler, E.S., Ross-Ibarra, J.","Crop genomics: Advances and applications",2012,"Nature Reviews Genetics","13","2",,"85","96",,116,10.1038/nrg3097,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855970757&partnerID=40&md5=ec05cf54086cbac7de5ba14387aee94e",Review,Scopus,2-s2.0-84855970757
"Studer, A., Zhao, Q., Ross-Ibarra, J., Doebley, J.","Identification of a functional transposon insertion in the maize domestication gene tb1",2011,"Nature Genetics","43","11",,"1160","1163",,111,10.1038/ng.942,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054968887&partnerID=40&md5=6ce89d4727113d1124eb7be2c2e92ca5",Article,Scopus,2-s2.0-80054968887
"Tenaillon, M.I., Hufford, M.B., Gaut, B.S., Ross-Ibarra, J.","Genome size and transposable element content as determined by high-throughput sequencing in maize and Zea luxurians",2011,"Genome Biology and Evolution","3","1",,"219","229",,51,10.1093/gbe/evr008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960095966&partnerID=40&md5=e5820ee39379167a2ae4c69cf307530d",Article,Scopus,2-s2.0-79960095966
"Van Heerwaarden, J., Doebley, J., Briggs, W.H., Glaubitz, J.C., Goodman, M.M., Gonzalez, J.D.J.S., Ross-Ibarra, J.","Genetic signals of origin, spread, and introgression in a large sample of maize landraces",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","3",,"1088","1092",,83,10.1073/pnas.1013011108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79551619812&partnerID=40&md5=e2d3d8f1735251a6ea918236e74e9f51",Article,Scopus,2-s2.0-79551619812
"Hufford, M.B., Gepts, P., Ross-Ibarra, J.","Influence of cryptic population structure on observed mating patterns in the wild progenitor of maize (Zea mays ssp. parviglumis)",2011,"Molecular Ecology","20","1",,"46","55",,6,10.1111/j.1365-294X.2010.04924.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650708116&partnerID=40&md5=49ba01f5662c7f36246addbaf80a872e",Article,Scopus,2-s2.0-78650708116
"Eckert, A.J., Van Heerwaarden, J., Wegrzyn, J.L., Nelson, C.D., Ross-Ibarra, J., González-Martínez, S.C., Neale, D.B.","Patterns of population structure and environmental associations to aridity across the range of loblolly pine (Pinus taeda L., Pinaceae)",2010,"Genetics","185","3",,"969","982",,137,10.1534/genetics.110.115543,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956090475&partnerID=40&md5=485370dbe2f0f0cccbd4b101b988bafe",Article,Scopus,2-s2.0-77956090475
"Whitney, K.D., Baack, E.J., Hamrick, J.L., Godt, M.J.W., Barringer, B.C., Bennett, M.D., Eckert, C.G., Goodwillie, C., Kalisz, S., Leitch, I.J., Ross-Ibarra, J.","A role for nonadaptive processes in plant genome size evolution?",2010,"Evolution","64","7",,"2097","2109",,40,10.1111/j.1558-5646.2010.00967.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957371765&partnerID=40&md5=fb1726a158eea60dbd244030e71d1c6e",Article,Scopus,2-s2.0-77957371765
