Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Romero-Castillo, R.A., Roy Choudhury, S., León-Félix, J., Pandey, S.","Characterization of the heterotrimeric G-protein family and its transmembrane regulator from capsicum (Capsicum annuum L.)",2015,"Plant Science","234",,,"97","109",,,10.1016/j.plantsci.2015.02.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924027006&partnerID=40&md5=2d5e177c56e69dfc9a31dc37d0222867",Article,Scopus,2-s2.0-84924027006
"Alvarez, S., Roy Choudhury, S., Sivagnanam, K., Hicks, L.M., Pandey, S.","Quantitative proteomics analysis of camelina sativa seeds overexpressing the AGG3 gene to identify the proteomic basis of increased yield and stress tolerance",2015,"Journal of Proteome Research","14","6",,"2606","2616",,,10.1021/acs.jproteome.5b00150,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930607097&partnerID=40&md5=155c236590d951812cba3bbaa11427ad",Article,Scopus,2-s2.0-84930607097
"Roy Choudhury, S., Wang, Y., Pandey, S.","Soya bean Gα proteins with distinct biochemical properties exhibit differential ability to complement Saccharomyces cerevisiae gpa1 mutant",2014,"Biochemical Journal","461","1",,"75","85",,2,10.1042/BJ20131341,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902308405&partnerID=40&md5=11768ab44856e5f4d15697a61f450b85",Article,Scopus,2-s2.0-84902308405
"Alvarez, S., Roy Choudhury, S., Pandey, S.","Comparative quantitative proteomics analysis of the ABA response of roots of drought-sensitive and drought-tolerant wheat varieties identifies proteomic signatures of drought adaptability",2014,"Journal of Proteome Research","13","3",,"1688","1701",,10,10.1021/pr401165b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896758304&partnerID=40&md5=f5f02ba62293f0a4c8dc2f4f7a34dc3b",Article,Scopus,2-s2.0-84896758304
"Roy Choudhury, S., Riesselman, A.J., Pandey, S.","Constitutive or seed-specific overexpression of Arabidopsis G-protein γ subunit 3 (AGG3) results in increased seed and oil production and improved stress tolerance in Camelina sativa",2014,"Plant Biotechnology Journal","12","1",,"49","59",,6,10.1111/pbi.12115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891166062&partnerID=40&md5=fb89c440b780f5043b95e7dba1e9a71d",Article,Scopus,2-s2.0-84891166062
"Roy, S., Roy Choudhury, S., Sengupta, D.N., Pada Das, K.","Involvement of AtPolλ in the repair of high salt- and DNA cross-linking agent-induced double strand breaks in arabidopsis",2013,"Plant Physiology","162","2",,"1195","1210",,4,10.1104/pp.113.219022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878452903&partnerID=40&md5=8000bc2f6f0fdd4031497aeeaebed07b",Article,Scopus,2-s2.0-84878452903
"Alvarez, S., Roy Choudhury, S., Hicks, L.M., Pandey, S.","Quantitative proteomics-based analysis supports a significant role of GTG proteins in regulation of ABA response in arabidopsis roots",2013,"Journal of Proteome Research","12","3",,"1487","1501",,11,10.1021/pr301159u,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874624909&partnerID=40&md5=c777fec7f921d5dbbb2a05ff38bcde21",Article,Scopus,2-s2.0-84874624909
"Roy, S., Roy Choudhury, S., Das, K.","The interplay of DNA polymerase λ in diverse DNA damage repair pathways in higher plant genome in response to environmental and genotoxic stress factors",2013,"Plant Signaling and Behavior","8","1",,"113","115",,,10.4161/psb.22715,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873511814&partnerID=40&md5=1e16810d84559091d1b0a253132c8691",Article,Scopus,2-s2.0-84873511814
"Roy, S., Roy Choudhury, S., Das, K.","The interplay of DNA polymerase λ in diverse DNA damage repair pathways in higher plant genome in response to environmental and genotoxic stress factors",2013,"Plant signaling & behavior","8","1",,"e22715","",,,10.4161/psb.22715,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921320542&partnerID=40&md5=89b2b4e0483d8aa5808f8fbe91eb675a",Article,Scopus,2-s2.0-84921320542
"Roy Choudhury, S., Roy, S., Nag, A., Singh, S.K., Sengupta, D.N.","Characterization of an AGAMOUS-like MADS Box Protein, a Probable Constituent of Flowering and Fruit Ripening Regulatory System in Banana",2012,"PLoS ONE","7","9", e44361,"","",,9,10.1371/journal.pone.0044361,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866304893&partnerID=40&md5=1f4b5fecd018ade89a5e14b5c48c93dc",Article,Scopus,2-s2.0-84866304893
