Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kamiya, T., Borghi, M., Wang, P., Danku, J.M.C., Kalmbach, L., Hosmani, P.S., Naseer, S., Fujiwara, T., Geldner, N., Salt, D.E.","The MYB36 transcription factor orchestrates Casparian strip formation",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","33",,"10533","10538",,3,10.1073/pnas.1507691112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939833477&partnerID=40&md5=92ac27e84ff93a9e84a8b0422774d0e7",Article,Scopus,2-s2.0-84939833477
"Busoms, S., Teres, J., Huang, X.-Y., Bomblies, K., Danku, J., Douglas, A., Weige, D., Poschenrieder, C., Salt, D.E.","Salinity is an agent of divergent selection driving local adaptation of arabidopsis to coastal habitats",2015,"Plant Physiology","168","3",,"915","929",,,10.1104/pp.15.00427,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936125379&partnerID=40&md5=587d3b0fcd504f47d2daa2a02e4813c1",Article,Scopus,2-s2.0-84936125379
"Norton, G.J., Douglas, A., Lahner, B., Yakubova, E., Guerinot, M.L., Pinson, S.R.M., Tarpley, L., Eizenga, G.C., McGrath, S.P., Zhao, F.-J., Islam, M.R., Islam, S., Duan, G., Zhu, Y., Salt, D.E., Meharg, A.A., Price, A.H.","Genome wide association mapping of grain arsenic, copper, molybdenum and zinc in rice (Oryza sativa L.) grown at four international field sites",2014,"PLoS ONE","9","2", e89685,"","",,12,10.1371/journal.pone.0089685,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896110333&partnerID=40&md5=80762d358125708348582496c031ec09",Article,Scopus,2-s2.0-84896110333
"Baxter, I.R., Ziegler, G., Lahner, B., Mickelbart, M.V., Foley, R., Danku, J., Armstrong, P., Salt, D.E., Hoekenga, O.A.","Single-kernel ionomic profiles are highly heritable indicators of genetic and environmental influences on elemental accumulation in maize grain (Zea mays)",2014,"PLoS ONE","9","1", e87628,"","",,4,10.1371/journal.pone.0087628,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900385737&partnerID=40&md5=33539f04af01b723029754542e12f997",Article,Scopus,2-s2.0-84900385737
"Zhai, Z., Gayomba, S.R., Jung, H.-I., Vimalakumari, N.K., Piñeros, M., Craft, E., Rutzke, M.A., Danku, J., Lahner, B., Punshon, T., Guerinot, M.L., Salt, D.E., Kochian, L.V., Vatamaniuk, O.K.","OPT3 is a phloem-specific iron transporter that is essential for systemic iron signaling and redistribution of iron and cadmium in arabidopsis",2014,"Plant Cell","26","5",,"2249","2264",,10,10.1105/tpc.114.123737,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903616546&partnerID=40&md5=6eb955bfa0f0aefcaa7f29dcc56d9f1e",Article,Scopus,2-s2.0-84903616546
"Kellermeier, F., Armengaud, P., Seditas, T.J., Danku, J., Salt, D.E., Amtmann, A.","Analysis of the root system architecture of Arabidopsis provides a quantitative readout of crosstalk between nutritional signals",2014,"Plant Cell","26","4",,"1480","1496",,20,10.1105/tpc.113.122101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901404616&partnerID=40&md5=7653a8d53a9cdb3096aed7360801bc91",Article,Scopus,2-s2.0-84901404616
"Pfister, A., Barberon, M., Alassimone, J., Kalmbach, L., Lee, Y., Vermeer, J.E., Yamazaki, M., Li, G., Maurel, C., Takano, J., Kamiya, T., Salt, D.E., Roppolo, D., Geldner, N.","A receptor-like kinase mutant with absent endodermal diffusion barrier displays selective nutrient homeostasis defects",2014,"eLife","3",,,"e03115","",,9,10.7554/eLife.03115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929658098&partnerID=40&md5=33a3150656e7c9f6b82911ec074b793b",Article,Scopus,2-s2.0-84929658098
"Chao, D.-Y., Chen, Y., Chen, J., Shi, S., Chen, Z., Wang, C., Danku, J.M., Zhao, F.-J., Salt, D.E.","Genome-wide Association Mapping Identifies a New Arsenate Reductase Enzyme Critical for Limiting Arsenic Accumulation in Plants",2014,"PLoS Biology","12","12", e1002009,"","",17,5,10.1371/journal.pbio.1002009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923326780&partnerID=40&md5=5b632356ec917ead4b6f61cf5d0e4c2a",Article,Scopus,2-s2.0-84923326780
"Chao, D.-Y., Baraniecka, P., Danku, J., Koprivova, A., Lahner, B., Luo, H., Yakubova, E., Dilkes, B., Kopriva, S., Salt, D.E.","Variation in sulfur and selenium accumulation is controlled by naturally occurring isoforms of the key sulfur assimilation enzyme ADENOSINE 5’-PHOSPHOSULFATE REDUCTASE2 across the arabidopsis species range",2014,"Plant Physiology","166","3",,"1593","1608",,3,10.1104/pp.114.247825,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908584021&partnerID=40&md5=fc9fbef3741974afaad46349597510b3",Article,Scopus,2-s2.0-84908584021
"Zhang, M., Pinson, S.R.M., Tarpley, L., Huang, X.-Y., Lahner, B., Yakubova, E., Baxter, I., Guerinot, M.L., Salt, D.E.","Mapping and validation of quantitative trait loci associated with concentrations of 16 elements in unmilled rice grain",2014,"Theoretical and Applied Genetics","127","1",,"137","165",,9,10.1007/s00122-013-2207-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892799772&partnerID=40&md5=614d8041821dcd917653bbf844b32be3",Article,Scopus,2-s2.0-84892799772
"Gayomba, S.R., Jung, H.-I., Yan, J., Danku, J., Rutzke, M.A., Bernal, M., Krämer, U., Kochian, L.V., Salt, D.E., Vatamaniuk, O.K.","Erratum: The CTR/COPT-dependent copper uptake and SPL7-dependent copper deficiency responses are required for basal cadmium tolerance in A. thaliana (Metallomics (2013) 5 (1262-1275) DOI:10.1039/C3MT00111C)",2013,"Metallomics","5","12",,"1699","",,,10.1039/c3mt90046k,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888165239&partnerID=40&md5=b3d768bf86b11cb54215ed6800a3fcaa",Erratum,Scopus,2-s2.0-84888165239
"de Almeida Guimarães, M., Loureiro, M.E., Salt, D.E.","Inducing flowering in Noccaea caerulescens (J. & C. Presl) F. K. mey (Brassicaceae), a species having high heavy-metal accumulation",2013,"Revista Ciencia Agronomica","44","4",,"834","841",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884698097&partnerID=40&md5=0ad123a653dcdb7645fa2696c84331f4",Article,Scopus,2-s2.0-84884698097
"Hosmani, P.S., Kamiya, T., Danku, J., Naseer, S., Geldner, N., Guerinot, M.L., Salt, D.E.","Erratum: Dirigent domain-containing protein is part of the machinery required for formation of the lignin-based Casparian strip in the root (Proceedings of the National Academy of Sciences of the United States of America (2013) 110 (14498-14503) DOI: 10.1073/pnas.1308412110)",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","40",,"16283","",,,10.1073/pnas.1315919110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885026197&partnerID=40&md5=a62a403c5206c94329d02570793a1521",Erratum,Scopus,2-s2.0-84885026197
"Gayomba, S.R., Jung, H.-I., Yan, J., Danku, J., Rutzke, M.A., Bernal, M., Krämer, U., Kochian, L.V., Salt, D.E., Vatamaniuk, O.K.","The CTR/COPT-dependent copper uptake and SPL7-dependent copper deficiency responses are required for basal cadmium tolerance in A. thaliana",2013,"Metallomics","5","9",,"1262","1275",,6,10.1039/c3mt00111c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883024348&partnerID=40&md5=be340966ac75176f96e4ea43c87c1718",Article,Scopus,2-s2.0-84883024348
"Salt, D.E.","Plant metallomics",2013,"Metallomics","5","9",,"1088","1089",,,10.1039/c3mt90029k,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882938215&partnerID=40&md5=a510a4ae744a1731c2c602cda96eb955",Editorial,Scopus,2-s2.0-84882938215
"Hosmani, P.S., Kamiya, T., Danku, J., Naseer, S., Geldner, N., Guerinot, M.L., Salt, D.E.","Dirigent domain-containing protein is part of the machinery required for formation of the lignin-based Casparian strip in the root",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","35",,"14498","14503",,27,10.1073/pnas.1308412110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883319089&partnerID=40&md5=384c405fdb56e1a2559fe767749f126f",Article,Scopus,2-s2.0-84883319089
"Conte, S.S., Chu, H.H., Chan-Rodriguez, D., Punshon, T., Vasques, K.A., Salt, D.E., Walker, E.L.","Arabidopsis thaliana yellow stripe1-like4 and yellow stripe1-like6 localize to internal cellular membranes and are involved in metal ion homeostasis",2013,"Frontiers in Plant Science","4","JUL", 283,"","",,8,10.3389/fpls.2013.00283,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900819481&partnerID=40&md5=3458440e648f36f17affcc2996fea8cd",Article,Scopus,2-s2.0-84900819481
