Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dalal, J., Yalamanchili, R., La Hovary, C., Ji, M., Rodriguez-Welsh, M., Aslett, D., Ganapathy, S., Grunden, A., Sederoff, H., Qu, R.","A novel gateway-compatible binary vector series (PC-GW) for flexible cloning of multiple genes for genetic transformation of plants",2015,"Plasmid","81",,,"55","62",,1,10.1016/j.plasmid.2015.06.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938634755&partnerID=40&md5=07062f2b338c574bbf61cf43b19fa19a",Article,Scopus,2-s2.0-84938634755
"Srirangan, S., Sauer, M.-L., Howard, B., Dvora, M., Dums, J., Backman, P., Sederoff, H.","Interaction of temperature and photoperiod increases growth and oil content in the marine microalgae Dunaliella viridis",2015,"PLoS ONE","10","5", e0127562,"","",,,10.1371/journal.pone.0127562,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930682335&partnerID=40&md5=b5246e999512b46bbd0683d1977ddd68",Article,Scopus,2-s2.0-84930682335
"Dalal, J., Land, E., Vasani, N., He, L., Smith, C., Rodriguez-Welsh, M., Perera, I.Y., Sederoff, H.","Methods for RNA profiling of gravi-responding plant tissues",2015,"Methods in Molecular Biology","1309",,,"91","117",,,10.1007/978-1-4939-2697-8_9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929650489&partnerID=40&md5=09f019e4c1912debd486370d650959ad",Article,Scopus,2-s2.0-84929650489
"Howard, B.E., Hu, Q., Babaoglu, A.C., Chandra, M., Borghi, M., Tan, X., He, L., Sederoff, H., Gassmann, W., Veronese, P., Heber, S.","High-Throughput RNA Sequencing of Pseudomonas-Infected Arabidopsis Reveals Hidden Transcriptome Complexity and Novel Splice Variants",2013,"PLoS ONE","8","10", e74183,"","",,6,10.1371/journal.pone.0074183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885077606&partnerID=40&md5=e3347ee76718e9504b198dda7280f0ef",Article,Scopus,2-s2.0-84885077606
"Wang, W.-C., Allen, E., Campos, A.A., Cade, R.K., Dean, L., Dvora, M., Immer, J.G., Mixson, S., Srirangan, S., Sauer, M.-L., Schreck, S., Sun, K., Thapaliya, N., Wilson, C., Burkholder, J., Grunden, A.M., Lamb, H.H., Sederoff, H., Stikeleather, L.F., Roberts, W.L.","ASI: Dunaliella marine microalgae to drop-in replacement liquid transportation fuel",2013,"Environmental Progress and Sustainable Energy","32","4",,"916","925",,3,10.1002/ep.11855,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886313166&partnerID=40&md5=355536ee3b4d027cc9a30e0171caa55d",Article,Scopus,2-s2.0-84886313166
"Rueschhoff, E.E., Gillikin, J.W., Sederoff, H.W., Daub, M.E.","The SOS4 pyridoxal kinase is required for maintenance of vitamin B6-mediated processes in chloroplasts",2013,"Plant Physiology and Biochemistry","63",,,"281","291",,2,10.1016/j.plaphy.2012.12.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872415352&partnerID=40&md5=6651f6084969476811f5f6e9d1225462",Article,Scopus,2-s2.0-84872415352
"Tsou, P.-L., Lee, S.Y., Allen, N.S., Sederoff, H., Robertson, D.","An ER-targeted calcium-binding peptide confers salt and drought tolerance mediated by CIPK6 in Arabidopsis",2012,"Planta","235","3",,"539","552",,8,10.1007/s00425-011-1522-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857634774&partnerID=40&md5=a558847c17793f9df9b5bfc0abd09f0b",Article,Scopus,2-s2.0-84857634774
"De Silva, K., Laska, B., Brown, C., Sederoff, H.W., Khodakovskaya, M.","Arabidopsis thaliana calcium-dependent lipid-binding protein (AtCLB): A novel repressor of abiotic stress response",2011,"Journal of Experimental Botany","62","8",,"2679","2689",,21,10.1093/jxb/erq468,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957467259&partnerID=40&md5=0bbb9556070d2c1ced9f4255ad3340a7",Review,Scopus,2-s2.0-79957467259
"Salinas-Mondragon, R.E., Kajla, J.D., Perera, I.Y., Brown, C.S., Sederoff, H.W.","Role of inositol 1,4,5-triphosphate signalling in gravitropic and phototropic gene expression",2010,"Plant, Cell and Environment","33","12",,"2041","2055",,15,10.1111/j.1365-3040.2010.02204.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78349261184&partnerID=40&md5=da4c15cf9178a1cf5e8678b8acd562b6",Article,Scopus,2-s2.0-78349261184
"Henry Lamb, H., Burkholder, J., Roberts, W.L., Sederoff, H.W., Strikeleather, L.F.","EFRI-HyBi: Algal oils to ""drop-in"" replacements for petroleum transportation fuels",2010,"ACS National Meeting Book of Abstracts",,,,"","",1,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951504751&partnerID=40&md5=b8ca8c7d97282f1d7fc6791128aadf60",Conference Paper,Scopus,2-s2.0-79951504751
