Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Shabala, S., Wu, H., Bose, J.","Salt stress sensing and early signalling events in plant roots: Current knowledge and hypothesis",2015,"Plant Science","241",,,"109","119",,,10.1016/j.plantsci.2015.10.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945200626&partnerID=40&md5=ad8ec39eea5dd806d3b95ff4ebc82c09",Review,Scopus,2-s2.0-84945200626
"Tegg, R.S., Shabala, S., Cuin, T.A., Wilson, C.R.","Mechanisms of thaxtomin A-induced root toxicity revealed by a thaxtomin A sensitive Arabidopsis mutant (ucu2-2/gi-2)",2015,"Plant Cell Reports",,,,"","",10,,10.1007/s00299-015-1888-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945543961&partnerID=40&md5=9414146b78e4b6f1b0ae4ac05f25f506",Article in Press,Scopus,2-s2.0-84945543961
"Wu, H., Shabala, L., Zhou, M., Stefano, G., Pandolfi, C., Mancuso, S., Shabala, S.","Developing and validating a high-throughput assay for salinity tissue tolerance in wheat and barley",2015,"Planta","242","4",,"847","857",,,10.1007/s00425-015-2317-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941189020&partnerID=40&md5=db9bc09be05f91f25fae3c70b91a9eff",Article,Scopus,2-s2.0-84941189020
"Ramesh, S.A., Tyerman, S.D., Xu, B., Bose, J., Kaur, S., Conn, V., Domingos, P., Ullah, S., Wege, S., Shabala, S., Feijó, J.A., Ryan, P.R., Gilliham, M.","Erratum: GABA signalling modulates plant growth by directly regulating the activity of plant-specific anion transporters (Nature Communications (2015) 6:7879 DOI: 10.1038/ncomms8879)",2015,"Nature Communications","6",, 8293,"","",,,10.1038/ncomms9293,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940532885&partnerID=40&md5=f3efde7516aecd3194c89c19302a7197",Erratum,Scopus,2-s2.0-84940532885
"Ma, Y., Shabala, S., Li, C., Liu, C., Zhang, W., Zhou, M.","Quantitative trait loci for salinity tolerance identified under drained and waterlogged conditions and their association with flowering time in barley (Hordeum vulgare. L)",2015,"PLoS ONE","10","8", e0134822,"","",,,10.1371/journal.pone.0134822,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942234815&partnerID=40&md5=74855f8c02dcc7e284fca1454d4821f0",Article,Scopus,2-s2.0-84942234815
"Ramesh, S.A., Tyerman, S.D., Xu, B., Bose, J., Kaur, S., Conn, V., Domingos, P., Ullah, S., Wege, S., Shabala, S., Feijó, J.A., Ryan, P.R., Gillham, M.","GABA signalling modulates plant growth by directly regulating the activity of plant-specific anion transporters",2015,"Nature Communications","6",, 7879,"","",,2,10.1038/ncomms8879,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938150085&partnerID=40&md5=dbce9984f40d93b3af67b01a7c334361",Article,Scopus,2-s2.0-84938150085
"Scherzer, S., Böhm, J., Krol, E., Shabala, L., Kreuzer, I., Larisch, C., Bemm, F., Al-Rasheid, K.A.S., Shabala, S., Rennenberg, H., Neher, E., Hedrich, R.","Calcium sensor kinase activates potassium uptake systems in gland cells of Venus flytraps",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","23",,"7309","7314",,,10.1073/pnas.1507810112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931275377&partnerID=40&md5=7d2ca4471a5a333848e1e76dcabf40a9",Article,Scopus,2-s2.0-84931275377
"Zhang, X., Shabala, S., Koutoulis, A., Shabala, L., Johnson, P., Hayes, D., Nichols, D.S., Zhou, M.","Waterlogging tolerance in barley is associated with faster aerenchyma formation in adventitious roots",2015,"Plant and Soil","394","1-2",,"355","372",,,10.1007/s11104-015-2536-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940438179&partnerID=40&md5=0c4783c3dbaca4a2223bb2dff25f31ce",Article,Scopus,2-s2.0-84940438179
"Živanović, B.D., Shabala, L.I., Elzenga, T.J.M., Shabala, S.N.","Dissecting blue light signal transduction pathway in leaf epidermis using a pharmacological approach",2015,"Planta","242","4",,"813","827",,,10.1007/s00425-015-2316-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941176037&partnerID=40&md5=d93b8e70d75db92c4b98d61af170ebd6",Article,Scopus,2-s2.0-84941176037
"Jayakannan, M., Bose, J., Babourina, O., Rengel, Z., Shabala, S.","Salicylic acid in plant salinity stress signalling and tolerance",2015,"Plant Growth Regulation","76","1",,"25","40",,2,10.1007/s10725-015-0028-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939946890&partnerID=40&md5=3457798068a6ac5934d5a15c9988e1a6",Article,Scopus,2-s2.0-84939946890
"Adem, G.D., Roy, S.J., Plett, D.C., Zhou, M., Bowman, J.P., Shabala, S.","Expressing AtNHX1 in barley (Hordium vulgare L.) does not improve plant performance under saline conditions",2015,"Plant Growth Regulation","77","3",,"289","297",,,10.1007/s10725-015-0063-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946476670&partnerID=40&md5=6a41897d3f4380aebeed7c2a3762f585",Article,Scopus,2-s2.0-84946476670
