Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Liu, X., Abro, G.H., Han, F., Tian, J., Chen, M., Onstad, D., Roush, R., Zhang, Q., Shelton, A.M.","Effect of Bt broccoli and resistant genotype of Plutella xylostella (Lepidoptera: Plutellidae) on life history and prey acceptance of the predator Coleomegilla maculata (Coleoptera: Coccinellidae)",2015,"Biological Control","91",,,"55","61",,,10.1016/j.biocontrol.2015.07.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939154102&partnerID=40&md5=62fbfc52371b3d100511b8c3049cbc93",Article,Scopus,2-s2.0-84939154102
"Li, X.-W., Wang, P., Fail, J., Shelton, A.M.","Detection of gene flow from sexual to asexual lineages in thrips tabaci (thysanoptera: Thripidae)",2015,"PLoS ONE","10","9", e0138353,"","",,,10.1371/journal.pone.0138353,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945582204&partnerID=40&md5=d473f659e3a6b17ce186e09a80f57d8e",Article,Scopus,2-s2.0-84945582204
"Li, X.-W., Fail, J., Shelton, A.M.","Female multiple matings and male harassment and their effects on fitness of arrhenotokous Thrips tabaci (Thysanoptera: Thripidae)",2015,"Behavioral Ecology and Sociobiology","69","10",,"1585","1595",,,10.1007/s00265-015-1970-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941316357&partnerID=40&md5=d04eec5c474308ab9b504ad011c446b0",Article,Scopus,2-s2.0-84941316357
"Harvey-Samuel, T., Morrison, N.I., Walker, A.S., Marubbi, T., Yao, J., Collins, H.L., Gorman, K., Davies, T.G.E., Alphey, N., Warner, S., Shelton, A.M., Alphey, L.","Pest control and resistance management through release of insects carrying a male-selecting transgene",2015,"BMC Biology","13","1", 49,"","",,,10.1186/s12915-015-0161-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938858550&partnerID=40&md5=a692bece7206d29f49721432d0db2710",Article,Scopus,2-s2.0-84938858550
"Kain, W., Song, X., Janmaat, A.F., Zhao, J.-Z., Myers, J., Shelton, A.M., Wang, P.","Resistance of Trichoplusia ni populations selected by Bacillus thuringiensis sprays to cotton plants expressing pyramided Bacillus thuringiensis toxins Cry1Ac and Cry2Ab",2015,"Applied and Environmental Microbiology","81","5",,"1884","1890",,2,10.1128/AEM.03382-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922894985&partnerID=40&md5=be4eafd63acc5f38ae93bf52048146c3",Article,Scopus,2-s2.0-84922894985
"Su, H.-H., Tian, J.-C., Naranjo, S.E., Romeis, J., Hellmich, R.L., Shelton, A.M.","Bacillus thuringiensis plants expressing Cry1Ac, Cry2Ab and Cry1F are not toxic to the assassin bug, Zelus renardii",2015,"Journal of Applied Entomology","139","1-2",,"23","30",,,10.1111/jen.12184,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921928653&partnerID=40&md5=577694fca510c51e7184bb66ba819699",Article,Scopus,2-s2.0-84921928653
"Liu, X., Chen, M., Collins, H.L., Onstad, D.W., Roush, R.T., Zhang, Q., Earle, E.D., Shelton, A.M.","Natural enemies delay insect resistance to Bt crops",2014,"PLoS ONE","9","3", e90366,"","",,7,10.1371/journal.pone.0090366,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896997145&partnerID=40&md5=91b42b6681cd479a065999d041ea0e1f",Article,Scopus,2-s2.0-84896997145
"Gautam, S., Olmstead, D., Tian, J.-C., Collins, H.L., Shelton, A.M.","Tri-trophic studies using Cry1Ac-resistant Plutella xylostella demonstrate no adverse effects of Cry1Ac on the entomopathogenic nematode, Heterorhabditis bacteriophora",2014,"Journal of Economic Entomology","107","1",,"115","120",,1,10.1603/EC13310,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893847374&partnerID=40&md5=6e84ec68b01c1a4e614397aa02153e39",Article,Scopus,2-s2.0-84893847374
"Tian, J.-C., Long, L.-P., Wang, X.-P., Naranjo, S.E., Romeis, J., Hellmich, R.L., Wang, P., Shelton, A.M.","Using resistant prey demonstrates that Bt plants producing Cry1Ac, Cry2Ab, and Cry1F have no negative effects on Geocoris punctipes and Orius insidiosus",2014,"Environmental Entomology","43","1",,"242","251",,8,10.1603/EN13184,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893678183&partnerID=40&md5=b2208c5344c1ebdc1791f55a12d14c9d",Article,Scopus,2-s2.0-84893678183
"Li, X.-W., Jiang, H.-X., Zhang, X.-C., Shelton, A.M., Feng, J.-N.","Post-mating interactions and their effects on fitness of female and male Echinothrips americanus (thysanoptera: Thripidae), a new insect pest in China",2014,"PLoS ONE","9","1", e87725,"","",,2,10.1371/journal.pone.0087725,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900462525&partnerID=40&md5=5ae7134a4b383499a87aa797eea36bc5",Article,Scopus,2-s2.0-84900462525
