Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mtunguja, M.K., Ranjan, A., Laswai, H.S., Muzanila, Y., Ndunguru, J., Sinha, N.R.","Genetic diversity of farmer-preferred cassava landraces in Tanzania based on morphological descriptors and single nucleotide polymorphisms",2015,"Plant Genetic Resources: Characterisation and Utilisation",,,,"","",9,,10.1017/S1479262115000453,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946147434&partnerID=40&md5=56df97f80d68f2aa9a36c6c0a1c46885",Article in Press,Scopus,2-s2.0-84946147434
"Nguyen, T.T., Slaughter, D.C., Max, N., Maloof, J.N., Sinha, N.","Structured light-based 3D reconstruction system for plants",2015,"Sensors (Switzerland)","15","8",,"18587","18612",,,10.3390/s150818587,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938411714&partnerID=40&md5=4cf43521c9f2de68b761b745ad98f98d",Article,Scopus,2-s2.0-84938411714
"Townsley, B.T., Covington, M.F., Ichihashi, Y., Zumstein, K., Sinha, N.R.","BrAD-seq: Breath Adapter Directional sequencing: A streamlined, ultra-simple and fast library preparation protocol for strand specific mRNA library construction",2015,"Frontiers in Plant Science","6","MAY", 36,"1","11",,1,10.3389/fpls.2015.00366,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934873448&partnerID=40&md5=cbf9d83cc6bb29743192932b5a850984",Article,Scopus,2-s2.0-84934873448
"Chitwood, D.H., Kumar, R., Ranjan, A., Pelletier, J.M., Townsley, B.T., Ichihashi, Y., Martinez, C.C., Zumstein, K., Harada, J.J., Maloof, J.N., Sinha, N.R.","Light-induced indeterminacy alters shade-avoiding tomato leaf morphology",2015,"Plant Physiology","169","3",,"2030","2047",,,10.1104/pp.15.01229,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946207048&partnerID=40&md5=53ff66b1b9b1d0cd7f268d62148072a5",Article,Scopus,2-s2.0-84946207048
"Ranjan, A., Townsley, B.T., Ichihashi, Y., Sinha, N.R., Chitwood, D.H.","An Intracellular Transcriptomic Atlas of the Giant Coenocyte Caulerpa taxifolia",2015,"PLoS Genetics","11","1", e1004900,"","",10,2,10.1371/journal.pgen.1004900,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924358948&partnerID=40&md5=e59196059dd572932eea9e4e8fee2f70",Article,Scopus,2-s2.0-84924358948
"Aguilar-Martínez, J.A., Uchida, N., Townsley, B., West, D.A., Yanez, A., Lynn, N., Kimura, S., Sinha, N.","Transcriptional, posttranscriptional, and posttranslational regulation of SHOOT MERISTEMLESS gene expression in arabidopsis determines gene function in the shoot apex",2015,"Plant Physiology","167","2",,"424","442",,,10.1104/pp.114.248625,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921976343&partnerID=40&md5=982315b612322e87f0866317e0e69e2d",Article,Scopus,2-s2.0-84921976343
"Bolger, A., Scossa, F., Bolger, M.E., Lanz, C., Maumus, F., Tohge, T., Quesneville, H., Alseekh, S., Sørensen, I., Lichtenstein, G., Fich, E.A., Conte, M., Keller, H., Schneeberger, K., Schwacke, R., Ofner, I., Vrebalov, J., Xu, Y., Osorio, S., Aflitos, S.A., Schijlen, E., Jiménez-Goméz, J.M., Ryngajllo, M., Kimura, S., Kumar, R., Koenig, D., Headland, L.R., Maloof, J.N., Sinha, N., van Ham, R.C.H.J., Lankhorst, R.K., Mao, L., Vogel, A., Arsova, B., Panstruga, R., Fei, Z., Rose, J.K.C., Zamir, D., Carrari, F., Giovannoni, J.J., Weigel, D., Usadel, B., Fernie, A.R.","The genome of the stress-tolerant wild tomato species Solanum pennellii",2014,"Nature Genetics",,,,"","",,16,10.1038/ng.3046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904534870&partnerID=40&md5=e8964dd713e3d543332f05bb9b5ffb04",Article in Press,Scopus,2-s2.0-84904534870
"Ichihashi, Y., Aguilar-Martínez, J.A., Farhi, M., Chitwood, D.H., Kumar, R., Millon, L.V., Peng, J., Maloof, J.N., Sinha, N.R.","Evolutionary developmental transcriptomics reveals a gene network module regulating interspecific diversity in plant leaf shape",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","25",,"E2616","E2621",,6,10.1073/pnas.1402835111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903476306&partnerID=40&md5=4e739eacd4c0bb56675318e7f2a3d1e7",Article,Scopus,2-s2.0-84903476306
"Ichihashi, Y., Sinha, N.R.","From genome to phenome and back in tomato",2014,"Current Opinion in Plant Biology","18","1",,"9","15",,4,10.1016/j.pbi.2013.12.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893388738&partnerID=40&md5=887f74e6be9c3cdde848a984b0620e31",Review,Scopus,2-s2.0-84893388738
"Sousa-Baena, M.S., Lohmann, L.G., Rossi, M., Sinha, N.R.","Acquisition and diversification of tendrilled leaves in Bignonieae (Bignoniaceae) involved changes in expression patterns of SHOOTMERISTEMLESS (STM), LEAFY/FLORICAULA (LFY/FLO), and PHANTASTICA (PHAN)",2014,"New Phytologist","201","3",,"993","1008",,3,10.1111/nph.12582,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891903119&partnerID=40&md5=941678a2d478d734059b21fee2b35330",Article,Scopus,2-s2.0-84891903119
"Ranjan, A., Ichihashi, Y., Farhi, M., Zumstein, K., Townsley, B., David-Schwartz, R., Sinha, N.R.","De novo assembly and characterization of the transcriptome of the parasitic weed dodder identifies genes associated with plant parasitism",2014,"Plant Physiology","166","3",,"1186","1199",,15,10.1104/pp.113.234864,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905481571&partnerID=40&md5=121f171649b36b6712fd0444462e9b23",Article,Scopus,2-s2.0-84905481571
"Bolger, A., Scossa, F., Bolger, M.E., Lanz, C., Maumus, F., Tohge, T., Quesneville, H., Alseekh, S., Sørensen, I., Lichtenstein, G., Fich, E.A., Conte, M., Keller, H., Schneeberger, K., Schwacke, R., Ofner, I., Vrebalov, J., Xu, Y., Osorio, S., Aflitos, S.A., Schijlen, E., Jiménez-Goméz, J.M., Ryngajllo, M., Kimura, S., Kumar, R., Koenig, D., Headland, L.R., Maloof, J.N., Sinha, N., Van Ham, R.C.H.J., Lankhorst, R.K., Mao, L., Vogel, A., Arsova, B., Panstruga, R., Fei, Z., Rose, J.K.C., Zamir, D., Carrari, F., Giovannoni, J.J., Weigel, D., Usadel, B., Fernie, A.R.","The genome of the stress-tolerant wild tomato species Solanum pennellii",2014,"Nature Genetics","46","9",,"1034","1038",,1,10.1038/ng.3046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922395331&partnerID=40&md5=d819311a8b1eef18b5b44c65a1249da3",Article,Scopus,2-s2.0-84922395331
"Chitwood, D.H., Ranjan, A., Kumar, R., Ichihashi, Y., Zumstein, K., Headland, L.R., Ostria-Gallardo, E., Aguilar-Martínez, J.A., Bush, S., Carriedo, L., Fulop, D., Martinez, C.C., Peng, J., Maloof, J.N., Sinha, N.R.","Resolving distinct genetic regulators of tomato leaf shape within a heteroblastic and ontogenetic context",2014,"Plant Cell","26","9",,"3616","3629",,6,10.1105/tpc.114.130112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908226318&partnerID=40&md5=f136ea9d64d842283ad636a703851121",Article,Scopus,2-s2.0-84908226318
"Chitwood, D.H., Sinha, N.R.","Plant development: Small RNAs and the metamorphosis of leaves",2014,"Current Biology","24","22",,"R1087","R1089",,,10.1016/j.cub.2014.10.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923231010&partnerID=40&md5=fcba88454ec702fdea048aabcd62bb65",Article,Scopus,2-s2.0-84923231010
"Garcês, H.M.P., Koenig, D., Townsley, B.T., Kim, M., Sinha, N.R.","Truncation of LEAFY COTYLEDON1 protein is required for asexual reproduction in Kalanchoë daigremontiana",2014,"Plant Physiology","165","1",,"196","206",,3,10.1104/pp.114.237222,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899833065&partnerID=40&md5=c1525c74342ab63d0a501ec542c24e13",Article,Scopus,2-s2.0-84899833065
"Chitwood, D.H., Ranjan, A., Martinez, C.C., Headland, L.R., Thiem, T., Kumar, R., Covington, M.F., Hatcher, T., Naylor, D.T., Zimmerman, S., Downs, N., Raymundo, N., Buckler, E.S., Maloof, J.N., Aradhya, M., Prins, B., Li, L., Myles, S., Sinha, N.R.","A modern ampelography: A genetic basis for leaf shape and venation patterning in grape",2014,"Plant Physiology","164","1",,"259","272",,13,10.1104/pp.113.229708,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891774122&partnerID=40&md5=1a2ba69f7fd6ca0ad0775c05c878de1f",Article,Scopus,2-s2.0-84891774122
"Sousa-Baena, M.S., Sinha, N.R., Lohmann, L.G.","Evolution and development of tendrils in Bignonieae (Lamiales, Bignoniaceae)",2014,"Annals of the Missouri Botanical Garden","99","3",,"323","347",,4,10.3417/2011018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891901244&partnerID=40&md5=42df32cecc91983e906857d512aadb65",Article,Scopus,2-s2.0-84891901244
"Aguilar-Martlnez, J.A., Sinha, N.","Analysis of the role of arabidopsis class I TCP genes AtTCP7, AtTCP8, AtTCP22, and AtTCP23 in leaf development",2013,"Frontiers in Plant Science","4","OCT", 406,"","",,9,10.3389/fpls.2013.00406,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901002675&partnerID=40&md5=8dd2e04a8aeeb00086b184590498921b",Article,Scopus,2-s2.0-84901002675
"Koenig, D., Jiménez-Gómez, J.M., Kimura, S., Fulop, D., Chitwood, D.H., Headland, L.R., Kumar, R., Covington, M.F., Devisetty, U.K., Tat, A.V., Tohge, T., Bolger, A., Schneeberger, K., Ossowski, S., Lanz, C., Xiong, G., Taylor-Teeples, M., Brady, S.M., Pauly, M., Weigel, D., Usadel, B., Fernie, A.R., Peng, J., Sinha, N.R., Maloof, J.N.","Comparative transcriptomics reveals patterns of selection in domesticated and wild tomato",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","28",,"E2655","E2662",,58,10.1073/pnas.1309606110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879984347&partnerID=40&md5=e73329f5973c0fb24dd6740b32936676",Article,Scopus,2-s2.0-84879984347
"Chitwood, D.H., Maloof, J.N., Sinha, N.R.","Dynamic transcriptomic profiles between tomato and a wild relative reflect distinct developmental architectures",2013,"Plant Physiology","162","2",,"537","552",,10,10.1104/pp.112.213546,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878452010&partnerID=40&md5=79cf48e403a2a71323d686ae1876230e",Article,Scopus,2-s2.0-84878452010
"Townsley, B.T., Sinha, N.R., Kang, J.","KNOX1 genes regulate lignin deposition and composition in monocots and dicot",2013,"Frontiers in Plant Science","4","MAY", 121,"","",,7,10.3389/fpls.2013.00121,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889633441&partnerID=40&md5=88393cab1f9b40c6dad93f04b3659654",Article,Scopus,2-s2.0-84889633441
"Naz, A.A., Raman, S., Martinez, C.C., Sinha, N.R., Schmitz, G., Theres, K.","Trifoliate encodes an MYB transcription factor that modulates leaf and shoot architecture in tomato",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","6",,"2401","2406",,16,10.1073/pnas.1214300110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873460739&partnerID=40&md5=86cffb216c5eac3576331cd65d333fe0",Article,Scopus,2-s2.0-84873460739
"Chitwood, D.H., Sinha, N.R.","A census of cells in time: Quantitative genetics meets developmental biology",2013,"Current Opinion in Plant Biology","16","1",,"92","99",,5,10.1016/j.pbi.2012.11.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873733108&partnerID=40&md5=0bc2445624585a625e0d597e557bc2cb",Review,Scopus,2-s2.0-84873733108
"Sharlach, M., Dahlbeck, D., Liu, L., Chiu, J., Jiménez-Gómez, J.M., Kimura, S., Koenig, D., Maloof, J.N., Sinha, N., Minsavage, G.V., Jones, J.B., Stall, R.E., Staskawicz, B.J.","Fine genetic mapping of RXopJ4, a bacterial spot disease resistance locus from Solanum pennellii LA716",2013,"Theoretical and Applied Genetics","126","3",,"601","609",,6,10.1007/s00122-012-2004-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874297518&partnerID=40&md5=39e76263613354065dba269ae9de59c9",Article,Scopus,2-s2.0-84874297518
