Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sosnoskie, L.M., Culpepper, A.S., Braxton, L.B., Richburg, J.S.","Evaluating the volatility of three formulations of 2,4-D when applied in the field",2015,"Weed Technology","29","2",,"177","184",,,10.1614/WT-D-14-00128.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930317819&partnerID=40&md5=8f38be1801970d0c00b08f59479dfebc",Article,Scopus,2-s2.0-84930317819
"Gao, S., Sosnoskie, L.M., Cabrera, J.A., Qin, R., Hanson, B.D., Gerik, J.S., Wang, D., Browne, G.T., Thomas, J.E.","Fumigation efficacy and emission reduction using low-permeability film in orchard soil fumigation",2015,"Pest Management Science",,,,"","",,,10.1002/ps.3993,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926443478&partnerID=40&md5=01403fc031f75a1f73486e5c78919783",Article in Press,Scopus,2-s2.0-84926443478
"Sosnoskie, L.M., Culpepper, A.S.","Glyphosate-resistant palmer amaranth (Amaranthus palmeri) increases herbicide use, tillage, and hand-weeding in georgia cotton",2014,"Weed Science","62","2",,"393","402",,5,10.1614/WS-D-13-00077.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899058080&partnerID=40&md5=ef701e859a7528aa50d2a950e757ce5c",Conference Paper,Scopus,2-s2.0-84899058080
"Hanson, B.D., Wright, S., Sosnoskie, L.M., Fischer, A.J., Jasieniuk, M., Roncoroni, J.A., Hembree, K.J., Orloff, S., Shrestha, A., Al-Khatib, K.","Herbicide-resistant weeds challenge some signature cropping systems",2014,"California Agriculture","68","4",,"142","152",,,10.3733/ca.v068n04p142,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924210090&partnerID=40&md5=54be10c25ef3f8e245b6ba8d90dbdfa2",Article,Scopus,2-s2.0-84924210090
"Sosnoskie, L.M., Webster, T.M., Grey, T.L., Culpepper, A.S.","Severed stems of Amaranthus palmeri are capable of regrowth and seed production in Gossypium hirsutum",2014,"Annals of Applied Biology","165","1",,"147","154",,2,10.1111/aab.12129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902661079&partnerID=40&md5=3c64f9b895d239f9450e97ecdf6b2636",Article,Scopus,2-s2.0-84902661079
"MacRae, A.W., Webster, T.M., Sosnoskie, L.M., Culpepper, A.S., Kichler, J.M.","Cotton yield loss potential in response to length of Palmer amaranth (Amaranthus palmeri) interference",2013,"Journal of Cotton Science","17","3",,"227","232",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882721574&partnerID=40&md5=3ad12c3090806bf695f284251c3d724c",Article,Scopus,2-s2.0-84882721574
"Merchant, R.M., Sosnoskie, L.M., Culpepper, A.S., Steckel, L.E., York, A.C., Braxton, L.B., Ford, J.C.","Weed response to 2,4-D, 2,4-DB, and dicamba applied alone or with glufosinate",2013,"Journal of Cotton Science","17","3",,"212","218",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882600967&partnerID=40&md5=4c55947235aa1bbd9f897869755a98c6",Article,Scopus,2-s2.0-84882600967
"Sosnoskie, L.M., Webster, T.M., Culpepper, A.S.","Glyphosate resistance does not affect palmer amaranth (Amaranthus palmeri) seedbank longevity",2013,"Weed Science","61","2",,"283","288",,4,10.1614/WS-D-12-00111.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876537990&partnerID=40&md5=25e687709ced7ce0ea10ac6f500d0ab7",Article,Scopus,2-s2.0-84876537990
"Grey, T.L., Cutts, G.S., Sosnoskie, L., Culpepper, A.S.","Italian ryegrass (lolium perenne) control and winter wheat response to POST herbicides",2012,"Weed Technology","26","4",,"644","648",,1,10.1614/WT-D-12-00046.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84869856491&partnerID=40&md5=3a06aeab3fbc1d89de5d77bd0539deaa",Article,Scopus,2-s2.0-84869856491
"Sosnoskie, L.M., Webster, T.M., Kichler, J.M., MacRae, A.W., Grey, T.L., Culpepper, A.S.","Pollen-mediated dispersal of glyphosate-resistance in Palmer amaranth under Field Conditions",2012,"Weed Science","60","3",,"366","373",,12,10.1614/WS-D-11-00151.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865192998&partnerID=40&md5=9a4d94a6fbfd46f0d4ad054be63bd3e4",Article,Scopus,2-s2.0-84865192998
