Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Timilsina, S., Jibrin, M.O., Potnis, N., Minsavage, G.V., Kebede, M., Schwartz, A., Bart, R., Staskawicz, B., Boyer, C., Vallad, G.E., Pruvost, O., Jones, J.B., Gossa, E.M.","Multilocus sequence analysis of xanthomonads causing bacterial spot of tomato and pepper plants reveals strains generated by recombination among species and recent global spread of Xanthomonas gardneri",2015,"Applied and Environmental Microbiology","81","4",,"1520","1529",,3,10.1128/AEM.03000-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922051741&partnerID=40&md5=ee8b0547a599d43fd39560636f621fba",Article,Scopus,2-s2.0-84922051741
"Steinbrenner, A.D., Goritschnig, S., Staskawicz, B.J.","Recognition and Activation Domains Contribute to Allele-Specific Responses of an Arabidopsis NLR Receptor to an Oomycete Effector Protein",2015,"PLoS Pathogens","11","2", e1004665,"","",19,1,10.1371/journal.ppat.1004665,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924390057&partnerID=40&md5=276dc1ab31362215e911d9bf7c5f44a7",Article,Scopus,2-s2.0-84924390057
"Schwartz, A.R., Potnis, N., Timilsina, S., Wilson, M., Patané, J., Martins, J., Minsavage, G.V., Dahlbeck, D., Akhunova, A., Almeida, N., Vallad, G.E., Barak, J.D., White, F.F., Miller, S.A., Ritchie, D., Goss, E., Bart, R.S., Setubal, J.C., Jones, J.B., Staskawicz, B.J.","Phylogenomics of Xanthomonas field strains infecting pepper and tomato reveals diversity in effector repertoires and identifies determinants of host specificity",2015,"Frontiers in Microbiology","6","JUN", 535,"","",,1,10.3389/fmicb.2015.00535,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937002919&partnerID=40&md5=989e29e92608d0e000026ea315ac3616",Article,Scopus,2-s2.0-84937002919
"Horvath, D.M., Pauly, M.H., Hutton, S.F., Vallad, G.E., Scott, J.W., Jones, J.B., Stall, R.E., Dahlbeck, D., Staskawicz, B.J., Tricoli, D., Deynze, A.V.","The pepper Bs2 gene confers effective field resistance to bacterial leaf spot and yield enhancement in Florida tomatoes",2015,"Acta Horticulturae","1069",,,"47","52",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928348340&partnerID=40&md5=9b1cd309078b2fe3052f7f8df1a4d01e",Article,Scopus,2-s2.0-84928348340
"Upadhyaya, N.M., Mago, R., Staskawicz, B.J., Ayliffe, M.A., Ellis, J.G., Dodds, P.N.","A bacterial type III secretion assay for delivery of fungal effector proteins into wheat",2014,"Molecular Plant-Microbe Interactions","27","3",,"255","264",,17,10.1094/MPMI-07-13-0187-FI,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893677159&partnerID=40&md5=147e5e6676f6affc654288940912fe17",Article,Scopus,2-s2.0-84893677159
"Cohn, M., Bart, R.S., Shybut, M., Dahlbeck, D., Gomez, M., Morbitzer, R., Hou, B.-H., Frommer, W.B., Lahaye, T., Staskawicz, B.J.","Xanthomonas axonopodis virulence is promoted by a transcription activator-like effector - Mediated induction of a SWEET sugar transporter in Cassava",2014,"Molecular Plant-Microbe Interactions","27","11",,"1186","1198",,11,10.1094/MPMI-06-14-0161-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907904358&partnerID=40&md5=5454269cefd2cf97b9abaa2c6ff3653a",Article,Scopus,2-s2.0-84907904358
"Nekrasov, V., Staskawicz, B., Weigel, D., Jones, J.D.G., Kamoun, S.","Targeted mutagenesis in the model plant Nicotiana benthamiana using Cas9 RNA-guided endonuclease",2013,"Nature Biotechnology","31","8",,"691","693",,124,10.1038/nbt.2655,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883828590&partnerID=40&md5=981238791be742923791ca4a4ba94adc",Letter,Scopus,2-s2.0-84883828590
"Sharlach, M., Dahlbeck, D., Liu, L., Chiu, J., Jiménez-Gómez, J.M., Kimura, S., Koenig, D., Maloof, J.N., Sinha, N., Minsavage, G.V., Jones, J.B., Stall, R.E., Staskawicz, B.J.","Fine genetic mapping of RXopJ4, a bacterial spot disease resistance locus from Solanum pennellii LA716",2013,"Theoretical and Applied Genetics","126","3",,"601","609",,6,10.1007/s00122-012-2004-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874297518&partnerID=40&md5=39e76263613354065dba269ae9de59c9",Article,Scopus,2-s2.0-84874297518
"Dangl, J.L., Horvath, D.M., Staskawicz, B.J.","Pivoting the plant immune system from dissection to deployment",2013,"Science","341","6147",,"746","751",,107,10.1126/science.1236011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881413993&partnerID=40&md5=40ab3c5303d060232beda9553f328729",Review,Scopus,2-s2.0-84881413993
"Steinbrenner, A.D., Goritschnig, S., Krasileva, K.V., Schreiber, K.J., Staskawicz, B.J.","Effector recognition and activation of the Arabidopsis thaliana NLR innate immune receptors",2012,"Cold Spring Harbor Symposia on Quantitative Biology","77",,,"249","257",,5,10.1101/sqb.2012.77.014860,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881520616&partnerID=40&md5=f1fcb72bfc22a3ffae30d054e03acf1c",Article,Scopus,2-s2.0-84881520616
