Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wei, H.-H., Rowe, M., Riethoven, J.-J.M., Grove, R., Adamec, J., Jikumaru, Y., Staswick, P.","Overaccumulation of γ-glutamylcysteine in a jasmonate-hypersensitive arabidopsis mutant causes jasmonate-dependent growth inhibition",2015,"Plant Physiology","169","2",,"1371","1381",,,10.1104/pp.15.00999,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942855602&partnerID=40&md5=20d4d530a560716ec3c0f98321550fe2",Article,Scopus,2-s2.0-84942855602
"Tiryaki, I., Staswick, P.E.","An axr1 suppressor mutation in Arabidopsis that partially restores auxin signaling also reverses defects in jasmonate response",2013,"Turkish Journal of Agriculture and Forestry","37","4",,"394","400",,,10.3906/tar-1212-40,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880809956&partnerID=40&md5=091d555f9dc64d15b1ff8b734ed93118",Article,Scopus,2-s2.0-84880809956
"Gutierrez, L., Mongelard, G., Floková, K., Pǎcurar, D.I., Novák, O., Staswick, P., Kowalczyk, M., Pǎcurar, M., Demailly, H., Geiss, G., Bellini, C.","Auxin controls Arabidopsis adventitious root initiation by regulating jasmonic acid homeostasis",2012,"Plant Cell","24","6",,"2515","2527",,61,10.1105/tpc.112.099119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864495309&partnerID=40&md5=1fa3d25b317d70f54f922e67bbaa67ed",Article,Scopus,2-s2.0-84864495309
"Suza, W.P., Rowe, M.L., Hamberg, M., Staswick, P.E.","A tomato enzyme synthesizes (+)-7-iso-jasmonoyl-L-isoleucine in wounded leaves",2010,"Planta","231","3",,"717","728",,37,10.1007/s00425-009-1080-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76049101786&partnerID=40&md5=0382dcf1feafb1fa6995cd9d0467e074",Article,Scopus,2-s2.0-76049101786
"Staswick, P.","Plant hormone conjugation: A signal decision",2009,"Plant Signaling and Behavior","4","8",,"757","759",,11,10.4161/psb.4.8.9180,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70450198811&partnerID=40&md5=040249c47355213b0577986a48c60212",Article,Scopus,2-s2.0-70450198811
"Staswick, P.E.","The tryptophan conjugates of jasmonic and indole-3-acetic acids are endogenous auxin inhibitors",2009,"Plant Physiology","150","3",,"1310","1321",,64,10.1104/pp.109.138529,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650100843&partnerID=40&md5=31dd8b47d92cc0fd707e4a9513faa2bb",Article,Scopus,2-s2.0-67650100843
"Melotto, M., Mecey, C., Niu, Y., Chung, H.S., Katsir, L., Yao, J., Zeng, W., Thines, B., Staswick, P., Browse, J., Howe, G.A., He, S.Y.","A critical role of two positively charged amino acids in the Jas motif of Arabidopsis JAZ proteins in mediating coronatine- and jasmonoyl isoleucine-dependent interactions with the COI1 F-box protein",2008,"Plant Journal","55","6",,"979","988",,128,10.1111/j.1365-313X.2008.03566.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51249113832&partnerID=40&md5=bd6c2b44df992145c0dd6309875a1209",Article,Scopus,2-s2.0-51249113832
"Ueda, A., Li, P., Feng, Y., Vikram, M., Kim, S., Kang, C.H., Kang, J.S., Bahk, J.D., Lee, S.Y., Fukuhara, T., Staswick, P.E., Pepper, A.E., Koiwa, H.","The Arabidopsis thaliana carboxyl-terminal domain phosphatase-like 2 regulates plant growth, stress and auxin responses",2008,"Plant Molecular Biology","67","6",,"683","697",,25,10.1007/s11103-008-9348-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-46249120401&partnerID=40&md5=acd9370b966c4442ae343f692332da49",Article,Scopus,2-s2.0-46249120401
"Katsir, L., Schilmiller, A.L., Staswick, P.E., Sheng, Y.H., Howe, G.A.","COI1 is a critical component of a receptor for jasmonate and the bacterial virulence factor coronatine",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","19",,"7100","7105",,297,10.1073/pnas.0802332105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44349195100&partnerID=40&md5=706e658a7ed6083a5bc3757d856fb862",Article,Scopus,2-s2.0-44349195100
"Suza, W.P., Staswick, P.E.","The role of JAR1 in Jasmonoyl-l-isoleucine production during Arabidopsis wound response",2008,"Planta","227","6",,"1221","1232",,80,10.1007/s00425-008-0694-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42149166654&partnerID=40&md5=1f7d39755d9f0c0c0bef53460e91509e",Article,Scopus,2-s2.0-42149166654
