Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Azoulay-Shemer, T., Palomares, A., Bagheri, A., Israelsson-Nordstrom, M., Engineer, C.B., Bargmann, B.O.R., Stephan, A.B., Schroeder, J.I.","Guard cell photosynthesis is critical for stomatal turgor production, yet does not directly mediate CO<inf>2</inf>- and ABA-induced stomatal closing",2015,"Plant Journal","83","4",,"567","581",,2,10.1111/tpj.12916,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938976469&partnerID=40&md5=d035a58dc6392024bfc4dbee710eeab9",Article,Scopus,2-s2.0-84938976469
"Stephan, A.B., Schroeder, J.I.","Plant salt stress status is transmitted systemically via propagating calcium waves",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","17",,"6126","6127",,5,10.1073/pnas.1404895111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899645661&partnerID=40&md5=4ff2154dd58249dcb155acf18caa7fa8",Note,Scopus,2-s2.0-84899645661
"Saidu, S.P., Stephan, A.B., Talaga, A.K., Zhao, H., Reisert, J.","Correction to 'Channel properties of the splicing isoforms of the olfactory calcium-activated chloride channel Anoctamin 2' [The Journal of General Physiology, (2013) 141, 6, 691-703]",2014,"Journal of General Physiology","144","2",,"203","",,,10.1085/jgp.20121093707012014c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905379645&partnerID=40&md5=57ef5f41bc994b0aaf2ff894b51c7255",Erratum,Scopus,2-s2.0-84905379645
"Deinlein, U., Stephan, A.B., Horie, T., Luo, W., Xu, G., Schroeder, J.I.","Plant salt-tolerance mechanisms",2014,"Trends in Plant Science","19","6",,"371","379",,38,10.1016/j.tplants.2014.02.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901624971&partnerID=40&md5=4d2851439ff9ecfb230d921785dc9b6b",Review,Scopus,2-s2.0-84901624971
"Ponissery Saidu, S., Stephan, A.B., Talaga, A.K., Zhao, H., Reisert, J.","Channel properties of the splicing isoforms of the olfactory calcium-activated chloride channel Anoctamin 2",2013,"Journal of General Physiology","141","6",,"691","703",,10,10.1085/jgp.201210937,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878655983&partnerID=40&md5=8ef79bfd54203cf0853da80e240250d3",Article,Scopus,2-s2.0-84878655983
"Brandt, B., Brodsky, D.E., Xue, S., Negi, J., Iba, K., Kangasjärvi, J., Ghassemian, M., Stephan, A.B., Hu, H., Schroeder, J.I.","Reconstitution of abscisic acid activation of SLAC1 anion channel by CPK6 and OST1 kinases and branched ABI1 PP2C phosphatase action",2012,"Proceedings of the National Academy of Sciences of the United States of America","109","26",,"10593","10598",,91,10.1073/pnas.1116590109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863003389&partnerID=40&md5=ef9840fefb24141018b43fe1123266f1",Article,Scopus,2-s2.0-84863003389
"Stephan, A.B., Tobochnik, S., Dibattista, M., Wall, C.M., Reisert, J., Zhao, H.","The Na +/Ca 2+ exchanger NCKX4 governs termination and adaptation of the mammalian olfactory response",2012,"Nature Neuroscience","15","1",,"131","137",,24,10.1038/nn.2943,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84655162330&partnerID=40&md5=08937ae139a03f44cd239e6df66139ec",Article,Scopus,2-s2.0-84655162330
"Cygnar, K.D., Stephan, A.B., Zhao, H.","Analyzing responses of mouse olfactory sensory neurons using the air-phase electroolfactogram recording.",2010,"Journal of visualized experiments : JoVE",,"37",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873052172&partnerID=40&md5=61a28d333b02d9493ffd360c5f15869a",Article,Scopus,2-s2.0-84873052172
"Cygnar, K.D., Stephan, A.B., Zhao, H.","Analyzing responses of mouse olfactory sensory neurons using the air-phase electroolfactogram recording",2010,"Journal of Visualized Experiments",,"37", e1850,"","",,9,10.3791/1850,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054906753&partnerID=40&md5=ff8c6b5c1ee6085d8a87f9e92807cf92",Article,Scopus,2-s2.0-80054906753
"Stephan, A.B., Shum, E.Y., Hirsh, S., Cygnar, K.D., Reisert, J., Zhao, H.","ANO2 is the cilial calcium-activated chloride channel that may mediate olfactory amplification",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","28",,"11776","11781",,129,10.1073/pnas.0903304106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650866710&partnerID=40&md5=ef9cb5f6e3e1741ab80d19e3f618dc26",Article,Scopus,2-s2.0-67650866710
"Song, Y., Cygnar, K.D., Sagdullaev, B., Valley, M., Hirsh, S., Stephan, A., Reisert, J., Zhao, H.","Olfactory CNG Channel Desensitization by Ca2+/CaM via the B1b Subunit Affects Response Termination but Not Sensitivity to Recurring Stimulation",2008,"Neuron","58","3",,"374","386",,38,10.1016/j.neuron.2008.02.029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42949098998&partnerID=40&md5=a04235efe626d3c13faa09947e7d14c1",Article,Scopus,2-s2.0-42949098998
