Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tennessen, J.A., Bonner, K.M., Bollmann, S.R., Johnstun, J.A., Yeh, J.-Y., Marine, M., Tavalire, H.F., Bayne, C.J., Blouin, M.S.","Genome-Wide Scan and Test of Candidate Genes in the Snail Biomphalaria glabrata Reveal New Locus Influencing Resistance to Schistosoma mansoni",2015,"PLoS Neglected Tropical Diseases","9","9", e0004077,"","",19,,10.1371/journal.pntd.0004077,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943183899&partnerID=40&md5=cb4a9b3211a5d6badc2952a6ba4e51eb",Article,Scopus,2-s2.0-84943183899
"Tennessen, J.A., Théron, A.é., Marine, M., Yeh, J.-Y., Rognon, A., Blouin, M.S.","Hyperdiverse Gene Cluster in Snail Host Conveys Resistance to Human Schistosome Parasites",2015,"PLoS Genetics","11","3", e1005067,"","",21,1,10.1371/journal.pgen.1005067,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926229140&partnerID=40&md5=d66a18bf4dc0e9593a860f101c3bec7d",Article,Scopus,2-s2.0-84926229140
"Govindarajulu, R., Parks, M., Tennessen, J.A., Liston, A., Ashman, T.-L.","Comparison of nuclear, plastid, and mitochondrial phylogenies and the origin of wild octoploid strawberry species",2015,"American Journal of Botany","102","4",,"544","554",,2,10.3732/ajb.1500026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932137243&partnerID=40&md5=5dc25f1188515fc6b709c5f5195db22f",Article,Scopus,2-s2.0-84932137243
"Tennessen, J.A., Govindarajulu, R., Ashman, T.-L., Liston, A.","Evolutionary origins and dynamics of octoploid strawberry subgenomes revealed by dense targeted capture linkage maps",2014,"Genome Biology and Evolution","6","12",,"3295","3313",,5,10.1093/gbe/evu261,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84932174804&partnerID=40&md5=677fc572e52b19d2937a4c163b221607",Article,Scopus,2-s2.0-84932174804
"Christie, M.R., Tennessen, J.A., Blouin, M.S.","Bayesian parentage analysis with systematic accountability of genotyping error, missing data and false matching",2013,"Bioinformatics","29","6",,"725","732",,11,10.1093/bioinformatics/btt039,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875204811&partnerID=40&md5=fc26f4f9be94ddb3a87860174acd3e5a",Article,Scopus,2-s2.0-84875204811
"Tennessen, J.A., Govindarajulu, R., Liston, A., Ashman, T.-L.","Targeted sequence capture provides insight into genome structure and genetics of male sterility in a gynodioecious diploid strawberry, fragaria vesca ssp. bracteata (rosaceae)",2013,"G3: Genes, Genomes, Genetics","3","8",,"1341","1351",,14,10.1534/g3.113.006288,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883248452&partnerID=40&md5=b6f077b986f12a41fe4808e8c9be0f6f",Article,Scopus,2-s2.0-84883248452
"Tennessen, J.A., Bigham, A.W., O'Connor, T.D., Fu, W., Kenny, E.E., Gravel, S., McGee, S., Do, R., Liu, X., Jun, G., Kang, H.M., Jordan, D., Leal, S.M., Gabriel, S., Rieder, M.J., Abecasis, G., Altshuler, D., Nickerson, D.A., Boerwinkle, E., Sunyaev, S., Bustamante, C.D., Bamshad, M.J., Akey, J.M.","Evolution and functional impact of rare coding variation from deep sequencing of human exomes",2012,"Science","336","6090",,"64","69",,522,10.1126/science.1219240,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863556835&partnerID=40&md5=92fff7d72f0479db46a67b3dc7e11b20",Article,Scopus,2-s2.0-84863556835
"Tennessen, J.A., O'Connor, T.D., Bamshad, M.J., Akey, J.M.","The promise and limitations of population exomics for human evolution studies",2011,"Genome Biology","12","9", 127,"","",,11,10.1186/gb-2011-12-9-127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052845448&partnerID=40&md5=83a177f6cfbeb2bba924ee6877462c7e",Article,Scopus,2-s2.0-80052845448
"Tennessen, J.A., Akey, J.M.","Parallel adaptive divergence among geographically diverse human populations",2011,"PLoS Genetics","7","6", e1002127,"","",,18,10.1371/journal.pgen.1002127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959856149&partnerID=40&md5=7c0138afb59d4090012d9f8fd26fcceb",Article,Scopus,2-s2.0-79959856149
"Tennessen, J.A., Madeoy, J., Akey, J.M.","Signatures of positive selection apparent in a small sample of human exomes",2010,"Genome Research","20","10",,"1327","1334",,10,10.1101/gr.106161.110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649242694&partnerID=40&md5=6182678275449a5ff1ed37cbb6aaa810",Article,Scopus,2-s2.0-78649242694
