Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Torii, K.U.","Stomatal differentiation: The beginning and the end",2015,"Current Opinion in Plant Biology","28",,,"16","22",,,10.1016/j.pbi.2015.08.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940918309&partnerID=40&md5=01165c6c7a0386a03414f179ec89976d",Review,Scopus,2-s2.0-84940918309
"Horst, R.J., Fujita, H., Lee, J.S., Rychel, A.L., Garrick, J.M., Kawaguchi, M., Peterson, K.M., Torii, K.U.","Molecular Framework of a Regulatory Circuit Initiating Two-Dimensional Spatial Patterning of Stomatal Lineage",2015,"PLoS Genetics","11","7", e1005374,"","",23,2,10.1371/journal.pgen.1005374,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938806192&partnerID=40&md5=080371f47bdaf7c34d0454d63c9cc538",Article,Scopus,2-s2.0-84938806192
"Cui, H., Kong, D., Wei, P., Hao, Y., Torii, K.U., Lee, J.S., Li, J.","SPINDLY, ERECTA, and its ligand STOMAGEN have a role in redox-mediated cortex proliferation in the arabidopsis root",2014,"Molecular Plant","7","12",,"1727","1739",,1,10.1093/mp/ssu106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922570413&partnerID=40&md5=e20ba1afef623e004d179f773b50769c",Article,Scopus,2-s2.0-84922570413
"Meng, X., Wang, H., He, Y., Liu, Y., Walker, J.C., Torii, K.U., Zhang, S.","A MAPK cascade downstream of ERECTA receptor-like protein kinase regulates Arabidopsis inflorescence architecture by promoting localized cell proliferation",2013,"Plant Cell","24","12",,"4948","4960",,27,10.1105/tpc.112.104695,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873029737&partnerID=40&md5=1f1e240110442d3c4949572debfcb7d9",Article,Scopus,2-s2.0-84873029737
"Bemis, S.M., Lee, J.S., Shpak, E.D., Torii, K.U.","Regulation of floral patterning and organ identity by arabidopsis erecta-family receptor kinase genes",2013,"Journal of Experimental Botany","64","17",,"5323","5333",,6,10.1093/jxb/ert270,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891860679&partnerID=40&md5=5fb6e92de888a68f3acf929dd443ca5d",Article,Scopus,2-s2.0-84891860679
"Richardson, L.G.L., Torii, K.U.","Take a deep breath: Peptide signalling in stomatal patterning and differentiation",2013,"Journal of Experimental Botany","64","17",,"5243","5251",,11,10.1093/jxb/ert246,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891889539&partnerID=40&md5=318ab40e6a2066b4d2f8766a692ccab1",Review,Scopus,2-s2.0-84891889539
"Torii, K.U.","Keiko U. Torii",2013,"Current Biology","23","21",,"R943","R944",,,10.1016/j.cub.2013.08.032,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887133674&partnerID=40&md5=28e83b383272d6d780c51ddd120a4dc2",Note,Scopus,2-s2.0-84887133674
"Peterson, K.M., Shyu, C., Burr, C.A., Horst, R.J., Kanaoka, M.M., Omae, M., Sato, Y., Torii, K.U.","Arabidopsis homeodomain-leucine zipper IV proteins promote stomatal development and ectopically induce stomata beyond the epidermis",2013,"Development (Cambridge)","140","9",,"1924","1935",,18,10.1242/dev.090209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875991286&partnerID=40&md5=75b4efd38727de3b4779ab0668b3ec3d",Article,Scopus,2-s2.0-84875991286
"Lee, J.S., Torii, K.U.","A tale of two systems: Peptide ligand-receptor Pairs in plant development",2012,"Cold Spring Harbor Symposia on Quantitative Biology","77",,,"83","89",,6,i10.1101/sqb.2012.77.014886,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881502782&partnerID=40&md5=699dc053123c6554a3771c4bd713accd",Article,Scopus,2-s2.0-84881502782
"Torii, K.U., Tasaka, M.","Cell Biology - Building blocks for dynamic development and behaviors",2012,"Current Opinion in Plant Biology","15","6",,"575","577",,,10.1016/j.pbi.2012.11.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870512132&partnerID=40&md5=b10dd10166fe529796f75211da6279bc",Editorial,Scopus,2-s2.0-84870512132
