Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Blondeau, K., Blaise, F., Graille, M., Kale, S.D., Linglin, J., Ollivier, B., Labarde, A., Lazar, N., Daverdin, G., Balesdent, M.-H., Choi, D.H.Y., Tyler, B.M., Rouxel, T., Van Tilbeurgh, H., Fudal, I.","Crystal structure of the effector AvrLm4-7 of Leptosphaeria maculans reveals insights into its translocation into plant cells and recognition by resistance proteins",2015,"Plant Journal","83","4",,"610","624",,,10.1111/tpj.12913,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938993930&partnerID=40&md5=0315637b6ef030167d3a9f89ffdb77ad",Article,Scopus,2-s2.0-84938993930
"Kamoun, S., Furzer, O., Jones, J.D.G., Judelson, H.S., Ali, G.S., Dalio, R.J.D., Roy, S.G., Schena, L., Zambounis, A., Panabières, F., Cahill, D., Ruocco, M., Figueiredo, A., Chen, X.-R., Hulvey, J., Stam, R., Lamour, K., Gijzen, M., Tyler, B.M., Grünwald, N.J., Mukhtar, M.S., Tomé, D.F.A., Tör, M., Van Den Ackerveken, G., Mcdowell, J., Daayf, F., Fry, W.E., Lindqvist-Kreuze, H., Meijer, H.J.G., Petre, B., Ristaino, J., Yoshida, K., Birch, P.R.J., Govers, F.","The Top 10 oomycete pathogens in molecular plant pathology",2015,"Molecular Plant Pathology","16","4",,"413","434",,9,10.1111/mpp.12190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928215460&partnerID=40&md5=2888a0309fc37034a475dd66c773a02a",Article,Scopus,2-s2.0-84928215460
"Ma, Z., Song, T., Zhu, L., Ye, W., Wang, Y., Shao, Y., Dong, S., Zhang, Z., Dou, D., Zheng, X., Tyler, B.M., Wang, Y.","A phytophthora sojae glycoside hydrolase 12 protein is a major virulence factor during soybean infection and is recognized as a PAMP",2015,"Plant Cell","27","7",,"2057","2072",,,10.1105/tpc.15.00390,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938838965&partnerID=40&md5=ec52fe7b2095fa8da691fa8560632624",Article,Scopus,2-s2.0-84938838965
"Zhu, C., Yang, X., Lv, R., Li, Z., Ding, X., Tyler, B.M., Zhang, X.","Phytophthora capsici homologue of the cell cycle regulator SDA1 is required for sporangial morphology, mycelial growth and plant infection",2015,"Molecular Plant Pathology",,,,"","",,,10.1111/mpp.12285,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940707618&partnerID=40&md5=ac4e33905606fb9a015fe8649ede9d8b",Article in Press,Scopus,2-s2.0-84940707618
"Fu, L., Zhu, C., Ding, X., Yang, X., Morris, P.F., Tyler, B.M., Zhang, X.","Characterization of cell-death-inducing members of the pectate lyase gene family in Phytophthora capsici and their contributions to infection of pepper",2015,"Molecular Plant-Microbe Interactions","28","7",,"766","775",,,10.1094/MPMI-11-14-0352-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938221707&partnerID=40&md5=6b3b5d1828ad7aae61ea0d83072b3eb8",Article,Scopus,2-s2.0-84938221707
"Tyler, B.M., Gijzen, M.","The Phytophthora sojae genome sequence: Foundation for a revolution",2014,"Genomics of Plant-Associated Fungi and Oomycetes: Dicot Pathogens",,,,"133","157",,2,10.1007/978-3-662-44056-8_7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930696747&partnerID=40&md5=c86fe490f91f901113aa8b2be96aff28",Book Chapter,Scopus,2-s2.0-84930696747
"Purwantini, E., Torto-Alalibo, T., Lomax, J., Setubal, J.C., Tyler, B.M., Mukhopadhyay, B.","Genetic resources for methane production from biomass described with the Gene Ontology",2014,"Frontiers in Microbiology","5","DEC",,"","",,,10.3389/fmicb.2014.00634,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920640221&partnerID=40&md5=ba35a98f2deba73b5c509316c5e55f37",Article,Scopus,2-s2.0-84920640221
"Torto-Alalibo, T., Purwantini, E., Lomax, J., Setubal, J.C., Mukhopadhyay, B., Tyler, B.M.","Genetic resources for advanced biofuel production described with the Gene Ontology",2014,"Frontiers in Microbiology","5","OCT",,"","",,,10.3389/fmicb.2014.00528,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84916934606&partnerID=40&md5=2c8c52ba85b82f41ef53bbaaf879a2ec",Review,Scopus,2-s2.0-84916934606
"Ye, W., Wang, Y., Dong, S., Tyler, B.M., Wang, Y.","Phylogenetic and transcriptional analysis of an expanded bZIP transcription factor family in Phytophthora sojae",2013,"BMC Genomics","14","1", 839,"","",,6,10.1186/1471-2164-14-839,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888265320&partnerID=40&md5=c81888fef0dc98c44b157b813f53bf9f",Article,Scopus,2-s2.0-84888265320
"Song, T., Kale, S.D., Arredondo, F.D., Shen, D., Su, L., Liu, L., Wu, Y., Wang, Y., Dou, D., Tyler, B.M.","Two RxLR avirulence genes in Phytophthora sojae determine soybean Rps1k-mediated disease resistance",2013,"Molecular Plant-Microbe Interactions","26","7",,"711","720",,15,10.1094/MPMI-12-12-0289-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878640592&partnerID=40&md5=d60b97e2d23ebf158b8131078e087329",Article,Scopus,2-s2.0-84878640592
