Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Vermeer, J.E.M., Geldner, N.","Lateral root initiation in Arabidopsis thaliana: A force awakens",2015,"F1000Prime Reports","7",, 32,"","",,,10.12703/P7-32,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924567174&partnerID=40&md5=7848f93ca84b4eb231ce2d458a15c7a3",Article,Scopus,2-s2.0-84924567174
"Singh, M.K., Krüger, F., Beckmann, H., Brumm, S., Vermeer, J.E.M., Munnik, T., Mayer, U., Stierhof, Y.-D., Grefen, C., Schumacher, K., Jürgens, G.","Protein delivery to vacuole requires SAND protein-dependent Rab GTPase conversion for MVB-vacuole fusion",2014,"Current Biology","24","12",,"1383","1389",,16,10.1016/j.cub.2014.05.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902676211&partnerID=40&md5=d4e8303d59cfab9e225acd2202860cb8",Article,Scopus,2-s2.0-84902676211
"Pfister, A., Barberon, M., Alassimone, J., Kalmbach, L., Lee, Y., Vermeer, J.E., Yamazaki, M., Li, G., Maurel, C., Takano, J., Kamiya, T., Salt, D.E., Roppolo, D., Geldner, N.","A receptor-like kinase mutant with absent endodermal diffusion barrier displays selective nutrient homeostasis defects",2014,"eLife","3",,,"e03115","",,9,10.7554/eLife.03115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929658098&partnerID=40&md5=33a3150656e7c9f6b82911ec074b793b",Article,Scopus,2-s2.0-84929658098
"Vermeer, J.E.M., Von Wangenheim, D., Barberon, M., Lee, Y., Stelzer, E.H.K., Maizel, A., Geldner, N.","A spatial accommodation by neighboring cells is required for organ initiation in arabidopsis",2014,"Science","343","6167",,"178","183",,27,10.1126/science.1245871,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892160452&partnerID=40&md5=bf696dcba8ca1af594b0bacb487da6da",Article,Scopus,2-s2.0-84892160452
"Roppolo, D., Boeckmann, B., Pfister, A., Boutet, E., Rubio, M.C., Dénervaud-Tendon, V., Vermeer, J.E.M., Gheyselinck, J., Xenarios, I., Geldner, N.","Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family",2014,"Plant Physiology","165","4",,"1709","1722",,5,10.1104/pp.114.239137,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905233319&partnerID=40&md5=5c7c18ec62925f288dabb0dab332180d",Article,Scopus,2-s2.0-84905233319
"Tejos, R., Sauer, M., Vanneste, S., Palacios-Gomez, M., Li, H., Heilmann, M., van Wijk, R., Vermeer, J.E.M., Heilmann, I., Munnik, T., Friml, J.","Bipolar plasma membrane distribution of phosphoinositides and their requirement for auxin-mediated cell polarity and patterning in Arabidopsis",2014,"Plant Cell","26","5",,"2114","2128",,14,10.1105/tpc.114.126185,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903650277&partnerID=40&md5=a165f3f25c9ce2b847174c3bb88f5fb0",Article,Scopus,2-s2.0-84903650277
"Vermeer, J.E.M., Munnik, T.","Using genetically encoded fluorescent reporters to image lipid signalling in living plants",2013,"Methods in Molecular Biology","1009",,,"283","289",,1,10.1007/978-1-62703-401-2-26,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883259718&partnerID=40&md5=11ed2289681f47701f7aaea590030380",Article,Scopus,2-s2.0-84883259718
"Alassimone, J., Roppolo, D., Geldner, N., Vermeer, J.E.M.","The endodermis-development and differentiation of the plant's inner skin",2012,"Protoplasma","249","3",,"433","443",,14,10.1007/s00709-011-0302-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862648375&partnerID=40&md5=b340d4288f9fe097d434bf43581443ce",Review,Scopus,2-s2.0-84862648375
"Roppolo, D., De Rybel, B., Tendon, V.D., Pfister, A., Alassimone, J., Vermeer, J.E.M., Yamazaki, M., Stierhof, Y.-D., Beeckman, T., Geldner, N.","A novel protein family mediates Casparian strip formation in the endodermis",2011,"Nature","473","7347",,"381","384",,77,10.1038/nature10070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956294981&partnerID=40&md5=6b07d380f8b418fef000af408c28b132",Article,Scopus,2-s2.0-79956294981
"Roppolo, D., De Rybel, B., Tendon, V.D., Pfister, A., Alassimone, J., Vermeer, J.E., Yamazaki, M., Stierhof, Y.D., Beeckman, T., Geldner, N.","A novel protein family mediates Casparian strip formation in the endodermis.",2011,"Nature","473","7347",,"380","383",,9,10.1038/nature10070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956311435&partnerID=40&md5=49eff24c91d91ef0ca6d68e8dadf7660",Article,Scopus,2-s2.0-79956311435
